# ADR90 WP-A2 tau=0 band, build 5c01bb5f7a580be9f73568a2e8f98b3a2b263c39, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.20599866,-1.12670951,0.02,0,0.194818735
4e-05,2e-05,1.7275611,-1.57397336,0.02,0,0.293635368
6e-05,3e-05,2.27253241,-2.04093613,0.02,0,0.399176121
8e-05,4e-05,2.74163991,-2.50050378,0.02,0,0.510766745
0.0001,5e-05,3.18745368,-2.95391669,0.02,0,0.611391306
0.00012,6e-05,3.55339035,-3.42017263,0.04,0,0.733336687
0.00016,8e-05,4.4287813,-4.29736986,0.04,0,0.955002546
0.0002,0.0001,5.26954743,-5.15256658,0.04,0,1.2000351
0.00024,0.00012,6.12748611,-5.99388965,0.04,0,1.72105789
0.00028,0.00014,6.95890942,-6.82624122,0.04,0,2.3303721
0.00032,0.00016,7.77270462,-7.6488888,0.04,0,3.11944675
0.00036,0.00018,8.68010858,-8.43430508,0.08,0,3.6034708
0.00044,0.00022,10.2136847,-10.0711091,0.08,0,4.60635018
0.00052,0.00026,11.8075799,-11.6687222,0.08,0,5.54673123
0.0006,0.0003,13.4065932,-13.2464444,0.08,0,6.55148673
0.00068,0.00034,14.964948,-14.8046791,0.08,0,7.59313869
0.00076,0.00038,16.4937736,-16.3527708,0.08,0,8.6391685
0.00084,0.00042,18.0362511,-17.8991742,0.16,0,9.62502456
0.001,0.0005,23.9968287,-22.9090957,0.16,1,40.4923842
0.00116,0.00058,24.0591265,-24.0450938,0.16,0,44.8162599
0.00132,0.00066,27.0838734,-27.0843794,0.16,0,59.0974121
0.00148,0.00074,30.1651208,-30.2181965,0.16,0,63.7267036
0.00164,0.00082,33.1591624,-33.141671,0.16,0,80.8805227
0.0018,0.0009,36.1995429,-36.1862074,0.32,0,84.6844223
0.00212,0.00106,42.2118904,-42.2173188,0.32,0,93.1711142
0.00244,0.00122,48.2166434,-48.2365768,0.32,0,96.6121376
0.00276,0.00138,54.2087019,-54.2182194,0.32,0,100.152144
0.00308,0.00154,60.2088541,-60.2220222,0.32,0,103.938787
0.0034,0.0017,66.2116115,-66.2169977,0.32,0,108.09161
0.00372,0.00186,72.2129535,-72.2219221,0.64,0,112.132731
0.00436,0.00218,84.1204325,-84.2156956,0.64,0,129.819437
0.005,0.0025,96.2853206,-96.2450037,0.64,0,147.677431
0.00564,0.00282,108.344668,-108.344689,0.64,0,164.080311
0.00628,0.00314,120.485433,-120.466946,0.64,0,180.656364
0.00692,0.00346,132.59376,-132.643475,0.64,0,197.04816
0.00756,0.00378,144.881986,-144.921198,1.28,0,212.604165
0.00884,0.00442,169.459236,-169.514738,1.28,0,250.828653
0.01012,0.00506,194.389334,-194.298236,1.28,0,291.937328
0.0114,0.0057,219.444677,-219.42255,1.28,0,335.509957
0.01268,0.00634,244.799256,-244.78266,1.28,0,374.431241
0.01396,0.00698,271.455281,-271.607172,1.28,1,453.536429
0.01524,0.00762,296.167099,-296.142385,2.56,0,493.949541
0.0178,0.0089,348.936298,-349.83856,2.56,1,600.650097
0.02036,0.01018,401.976392,-402.516235,2.56,1,702.553936
0.02292,0.01146,455.410182,-455.835787,2.56,1,799.460004
0.02548,0.01274,510.513716,-510.970852,2.56,1,852.346871
0.02804,0.01402,566.527577,-566.590124,2.56,1,898.449944
0.0306,0.0153,621.909487,-622.251178,5,1,927.924096
0.03185,0.015925,650.926065,-650.942238,1.25,1,1024.14059
0.0331,0.01655,679.756233,-679.715346,1.25,1,1066.36601
0.033725,0.0168625,693.438647,-693.894227,0.625,1,1081.11531
0.03435,0.017175,707.430069,-708.059924,0.625,1,1094.39258
0.034975,0.0174875,721.429683,-722.099123,0.625,1,1114.84307
0.0356,0.0178,735.591824,-736.553179,0.625,1,1140.06093
0.036225,0.0181125,749.699204,-749.802345,0.625,1,1221.93975
0.03685,0.018425,765.781537,-766.377501,1.25,1,1227.42546
0.037475,0.0187375,778.869594,-779.743237,0.625,1,1266.11631
0.0377875,0.01889375,789.953111,-789.782245,0.3125,1,1315.29305
0.0381,0.01905,793.761783,-793.762428,0.3125,1,1321.76678
0.0384125,0.01920625,806.392499,-807.309728,0.3125,1,1335.76227
