# ADR90 WP-A2 END-OF-RUN plastic field, build 548fe911427e90a2edfead05cb3672a738d25b6d, leg h0.5_e0.6944, s/B=0.008900, mode WALL
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4199249,-17.7787182,7.16015021,4.44256357,15.9047112,7.26167001e-07,0.855053698
2,-26.4199249,-13.8669149,7.16015021,3.38104301,12.1043879,3.53853698e-06,0.855053698
3,-26.4199249,-10.8898106,7.16015021,2.57316561,9.21212615,7.44728154e-06,0.855053698
4,-26.4199249,-8.62406528,7.16015021,1.95832507,7.01095082,1.06537229e-05,0.855053698
5,-26.4199249,-6.89970449,7.16015021,1.49039652,5.33573147,1.37050813e-05,0.855053698
6,-26.4199249,-5.58736806,7.16015021,1.13427634,4.06079447,1.62602537e-05,0.855053698
7,-26.4199249,-4.58860556,7.16015021,0.863248666,3.09049506,1.85131865e-05,0.855053698
8,-26.4199249,-3.82849061,7.16015021,0.656981227,2.35204213,2.03778027e-05,0.855053698
9,-26.4199249,-3.25,7.16015021,0.5,1.79003755,2.18713479e-05,0.855053698
10,-26.4199249,-2.75,7.16015021,0.5,1.79003755,2.33716827e-05,0.855053698
11,-26.4199249,-2.25,7.16015021,0.5,1.79003755,2.51085336e-05,0.855053698
12,-26.4199249,-1.75,7.16015021,0.5,1.79003755,2.71217986e-05,0.855053698
13,-26.4199249,-1.25,7.16015021,0.5,1.79003755,2.94565345e-05,0.855053698
14,-26.4199249,-0.75,7.16015021,0.5,1.79003755,3.30496765e-05,0.855053698
15,-26.4199249,-0.25,7.16015021,0.5,1.79003755,3.93506e-05,0.855053698
16,-20.0964006,-17.7787182,5.48689842,4.44256357,12.1879475,4.23926509e-06,0.855053698
17,-20.0964006,-13.8669149,5.48689842,3.38104301,9.27571976,6.76549901e-06,0.855053698
18,-20.0964006,-10.8898106,5.48689842,2.57316561,7.05934917,1.12744146e-05,0.855053698
19,-20.0964006,-8.62406528,5.48689842,1.95832507,5.37256536,1.54608537e-05,0.855053698
20,-20.0964006,-6.89970449,5.48689842,1.49039652,4.08882715,1.88232403e-05,0.855053698
21,-20.0964006,-5.58736806,5.48689842,1.13427634,3.11182952,2.16770747e-05,0.855053698
22,-20.0964006,-4.58860556,5.48689842,0.863248666,2.36827887,2.41221276e-05,0.855053698
23,-20.0964006,-3.82849061,5.48689842,0.656981227,1.80239463,2.59609123e-05,0.855053698
24,-20.0964006,-3.25,5.48689842,0.5,1.37172461,2.76260055e-05,0.855053698
25,-20.0964006,-2.75,5.48689842,0.5,1.37172461,2.93154461e-05,0.855053698
26,-20.0964006,-2.25,5.48689842,0.5,1.37172461,3.10994875e-05,0.855053698
27,-20.0964006,-1.75,5.48689842,0.5,1.37172461,3.31503223e-05,0.855053698
28,-20.0964006,-1.25,5.48689842,0.5,1.37172461,3.59625906e-05,0.855053698
29,-20.0964006,-0.75,5.48689842,0.5,1.37172461,3.93266773e-05,0.855053698
30,-20.0964006,-0.25,5.48689842,0.5,1.37172461,4.65629858e-05,0.855053698
31,-15.2506174,-17.7787182,4.20466798,4.44256357,9.33975238,7.70096402e-06,0.855053698
32,-15.2506174,-13.8669149,4.20466798,3.38104301,7.10808163,1.26051466e-05,0.855053698
33,-15.2506174,-10.8898106,4.20466798,2.57316561,5.40965353,1.94583265e-05,0.855053698
34,-15.2506174,-8.62406528,4.20466798,1.95832507,4.11705335,2.60587194e-05,0.855053698
35,-15.2506174,-6.89970449,4.20466798,1.49039652,3.13331126,3.05684091e-05,0.855053698
