# ADR90 WP-A2 tau=0 band, build 548fe911427e90a2edfead05cb3672a738d25b6d, leg h0.25_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,0.776794155,-0.808586309,0.02,0,4.4935565
4e-05,2e-05,1.29658002,-1.12005339,0.02,0,4.91078115
6e-05,3e-05,1.72532064,-1.45080059,0.02,0,5.6027565
8e-05,4e-05,2.00825111,-1.75630107,0.02,0,6.52304649
0.0001,5e-05,2.3006426,-2.06249972,0.02,0,7.36554861
0.00012,6e-05,2.50490968,-2.40024513,0.04,0,8.44037867
0.00016,8e-05,3.25671494,-2.96073964,0.04,0,9.91757703
0.0002,0.0001,3.85162867,-3.51987664,0.04,0,11.4195035
0.00024,0.00012,4.40366089,-4.07472839,0.04,0,12.9697356
0.00028,0.00014,4.8407038,-4.6278891,0.04,0,14.7978394
0.00032,0.00016,5.52515389,-5.17025117,0.04,0,16.3798103
0.00036,0.00018,5.96015425,-5.69538588,0.08,0,18.3893247
0.00044,0.00022,6.96250786,-6.76586211,0.08,0,23.7377775
0.00052,0.00026,7.97225808,-7.78612008,0.08,0,29.5233214
0.0006,0.0003,8.97511365,-8.79762823,0.08,0,35.3738849
0.00068,0.00034,9.96696181,-9.79123463,0.08,0,41.1776686
0.00076,0.00038,10.8450722,-10.7802141,0.08,0,47.6811082
0.00084,0.00042,11.9498819,-11.7783746,0.16,0,52.0061803
0.001,0.0005,13.8094194,-13.7341715,0.16,0,60.7518547
0.00116,0.00058,15.6687887,-15.6355071,0.16,0,70.0964062
0.00132,0.00066,17.5350808,-17.5288778,0.16,0,79.5408466
0.00148,0.00074,19.3298751,-19.3471896,0.16,0,104.579585
0.00164,0.00082,21.2131603,-21.2269347,0.16,0,121.812452
0.0018,0.0009,23.2511478,-23.1675916,0.32,0,130.753028
0.00212,0.00106,26.7339718,-26.7443547,0.32,0,167.130082
0.00244,0.00122,30.3315675,-30.3726055,0.32,0,197.397992
0.00276,0.00138,33.8940742,-33.9549756,0.32,0,230.648779
0.00308,0.00154,37.4399571,-37.498543,0.32,0,264.645653
0.0034,0.0017,40.9948185,-41.0818367,0.32,0,294.585409
0.00372,0.00186,44.5655958,-44.5794346,0.64,0,326.945236
0.00436,0.00218,54.8192787,-52.9445731,0.64,1,541.799719
0.005,0.0025,62.7950153,-61.6433066,0.64,1,756.658459
0.00564,0.00282,69.3067694,-67.9065515,0.64,1,984.2884
0.00628,0.00314,75.8553534,-74.6902014,0.64,1,1214.23831
0.00692,0.00346,83.4672241,-81.2615122,0.64,1,1456.71451
0.00756,0.00378,87.7877698,-87.3470514,1.28,1,1663.52309
0.00884,0.00442,101.707656,-101.880764,1.28,1,2542.73582
0.01012,0.00506,113.05618,-114.148476,1.28,1,3597.64408
