# ADR90 WP-A2 tau=0 band, build 548fe911427e90a2edfead05cb3672a738d25b6d, leg h0.5_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,0.820087146,-0.869591478,0.02,1,10.5088699
4e-05,2e-05,1.15610081,-1.1563487,0.02,0,14.3619151
6e-05,3e-05,1.49443284,-1.49157275,0.02,0,15.0388243
8e-05,4e-05,1.81260889,-1.81034144,0.02,0,15.6914945
0.0001,5e-05,2.12791428,-2.12245301,0.02,0,16.2858562
0.00012,6e-05,2.43500356,-2.4279603,0.04,0,16.8949716
0.00016,8e-05,3.02106302,-3.01913988,0.04,0,18.484071
0.0002,0.0001,3.59919051,-3.59723709,0.04,0,20.1829274
0.00024,0.00012,4.16717031,-4.16818329,0.04,0,21.9981871
0.00028,0.00014,4.72535377,-4.72619997,0.04,0,24.2166023
0.00032,0.00016,5.27580247,-5.27740885,0.04,0,26.2003515
0.00036,0.00018,5.81946271,-5.82040225,0.08,0,27.8672113
0.00044,0.00022,6.89361831,-6.89380733,0.08,0,31.2081282
0.00052,0.00026,7.95066373,-7.95084288,0.08,0,34.1985095
0.0006,0.0003,8.98733722,-8.98708719,0.08,0,37.1035907
0.00068,0.00034,10.0713714,-10.0970138,0.08,1,50.6887448
0.00076,0.00038,11.0250496,-11.0249937,0.08,0,54.3819318
0.00084,0.00042,12.0385356,-12.0384806,0.16,0,57.4158306
0.001,0.0005,14.0128771,-14.0289336,0.16,0,68.6113546
0.00116,0.00058,15.9852162,-15.9786075,0.16,0,79.7328455
0.00132,0.00066,17.9786557,-17.9071234,0.16,1,100.524809
0.00148,0.00074,19.7895124,-19.8175444,0.16,1,120.188732
0.00164,0.00082,21.8237164,-21.7139879,0.16,1,142.693066
0.0018,0.0009,23.5529409,-23.6021989,0.32,1,161.989366
0.00212,0.00106,27.3136572,-27.2561267,0.32,1,213.583333
0.00244,0.00122,30.9653767,-31.0214551,0.32,1,252.465724
0.00276,0.00138,34.6761386,-34.6541368,0.32,1,287.848385
0.00308,0.00154,38.2697829,-38.2265028,0.32,1,329.43529
0.0034,0.0017,41.9185556,-41.9069882,0.32,1,370.412035
0.00372,0.00186,45.4063752,-45.5198344,0.64,1,411.727944
0.00436,0.00218,52.6062262,-52.5014307,0.64,1,484.901839
0.005,0.0025,59.5790826,-59.5775069,0.64,1,552.363942
0.00564,0.00282,66.5397401,-66.5823688,0.64,1,629.158598
0.00628,0.00314,73.3409537,-73.5110964,0.64,1,701.888675
0.00692,0.00346,80.373296,-80.4639974,0.64,1,773.097139
0.00756,0.00378,87.315781,-87.3219467,1.28,1,843.851987
0.00884,0.00442,101.04395,-101.030078,1.28,1,987.206778
0.01012,0.00506,114.723546,-114.706046,1.28,1,1123.82334
0.0114,0.0057,128.352415,-128.25852,1.28,1,1284.7611
0.01268,0.00634,141.803884,-141.823657,1.28,1,1439.08586
0.01396,0.00698,155.365437,-155.368588,1.28,1,1569.30146
0.01524,0.00762,168.835999,-168.874995,2.56,1,1722.21898
0.0178,0.0089,195.544768,-195.651551,2.56,1,2622.20745
0.02036,0.01018,222.433594,-222.380772,2.56,1,2859.85417
