# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.01 (actual 0.010180), build 548fe911427e90a2edfead05cb3672a738d25b6d, leg h0.5_e0.6944, q_foot=222.4336 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4199249,-17.7787182,7.16015021,4.44256357,15.9047112,1.04144989e-06,0.855053698
2,-26.4199249,-13.8669149,7.16015021,3.38104301,12.1043879,4.83507062e-06,0.855053698
3,-26.4199249,-10.8898106,7.16015021,2.57316561,9.21212615,9.57195251e-06,0.855053698
4,-26.4199249,-8.62406528,7.16015021,1.95832507,7.01095082,1.39460753e-05,0.855053698
5,-26.4199249,-6.89970449,7.16015021,1.49039652,5.33573147,1.76829097e-05,0.855053698
6,-26.4199249,-5.58736806,7.16015021,1.13427634,4.06079447,2.08176878e-05,0.855053698
7,-26.4199249,-4.58860556,7.16015021,0.863248666,3.09049506,2.35455457e-05,0.855053698
8,-26.4199249,-3.82849061,7.16015021,0.656981227,2.35204213,2.56494681e-05,0.855053698
9,-26.4199249,-3.25,7.16015021,0.5,1.79003755,2.74719901e-05,0.855053698
10,-26.4199249,-2.75,7.16015021,0.5,1.79003755,2.91996239e-05,0.855053698
11,-26.4199249,-2.25,7.16015021,0.5,1.79003755,3.14265899e-05,0.855053698
12,-26.4199249,-1.75,7.16015021,0.5,1.79003755,3.36056747e-05,0.855053698
13,-26.4199249,-1.25,7.16015021,0.5,1.79003755,3.65172065e-05,0.855053698
14,-26.4199249,-0.75,7.16015021,0.5,1.79003755,4.03153428e-05,0.855053698
15,-26.4199249,-0.25,7.16015021,0.5,1.79003755,4.76355769e-05,0.855053698
16,-20.0964006,-17.7787182,5.48689842,4.44256357,12.1879475,4.68339253e-06,0.855053698
17,-20.0964006,-13.8669149,5.48689842,3.38104301,9.27571976,9.36349309e-06,0.855053698
18,-20.0964006,-10.8898106,5.48689842,2.57316561,7.05934917,1.48140253e-05,0.855053698
19,-20.0964006,-8.62406528,5.48689842,1.95832507,5.37256536,1.958275e-05,0.855053698
20,-20.0964006,-6.89970449,5.48689842,1.49039652,4.08882715,2.34788972e-05,0.855053698
21,-20.0964006,-5.58736806,5.48689842,1.13427634,3.11182952,2.67999443e-05,0.855053698
22,-20.0964006,-4.58860556,5.48689842,0.863248666,2.36827887,2.94163744e-05,0.855053698
23,-20.0964006,-3.82849061,5.48689842,0.656981227,1.80239463,3.16049026e-05,0.855053698
24,-20.0964006,-3.25,5.48689842,0.5,1.37172461,3.33935888e-05,0.855053698
25,-20.0964006,-2.75,5.48689842,0.5,1.37172461,3.52005773e-05,0.855053698
26,-20.0964006,-2.25,5.48689842,0.5,1.37172461,3.71029041e-05,0.855053698
27,-20.0964006,-1.75,5.48689842,0.5,1.37172461,3.95687371e-05,0.855053698
28,-20.0964006,-1.25,5.48689842,0.5,1.37172461,4.27575178e-05,0.855053698
29,-20.0964006,-0.75,5.48689842,0.5,1.37172461,4.64393688e-05,0.855053698
30,-20.0964006,-0.25,5.48689842,0.5,1.37172461,5.46144629e-05,0.855053698
31,-15.2506174,-17.7787182,4.20466798,4.44256357,9.33975238,1.05885342e-05,0.855053698
32,-15.2506174,-13.8669149,4.20466798,3.38104301,7.10808163,1.68258037e-05,0.855053698
33,-15.2506174,-10.8898106,4.20466798,2.57316561,5.40965353,2.4118434e-05,0.855053698
34,-15.2506174,-8.62406528,4.20466798,1.95832507,4.11705335,3.08093872e-05,0.855053698
35,-15.2506174,-6.89970449,4.20466798,1.49039652,3.13331126,3.60921068e-05,0.855053698
36,-15.2506174,-5.58736806,4.20466798,1.13427634,2.38462769,3.9287326e-05,0.855053698
37,-15.2506174,-4.58860556,4.20466798,0.863248666,1.81483701,4.12250632e-05,0.855053698
38,-15.2506174,-3.82849061,4.20466798,0.656981227,1.38119396,4.29737699e-05,0.855053698
39,-15.2506174,-3.25,4.20466798,0.5,1.05116699,4.44804989e-05,0.855053698
40,-15.2506174,-2.75,4.20466798,0.5,1.05116699,4.54211071e-05,0.855053698
41,-15.2506174,-2.25,4.20466798,0.5,1.05116699,4.7112031e-05,0.855053698
42,-15.2506174,-1.75,4.20466798,0.5,1.05116699,4.86095792e-05,0.855053698
43,-15.2506174,-1.25,4.20466798,0.5,1.05116699,5.06663021e-05,0.855053698
44,-15.2506174,-0.75,4.20466798,0.5,1.05116699,5.43316401e-05,0.855053698
45,-15.2506174,-0.25,4.20466798,0.5,1.05116699,6.10331532e-05,0.855053698
46,-11.5372427,-17.7787182,3.2220813,4.44256357,7.1571505,2.3986343e-05,0.855053698
47,-11.5372427,-13.8669149,3.2220813,3.38104301,5.44699772,2.10680574e-05,0.855053698
48,-11.5372427,-10.8898106,3.2220813,2.57316561,4.1454744,3.72480067e-05,0.855053698
49,-11.5372427,-8.62406528,3.2220813,1.95832507,3.15494129,5.05231464e-05,0.855053698
50,-11.5372427,-6.89970449,3.2220813,1.49039652,2.40108938,5.78951748e-05,0.855053698
51,-11.5372427,-5.58736806,3.2220813,1.13427634,1.82736529,6.26731999e-05,0.855053698
52,-11.5372427,-4.58860556,3.2220813,0.863248666,1.39072869,6.49598696e-05,0.855053698
53,-11.5372427,-3.82849061,3.2220813,0.656981227,1.05842346,6.44526131e-05,0.855053698
54,-11.5372427,-3.25,3.2220813,0.5,0.805520325,6.32151269e-05,0.855053698
55,-11.5372427,-2.75,3.2220813,0.5,0.805520325,6.1791029e-05,0.855053698
56,-11.5372427,-2.25,3.2220813,0.5,0.805520325,6.02923941e-05,0.855053698
57,-11.5372427,-1.75,3.2220813,0.5,0.805520325,5.88026328e-05,0.855053698
58,-11.5372427,-1.25,3.2220813,0.5,0.805520325,5.76700111e-05,0.855053698
59,-11.5372427,-0.75,3.2220813,0.5,0.805520325,5.69579625e-05,0.855053698
60,-11.5372427,-0.25,3.2220813,0.5,0.805520325,6.14263974e-05,0.855053698
61,-8.6916447,-17.7787182,2.46911479,4.44256357,5.48459971,4.49082451e-05,0.855053698
62,-8.6916447,-13.8669149,2.46911479,3.38104301,4.17409165,3.44135323e-05,0.855053698
63,-8.6916447,-10.8898106,2.46911479,2.57316561,3.17672064,4.82491371e-05,0.855053698
64,-8.6916447,-8.62406528,2.46911479,1.95832507,2.4176647,7.39686804e-05,0.855053698
65,-8.6916447,-6.89970449,2.46911479,1.49039652,1.83998005,9.88833076e-05,0.855053698
66,-8.6916447,-5.58736806,2.46911479,1.13427634,1.40032924,0.000109622396,0.855053698
67,-8.6916447,-4.58860556,2.46911479,0.863248666,1.06573003,0.000109431397,0.855053698
68,-8.6916447,-3.82849061,2.46911479,0.656981227,0.811081034,0.000106946303,0.855053698
69,-8.6916447,-3.25,2.46911479,0.5,0.617278698,0.000101743828,0.855053698
