# ADR90 WP-A2 tau=0 band, build 80e65a4de9bd6741261332b6f92de3a84bb4c642, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.33615168,-1.21413234,0.02,0,0.173621416
4e-05,2e-05,1.83558693,-1.70801113,0.02,0,0.273382187
6e-05,3e-05,2.29499439,-2.19033966,0.02,0,0.370974302
8e-05,4e-05,2.76790383,-2.62075683,0.02,0,0.477952719
0.0001,5e-05,3.1773303,-3.04430732,0.02,0,0.582621574
0.00012,6e-05,3.59337668,-3.45017107,0.04,0,0.694599152
0.00016,8e-05,4.39278716,-4.22932916,0.04,0,0.862481356
0.0002,0.0001,5.06838308,-4.97809563,0.04,0,1.04705286
0.00024,0.00012,5.84866103,-5.69085533,0.04,0,1.21472883
0.00028,0.00014,6.48224485,-6.4020033,0.04,0,1.42935514
0.00032,0.00016,7.26596523,-7.08886608,0.04,0,1.59250855
0.00036,0.00018,7.92833605,-7.76880572,0.08,0,1.77394795
0.00044,0.00022,9.20988389,-9.0947458,0.08,0,2.12993598
0.00052,0.00026,10.4771099,-10.3876743,0.08,0,2.49343419
0.0006,0.0003,11.758723,-11.6609697,0.08,0,2.8447957
0.00068,0.00034,13.0206384,-12.9116597,0.08,0,3.15674472
0.00076,0.00038,14.2540072,-14.1350734,0.08,0,3.50637817
0.00084,0.00042,15.4762335,-15.3348666,0.16,0,3.8925252
0.001,0.0005,17.7527684,-17.7196429,0.16,0,4.76668167
0.00116,0.00058,20.0535367,-20.0555428,0.16,0,6.19234967
0.00132,0.00066,22.4162868,-22.3643715,0.16,0,7.01623487
0.00148,0.00074,24.6981812,-24.6431034,0.16,0,7.85340333
0.00164,0.00082,26.879667,-26.8499716,0.16,0,12.0868127
0.0018,0.0009,29.170976,-29.1300763,0.32,0,13.0297194
0.00212,0.00106,33.5002575,-33.5095312,0.32,0,15.2570007
0.00244,0.00122,37.8106546,-37.8277927,0.32,0,17.4270504
0.00276,0.00138,42.0596921,-41.9813179,0.32,0,19.9505358
0.00308,0.00154,46.2755899,-46.2863528,0.32,0,22.3467622
0.0034,0.0017,50.4451255,-50.4600421,0.32,0,24.7914593
0.00372,0.00186,54.583553,-54.5989808,0.64,0,27.1106763
0.00436,0.00218,62.7540831,-62.7631535,0.64,0,33.1463532
0.005,0.0025,70.8280427,-70.8338822,0.64,0,39.6245334
0.00564,0.00282,78.8230158,-78.8317154,0.64,0,45.2292607
0.00628,0.00314,86.7364382,-86.7431298,0.64,0,51.676445
0.00692,0.00346,94.443689,-94.5649561,0.64,0,62.6952534
0.00756,0.00378,102.285962,-102.381281,1.28,0,73.4738448
0.00884,0.00442,117.950594,-117.894379,1.28,0,95.1939785
0.01012,0.00506,133.2763,-133.24732,1.28,0,122.572504
0.0114,0.0057,148.491658,-148.444289,1.28,0,144.26394
0.01268,0.00634,163.489561,-163.531591,1.28,0,166.061873
0.01396,0.00698,178.672829,-178.639832,1.28,0,185.975869
0.01524,0.00762,193.648561,-193.63787,2.56,0,206.158009
0.0178,0.0089,223.428784,-223.44303,2.56,0,252.907096
0.02036,0.01018,253.012815,-252.982501,2.56,0,297.157352
0.02292,0.01146,282.542123,-282.446268,2.56,0,340.918554
0.02548,0.01274,311.918623,-311.854454,2.56,0,384.627271
0.02804,0.01402,341.223197,-341.211167,2.56,0,427.456173
0.0306,0.0153,370.481784,-370.470953,5,0,473.096782
0.0356,0.0178,428.754495,-428.93648,5,1,585.2455
0.0406,0.0203,484.691512,-485.070335,5,1,659.963235
0.0456,0.0228,541.018922,-541.257127,5,1,775.919732
0.0506,0.0253,598.229848,-598.591281,5,1,837.489992
0.0556,0.0278,654.138567,-654.526131,5,1,981.32098
0.0606,0.0303,710.292521,-710.681845,5,1,1151.66004
0.0656,0.0328,766.239232,-766.049869,5,1,1335.20149
0.0706,0.0353,821.933447,-821.934766,5,1,1473.64986
0.0756,0.0378,878.067897,-878.352208,5,1,1562.14157
0.0806,0.0403,933.069581,-933.21178,5,1,1654.98434
0.0856,0.0428,987.582901,-987.963832,5,1,1740.22442
0.0906,0.0453,1043.24693,-1043.57773,5,1,1865.03113
0.0956,0.0478,1098.53593,-1098.87335,5,1,1956.82851
0.1006,0.0503,1153.70726,-1153.9148,5,1,2128.67387
0.1056,0.0528,1208.39954,-1208.73823,5,1,2350.45729
0.1106,0.0553,1261.85524,-1262.14794,5,1,2401.60879
