# ADR90 WP-A2 END-OF-RUN plastic field, build 80e65a4de9bd6741261332b6f92de3a84bb4c642, leg h1.0_e0.6944, s/B=0.055300, mode WALL
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,4.07288489e-05,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,0.000129355684,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,0.000216143793,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,0.00028524133,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,0.000338436795,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,0.000380584209,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,0.000414219862,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,0.000446165461,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,0.000482001943,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,0.000524679088,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,0.000130008904,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,0.000224450298,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,0.000304314472,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,0.000362738615,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,0.000400914766,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,0.000427018543,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,0.000446110771,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,0.000465307485,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,0.000486560064,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,0.0005251965,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,0.000258504664,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,0.000363868,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,0.000464642915,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,0.000527347232,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,0.000551042602,0.855053698
