# ADR90 WP-A2 tau=0 band, build any, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
1.25e-06,6.25e-07,0.462240331,-0.0951581754,0.00125,0,0.397294521
2.5e-06,1.25e-06,0.348866068,-0.325472431,0.00125,0,0.420294523
3.75e-06,1.875e-06,0.37811037,-0.378449228,0.00125,0,0.446102142
5e-06,2.5e-06,0.424536854,-0.424607751,0.00125,0,0.478260994
6.25e-06,3.125e-06,0.470819002,-0.471014453,0.00125,0,0.50617671
7.5e-06,3.75e-06,0.516910923,-0.517263153,0.0025,0,0.530928135
1e-05,5e-06,0.608457005,-0.610126915,0.0025,0,0.557177067
1.25e-05,6.25e-06,0.698574087,-0.700036262,0.0025,0,0.586728573
1.5e-05,7.5e-06,0.786186284,-0.787479301,0.0025,0,0.611102581
1.75e-05,8.75e-06,0.8713835,-0.87255721,0.0025,0,0.635935068
2e-05,1e-05,0.954908575,-0.955980764,0.0025,0,0.662389517
2.25e-05,1.125e-05,1.03721613,-1.03819723,0.005,0,0.69342947
2.75e-05,1.375e-05,1.20388746,-1.21366092,0.005,0,0.725657463
3.25e-05,1.625e-05,1.36863847,-1.37067424,0.005,0,0.754261255
3.75e-05,1.875e-05,1.52292734,-1.52482124,0.005,0,0.784714937
4.25e-05,2.125e-05,1.67243884,-1.67443474,0.005,0,0.813579798
4.75e-05,2.375e-05,1.81770213,-1.81953271,0.005,0,0.846823931
5.25e-05,2.625e-05,1.95882018,-1.96033209,0.01,0,0.875280857
6.25e-05,3.125e-05,2.25879527,-2.28764184,0.01,0,0.904891253
7.25e-05,3.625e-05,2.54877896,-2.56136831,0.01,0,0.935588837
8.25e-05,4.125e-05,2.8208242,-2.82440817,0.01,0,0.978928804
9.25e-05,4.625e-05,2.98744958,-2.98707097,0.01,0,1.03015208
0.0001025,5.125e-05,3.13107151,-3.1263105,0.01,0,1.08641887
0.0001125,5.625e-05,3.28774554,-3.28313367,0.02,0,1.14312434
0.0001325,6.625e-05,3.79266523,-3.86025543,0.02,0,1.20538211
0.0001525,7.625e-05,4.24627927,-4.27309785,0.02,0,1.27651238
0.0001725,8.625e-05,4.64640513,-4.65292288,0.02,0,1.34180427
0.0001925,9.625e-05,5.01701698,-5.01382406,0.02,0,1.41843843
0.0002125,0.00010625,5.37595057,-5.37111302,0.02,0,1.48948812
0.0002325,0.00011625,5.73711533,-5.73552837,0.04,0,1.56512451
0.0002725,0.00013625,6.74486846,-6.89013733,0.04,0,1.6582551
0.0003125,0.00015625,7.53084307,-7.60345312,0.04,0,1.74052238
0.0003525,0.00017625,8.17097647,-8.1909895,0.04,0,1.8375814
0.0003925,0.00019625,8.75078019,-8.74125763,0.04,0,1.93300366
0.0004325,0.00021625,9.3404924,-9.31747823,0.04,0,2.01951146
0.0004725,0.00023625,9.95872391,-9.94776796,0.08,0,2.10319352
0.0005525,0.00027625,11.9369828,-12.2394459,0.08,0,2.21893001
0.0006325,0.00031625,13.3347918,-13.5100796,0.08,0,2.349931
0.0007125,0.00035625,14.4210561,-14.4852008,0.08,0,2.49531102
0.0007925,0.00039625,15.4198864,-15.4080644,0.08,0,2.63388801
0.0008725,0.00043625,16.4483619,-16.4218631,0.08,0,2.76140976
0.0009525,0.00047625,17.5857236,-17.5540893,0.16,0,2.91082764
0.0010325,0.00051625,18.799383,-18.7800001,0.08,0,3.32553148
0.0011125,0.00055625,20.0580601,-20.0549207,0.08,0,3.46859908
0.0011925,0.00059625,21.3345512,-21.3198125,0.08,0,3.60793352
0.0012725,0.00063625,22.5569578,-22.5639017,0.08,0,3.76004601
0.0013525,0.00067625,23.7583345,-23.8166752,0.08,0,3.90731573
0.0014325,0.00071625,24.9283327,-24.9887844,0.16,0,4.05816126
0.0015125,0.00075625,26.097293,-26.0865174,0.08,0,4.48943663
0.0015925,0.00079625,27.2270981,-27.0490982,0.08,0,4.64981675
0.0016725,0.00083625,28.3676861,-28.3080097,0.08,0,4.80890155
0.0017525,0.00087625,29.5193316,-29.4924516,0.08,0,4.95202017
0.0018325,0.00091625,30.6694081,-30.6406994,0.08,0,5.11234736
0.0019125,0.00095625,31.8123689,-31.7823276,0.16,0,5.26022291
0.0019925,0.00099625,32.9474764,-32.9255137,0.08,0,5.63564181
0.0020725,0.00103625,34.0709955,-34.0539601,0.08,0,5.79966116
0.0021525,0.00107625,35.1862506,-35.1756272,0.08,0,5.95798349
0.0022325,0.00111625,36.2994604,-36.2880867,0.08,0,6.11430693
0.0023125,0.00115625,37.4084194,-37.390301,0.08,0,6.27350354
0.0023925,0.00119625,38.5160219,-38.4896357,0.16,0,6.42332339
0.0024725,0.00123625,39.6211539,-39.6051804,0.08,0,6.77846789
0.0025525,0.00127625,40.7217575,-40.7137056,0.08,0,6.92952061
0.0026325,0.00131625,41.8183039,-41.8159708,0.08,0,7.07786202
0.0027125,0.00135625,42.9162992,-42.916315,0.08,0,7.23787332
0.0027925,0.00139625,44.0171895,-44.0106985,0.08,0,7.37522626
0.0028725,0.00143625,45.1084309,-45.1022012,0.16,0,7.5298121
0.0030325,0.00151625,49.4282439,-49.6958039,0.16,0,7.73881102
0.0031925,0.00159625,51.7333805,-51.9959028,0.16,0,7.93243384
0.0033525,0.00167625,53.0439574,-53.3436988,0.16,0,8.20260978
0.0035125,0.00175625,54.2498538,-54.5283115,0.16,0,8.41895938
0.0036725,0.00183625,55.7538991,-55.9812431,0.16,0,8.65246916
0.0038325,0.00191625,57.6384999,-57.7649597,0.32,0,8.87334394
0.0039925,0.00199625,59.8013746,-59.8316608,0.16,0,9.41603947
0.0041525,0.00207625,62.0831126,-62.0513182,0.16,0,9.61954427
0.0043125,0.00215625,64.3572664,-64.2903403,0.16,0,9.84835148
0.0044725,0.00223625,66.56393,-66.4586974,0.16,0,10.0327055
0.0046325,0.00231625,68.6636964,-68.557197,0.16,0,10.2494433
0.0047925,0.00239625,70.7014725,-70.6110351,0.32,0,10.4402103
0.0049525,0.00247625,72.7308159,-72.6523867,0.16,0,10.9453714
0.0051125,0.00255625,74.7748539,-74.7127612,0.16,0,11.1572967
0.0052725,0.00263625,76.8475331,-76.8040842,0.16,0,11.3806815
0.0054325,0.00271625,78.9446542,-78.9119826,0.16,0,11.5903568
0.0055925,0.00279625,81.0538651,-81.0300294,0.16,0,11.7887342
0.0057525,0.00287625,83.1455713,-83.1465656,0.32,0,11.9856493
0.0059125,0.00295625,85.2270874,-85.2412058,0.16,0,12.4736953
0.0060725,0.00303625,87.2997707,-87.3235595,0.16,0,12.7021947
0.0062325,0.00311625,89.3540007,-89.3837005,0.16,0,12.9032848
0.0063925,0.00319625,91.3956768,-91.4243582,0.16,0,13.1363223
0.0065525,0.00327625,93.4363287,-93.4525763,0.16,0,13.3342166
0.0067125,0.00335625,95.4657224,-95.4762005,0.32,0,13.5274162
0.0068725,0.00343625,97.4857367,-97.4908967,0.16,0,14.0044518
0.0070325,0.00351625,99.5092033,-99.4971531,0.16,0,14.2250988
0.0071925,0.00359625,101.506938,-101.5023,0.16,0,14.4619737
