# ADR90 WP-A2 END-OF-RUN plastic field, build any, leg h1.0_e0.6944, s/B=0.005036, mode FLOOR
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,2.1756574e-07,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,1.39387065e-06,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,3.02986867e-06,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,4.63752404e-06,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,6.10086693e-06,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,7.41105207e-06,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,8.60349492e-06,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,9.87222255e-06,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,1.15202771e-05,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,1.40812348e-05,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,1.2090736e-06,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,2.73469086e-06,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,4.74186373e-06,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,6.59285145e-06,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,8.11694024e-06,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,9.4399664e-06,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,1.06182571e-05,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,1.17964871e-05,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,1.34136222e-05,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,1.62030831e-05,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,3.76926496e-06,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,5.51243394e-06,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,8.70313541e-06,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,1.13618825e-05,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,1.31077223e-05,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,1.39255026e-05,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,1.43343807e-05,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,1.49464214e-05,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,1.58048878e-05,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,1.72811396e-05,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,4.42910744e-06,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,8.47828878e-06,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,1.53538067e-05,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,2.03385442e-05,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,2.27337063e-05,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,2.359085e-05,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,2.30282682e-05,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,2.05882718e-05,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,1.75477119e-05,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,1.5019521e-05,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,8.74033033e-06,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,1.44227706e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,1.99387424e-05,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,3.39902422e-05,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,4.53583311e-05,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,4.66071646e-05,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,4.10173427e-05,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,3.34909552e-05,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,2.24977484e-05,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,7.74143488e-06,0.855053698
