# ADR90 WP-A2 tau=0 band, build any, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0314319134
4e-05,2e-05,2.23070501,-2.16056071,0.02,0,0.0787100792
6e-05,3e-05,2.59500075,-2.65246655,0.02,0,0.131425858
8e-05,4e-05,2.97768936,-3.00798077,0.02,0,0.181818962
0.0001,5e-05,3.34883649,-3.36159697,0.02,0,0.230807066
0.00012,6e-05,3.73757147,-3.73888508,0.04,0,0.288816214
0.00016,8e-05,4.77374665,-4.90855811,0.04,0,0.336725712
0.0002,0.0001,5.6092438,-5.68728117,0.04,0,0.389633656
0.00024,0.00012,6.3039448,-6.32512771,0.04,0,0.447419643
0.00028,0.00014,6.92531397,-6.92735338,0.04,0,0.510040045
0.00032,0.00016,7.5421265,-7.53508374,0.04,0,0.573871136
0.00036,0.00018,8.18238688,-8.17622413,0.08,0,0.64977622
0.00044,0.00022,10.1559362,-10.4496918,0.08,0,0.715286493
0.00052,0.00026,11.5652373,-11.7401371,0.08,0,0.793295622
0.0006,0.0003,12.6675063,-12.7412867,0.08,0,0.867912531
0.00068,0.00034,13.6745058,-13.6896666,0.08,0,0.955596924
0.00076,0.00038,14.7268015,-14.7135391,0.08,0,1.02882218
0.00084,0.00042,15.8729059,-15.8506417,0.16,0,1.10281897
0.001,0.0005,19.8743222,-20.441296,0.16,0,1.20369744
0.00116,0.00058,22.4338207,-22.815956,0.16,0,1.29863691
0.00132,0.00066,24.2804613,-24.5191821,0.16,0,1.39805412
0.00148,0.00074,26.0171718,-26.1578222,0.16,0,1.49781775
0.00164,0.00082,27.8209597,-27.8176783,0.16,0,1.60339355
0.0018,0.0009,29.8985089,-29.4476576,0.32,0,1.69381142
0.00212,0.00106,38.2217614,-38.6579356,0.32,0,1.82272315
0.00244,0.00122,42.9797283,-43.3182826,0.32,0,1.96365047
0.00276,0.00138,46.1157901,-46.4332798,0.32,0,2.13281512
0.00308,0.00154,48.9137948,-49.382621,0.32,0,2.28226185
0.0034,0.0017,52.1321454,-52.5071176,0.32,0,2.43822885
0.00372,0.00186,55.9065196,-56.1146383,0.64,0,2.60150933
0.00436,0.00218,73.8443834,-74.7581189,0.64,0,2.81057644
0.005,0.0025,83.3724765,-84.7592494,0.64,0,3.07900119
0.00564,0.00282,88.8805397,-90.1285086,0.64,0,3.33946252
0.00628,0.00314,93.2562389,-94.3961105,0.64,0,3.60720658
0.00692,0.00346,98.2710007,-99.1661996,0.64,0,3.8739388
0.00756,0.00378,104.590887,-105.156977,1.28,0,4.11980748
0.00884,0.00442,143.770568,-144.965162,1.28,0,4.43737864
0.01012,0.00506,163.417138,-166.575567,1.28,0,4.86488342
0.0114,0.0057,173.634295,-176.672566,1.28,0,5.27155852
0.01268,0.00634,180.452548,-182.837426,1.28,0,5.73682356
0.01396,0.00698,187.97038,-189.619179,1.28,0,6.1789732
0.01524,0.00762,198.139235,-199.203483,2.56,0,6.63887382
0.0178,0.0089,285.486322,-284.958046,2.56,0,7.16089797
0.02036,0.01018,328.035493,-334.677147,2.56,0,7.7904067
0.02292,0.01146,348.028285,-355.166669,2.56,0,8.54315042
0.02548,0.01274,357.675221,-363.7372,2.56,0,9.33539295
0.02804,0.01402,367.513218,-371.656566,2.56,0,10.1355083
0.0306,0.0153,382.589631,-385.37698,5,0,10.9493432
0.0356,0.0178,573.355508,-566.833017,5,0,11.789566
0.0406,0.0203,669.141249,-680.143506,5,0,12.8653784
0.0456,0.0228,710.302529,-724.258756,5,0,14.0742381
0.0506,0.0253,721.455484,-734.371482,5,0,15.4448102
0.0556,0.0278,728.115945,-738.710925,5,0,16.7227974
0.0606,0.0303,745.436335,-753.682954,5,0,17.8110526
0.0656,0.0328,778.106937,-784.338636,5,0,18.8702018
0.0706,0.0353,824.492894,-828.918824,5,0,19.8748291
0.0756,0.0378,880.226999,-882.813267,5,0,20.8769844
0.0806,0.0403,940.195749,-940.537266,5,0,21.8287051
0.0856,0.0428,1000.35814,-999.768346,5,0,22.7744303
0.0906,0.0453,1058.56786,-1057.30826,5,0,23.7038455
0.0956,0.0478,1114.29254,-1112.48381,5,0,24.5982139
0.1006,0.0503,1168.03342,-1165.97727,5,0,25.4947071
0.1056,0.0528,1220.69436,-1218.5443,5,0,26.3894196
0.1106,0.0553,1273.0457,-1270.71886,5,0,27.2286627
0.1156,0.0578,1325.64491,-1323.23956,5,0,28.085815
0.1206,0.0603,1378.68511,-1376.06794,5,0,28.9258256
0.1256,0.0628,1432.18682,-1429.44397,5,0,29.7471306
0.1306,0.0653,1486.04594,-1483.04414,5,0,30.5993307
0.1356,0.0678,1540.1315,-1537.13202,5,0,31.4233339
0.1406,0.0703,1594.24584,-1591.16609,5,0,32.2520123
0.1456,0.0728,1648.15833,-1645.32101,5,0,33.0814781
0.1506,0.0753,1702.00307,-1699.35862,5,0,33.9312077
0.1556,0.0778,1755.22449,-1753.02051,5,0,34.7671323
0.1606,0.0803,1808.12707,-1806.41991,5,0,35.6038523
0.1656,0.0828,1860.39655,-1859.19546,5,0,36.4435494
0.1706,0.0853,1912.13276,-1911.72177,5,0,37.2776065
0.1756,0.0878,1963.41885,-1963.59405,5,0,38.1080368
0.1806,0.0903,2014.18296,-2015.16691,5,0,38.9593337
0.1856,0.0928,2064.57978,-2066.13686,5,0,39.7718427
0.1906,0.0953,2114.42925,-2116.80205,5,0,40.6278467
0.1956,0.0978,2163.91797,-2166.888,5,0,41.4705191
0.2006,0.1003,2212.85122,-2216.58518,5,0,42.3132012
0.2056,0.1028,2261.31612,-2265.49634,5,0,43.213273
0.2106,0.1053,2309.21011,-2313.954,5,0,44.0745714
0.2156,0.1078,2356.5557,-2361.82607,5,0,44.8781452
0.2206,0.1103,2403.39483,-2408.88626,5,0,45.665534
0.2256,0.1128,2449.75587,-2455.5161,5,0,46.4642949
0.2306,0.1153,2495.60782,-2501.42278,5,0,47.2723565
0.2356,0.1178,2540.96475,-2546.92057,5,0,48.0647564
0.2406,0.1203,2585.95344,-2591.85184,5,0,48.8550026
0.2456,0.1228,2630.55805,-2636.4042,5,0,49.6305594
0.2506,0.1253,2675.01298,-2680.56832,5,0,50.4076736
0.2556,0.1278,2719.08674,-2724.44692,5,0,51.1733742
0.2606,0.1303,2762.96378,-2768.12112,5,0,51.9387321
