# ADR90 WP-A2 tau=0 band, build 2473ce46c2ae44412246ca305f3843463f389cad (expected 2473ce46c2ae44412246ca305f3843463f389cad), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
2e-05,1e-05,1.33615168,-1.21413234,0.02,0,0.228137493,0,0
4e-05,2e-05,1.83558693,-1.70801113,0.02,0,0.348774672,0,0
6e-05,3e-05,2.29499439,-2.19033966,0.02,0,0.47461009,0,0
8e-05,4e-05,2.76790383,-2.62075683,0.02,0,0.588946104,0,0
0.0001,5e-05,3.1773303,-3.04430732,0.02,0,0.706264496,0,0
0.00012,6e-05,3.59337668,-3.45017107,0.04,0,0.829277277,0,0
0.00016,8e-05,4.39278716,-4.22932916,0.04,0,1.03246331,0,0
0.0002,0.0001,5.06838308,-4.97809563,0.04,0,1.28044963,0,0
0.00024,0.00012,5.84866103,-5.69085533,0.04,0,1.4789381,0,0
0.00028,0.00014,6.48224485,-6.4020033,0.04,0,1.72201562,0,0
0.00032,0.00016,7.26596523,-7.08886608,0.04,0,1.92863345,0,0
0.00036,0.00018,7.92833605,-7.76880572,0.08,0,2.14057803,0,0
0.00044,0.00022,9.20988389,-9.0947458,0.08,0,2.55541348,0,0
0.00052,0.00026,10.4771099,-10.3876743,0.08,0,2.95271659,0,0
0.0006,0.0003,11.758723,-11.6609697,0.08,0,3.37840176,0,0
0.00068,0.00034,13.0206384,-12.9116597,0.08,0,3.7837255,0,0
0.00076,0.00038,14.2540072,-14.1350734,0.08,0,4.19420195,0,0
0.00084,0.00042,15.4762335,-15.3348666,0.16,0,4.62922716,0,0
0.001,0.0005,17.7527684,-17.7196429,0.16,0,5.53661251,0,0
0.00116,0.00058,20.0535367,-20.0555428,0.16,0,7.14199877,0,0
0.00132,0.00066,22.4162868,-22.3643715,0.16,0,8.04610109,0,0
0.00148,0.00074,24.6981812,-24.6431034,0.16,0,8.93057752,0,0
0.00164,0.00082,26.879667,-26.8499716,0.16,0,13.2088959,0,0
0.0018,0.0009,29.170976,-29.1300763,0.32,0,14.0776625,0,0
0.00212,0.00106,33.5002575,-33.5095312,0.32,0,16.1312749,0,0
0.00244,0.00122,37.8106546,-37.8277927,0.32,0,18.1719141,0,0
0.00276,0.00138,42.0596921,-41.9813179,0.32,0,20.5538998,0,0
0.00308,0.00154,46.2755899,-46.2863528,0.32,0,22.7571537,0,0
0.0034,0.0017,50.4451255,-50.4600421,0.32,0,24.9960437,0,0
0.00372,0.00186,54.583553,-54.5989808,0.64,0,27.2738397,0,0
0.00436,0.00218,62.7540831,-62.7631535,0.64,0,33.2568965,0,0
0.005,0.0025,70.8280427,-70.8338822,0.64,0,39.8303542,0,0
0.00564,0.00282,78.8230158,-78.8317154,0.64,0,45.3713682,0,0
0.00628,0.00314,86.7364382,-86.7431298,0.64,0,51.5147998,0,0
0.00692,0.00346,94.443689,-94.5649561,0.64,0,61.851387,0,0
0.00756,0.00378,102.285962,-102.381281,1.28,0,71.974252,0,0
0.00884,0.00442,117.950594,-117.894379,1.28,0,90.9841149,0,0
0.01012,0.00506,133.2763,-133.24732,1.28,0,110.033847,0,0
0.0114,0.0057,148.491658,-148.444289,1.28,0,131.102668,0,0
0.01268,0.00634,163.489561,-163.531591,1.28,0,154.35322,0,0
0.01396,0.00698,178.672829,-178.639832,1.28,0,178.024352,0,0
0.01524,0.00762,193.648561,-193.63787,2.56,0,201.669403,0,0
0.0178,0.0089,223.428784,-223.44303,2.56,0,254.270871,0,0
0.02036,0.01018,253.012815,-252.982501,2.56,0,294.341828,0,0
0.02292,0.01146,282.542123,-282.446268,2.56,0,334.780677,0,0
0.02548,0.01274,311.918623,-311.854454,2.56,0,375.286871,0,0
0.02804,0.01402,341.223197,-341.211167,2.56,0,415.56682,0,0
0.0306,0.0153,370.481784,-370.470953,5,0,459.300292,0,0
0.0356,0.0178,428.754495,-428.93648,5,1,563.627861,0,0
0.0406,0.0203,484.691512,-485.070335,5,1,631.567685,0,0
0.0456,0.0228,541.018922,-541.257127,5,1,741.067273,0,0
0.0506,0.0253,598.229848,-598.591281,5,1,794.882606,0,0
0.0556,0.0278,654.138567,-654.526131,5,1,892.390925,0,0
0.0606,0.0303,710.292521,-710.681845,5,1,991.743202,0,0
0.0656,0.0328,766.239232,-766.049869,5,1,1116.00437,0,0
0.0706,0.0353,821.933447,-821.934766,5,1,1225.6498,0,0
0.0756,0.0378,878.067897,-878.352208,5,1,1297.01924,0,0
0.0806,0.0403,933.069581,-933.21178,5,1,1378.74629,0,0
0.0856,0.0428,987.582901,-987.963832,5,1,1450.18958,0,0
0.0906,0.0453,1043.24693,-1043.57773,5,1,1552.87513,0,0
0.0956,0.0478,1098.53593,-1098.87335,5,1,1630.62285,0,0
0.1006,0.0503,1153.70726,-1153.9148,5,1,1771.51728,0,0
0.1056,0.0528,1208.39954,-1208.73823,5,1,1948.62689,0,0
0.1106,0.0553,1261.85524,-1262.14794,5,1,1993.24367,0,0
0.1156,0.0578,1316.34248,-1316.63164,5,1,2079.71341,0,0
0.1206,0.0603,1369.81467,-1369.87376,5,1,2178.66914,0,0
0.1256,0.0628,1423.87406,-1424.13447,5,1,2275.09801,0,0
0.1306,0.0653,1476.84699,-1476.92738,5,1,2368.48677,0,0
0.1356,0.0678,1529.84425,-1529.92757,5,1,2467.77445,0,0
