# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.002 (actual 0.002020), build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944, q_foot=60.2757 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,6.39146715e-09,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,1.68154418e-07,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,4.61963444e-07,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,7.68672277e-07,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,1.06014285e-06,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,1.3327956e-06,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,1.59494374e-06,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,1.89189733e-06,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,2.31386599e-06,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,3.06227594e-06,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,1.27430119e-07,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,3.98548467e-07,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,8.06851869e-07,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,1.19168742e-06,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,1.48958615e-06,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,1.73949181e-06,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,1.96635714e-06,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,2.21230978e-06,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,2.58554923e-06,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,3.30493598e-06,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,1.02008761e-06,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,9.64948416e-07,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,1.64876415e-06,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,2.18156161e-06,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,2.54228464e-06,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,2.69765298e-06,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,2.73692173e-06,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,2.76965223e-06,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,2.82155517e-06,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,3.03745457e-06,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,7.69237682e-07,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,1.54177796e-06,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,2.81954321e-06,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,4.2085743e-06,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,4.83745488e-06,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,4.87475751e-06,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,4.5116338e-06,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,3.79572329e-06,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,2.98894022e-06,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,2.35875399e-06,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,7.9942212e-06,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,1.20064215e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,4.60027727e-06,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,7.793087e-06,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,9.88276518e-06,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,9.67656139e-06,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,8.47550098e-06,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,6.76462985e-06,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,4.04722977e-06,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,1.32947581e-06,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,8.90162809e-06,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,2.2855633e-05,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,3.02845366e-05,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,2.49740828e-05,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,2.05319684e-05,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,2.35838529e-05,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,2.0916749e-05,0.855053698
58,-5.94935967,-2.5,2.0827754,1,1.0413877,1.47138565e-05,0.855053698
59,-5.94935967,-1.5,2.0827754,1,1.0413877,8.52158533e-06,0.855053698
60,-5.94935967,-0.5,2.0827754,1,1.0413877,3.76339959e-06,0.855053698
61,-4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,9.40865357e-06,0.855053698
62,-4.09252017,-13.6329249,1.63090361,3.55894634,2.90214921,2.93060644e-05,0.855053698
63,-4.09252017,-10.4729811,1.63090361,2.76094116,2.25141445,5.09470175e-05,0.855053698
64,-4.09252017,-8.02157615,1.63090361,2.1418688,1.74659077,7.3646963e-05,0.855053698
65,-4.09252017,-6.11983775,1.63090361,1.66160801,1.35496124,6.98693359e-05,0.855053698
66,-4.09252017,-4.64451687,1.63090361,1.28903375,1.05114489,5.5873562e-05,0.855053698
67,-4.09252017,-3.5,1.63090361,1,0.815451803,6.73641697e-05,0.855053698
68,-4.09252017,-2.5,1.63090361,1,0.815451803,6.39913261e-05,0.855053698
69,-4.09252017,-1.5,1.63090361,1,0.815451803,3.20455337e-05,0.855053698
70,-4.09252017,-0.5,1.63090361,1,0.815451803,3.29782404e-05,0.855053698
71,-2.63853418,-17.706199,1.27706836,4.58760194,2.92934065,8.20372296e-06,0.855053698
72,-2.63853418,-13.6329249,1.27706836,3.55894634,2.27250889,3.31268026e-05,0.855053698
73,-2.63853418,-10.4729811,1.27706836,2.76094116,1.76295531,6.82637227e-05,0.855053698
74,-2.63853418,-8.02157615,1.27706836,2.1418688,1.36765644,0.000110999409,0.855053698
75,-2.63853418,-6.11983775,1.27706836,1.66160801,1.06099351,0.000158588744,0.855053698
76,-2.63853418,-4.64451687,1.27706836,1.28903375,0.82309211,0.000163177325,0.855053698
77,-2.63853418,-3.5,1.27706836,1,0.638534182,0.000150582205,0.855053698
78,-2.63853418,-2.5,1.27706836,1,0.638534182,0.000212406018,0.855053698
79,-2.63853418,-1.5,1.27706836,1,0.638534182,0.000193225216,0.855053698
80,-2.63853418,-0.5,1.27706836,1,0.638534182,0.000103090686,0.855053698
81,-1.5,-17.706199,1,4.58760194,2.29380097,7.39856399e-06,0.855053698
82,-1.5,-13.6329249,1,3.55894634,1.77947317,3.602492e-05,0.855053698
83,-1.5,-10.4729811,1,2.76094116,1.38047058,7.75977204e-05,0.855053698
84,-1.5,-8.02157615,1,2.1418688,1.0709344,0.000141287479,0.855053698
85,-1.5,-6.11983775,1,1.66160801,0.830804003,0.000220141017,0.855053698
86,-1.5,-4.64451687,1,1.28903375,0.644516874,0.000328703539,0.855053698
87,-1.5,-3.5,1,1,0.5,0.000432787221,0.855053698
88,-1.5,-2.5,1,1,0.5,0.000597629713,0.855053698
89,-1.5,-1.5,1,1,0.5,0.00077305751,0.855053698
90,-1.5,-0.5,1,1,0.5,0.00118777796,0.855053698
91,-0.5,-17.706199,1,4.58760194,2.29380097,7.13288109e-06,0.855053698
92,-0.5,-13.6329249,1,3.55894634,1.77947317,3.67362066e-05,0.855053698
93,-0.5,-10.4729811,1,2.76094116,1.38047058,8.35819936e-05,0.855053698
94,-0.5,-8.02157615,1,2.1418688,1.0709344,0.000152662556,0.855053698
95,-0.5,-6.11983775,1,1.66160801,0.830804003,0.000261855271,0.855053698
96,-0.5,-4.64451687,1,1.28903375,0.644516874,0.000383792509,0.855053698
97,-0.5,-3.5,1,1,0.5,0.000492771285,0.855053698
98,-0.5,-2.5,1,1,0.5,0.000630573996,0.855053698
