# ADR90 WP-A2 tau=0 band, build 2473ce46c2ae44412246ca305f3843463f389cad (expected 2473ce46c2ae44412246ca305f3843463f389cad), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0579624176,0.00226130872,0
4e-05,2e-05,2.23070501,-2.16056071,0.02,0,0.118812799,0.000430746085,0
6e-05,3e-05,2.59500075,-2.65246655,0.02,0,0.182654619,0.000224179238,0
8e-05,4e-05,2.97768936,-3.00798077,0.02,0,0.247164726,0.000154133543,0
0.0001,5e-05,3.34883649,-3.36159697,0.02,0,0.3718822,9.26460994e-05,0
0.00012,6e-05,3.73757147,-3.73888508,0.04,0,0.43616271,7.2683314e-05,0
0.00016,8e-05,4.52069692,-4.52528639,0.04,0,0.528844118,0.000122380239,0
0.0002,0.0001,5.29987018,-5.31796094,0.04,0,0.596832037,0.000132585133,0
0.00024,0.00012,6.06593397,-6.08599026,0.04,0,0.668246031,0.000117258672,0
0.00028,0.00014,6.81866112,-6.83283126,0.04,0,0.76506114,8.82562031e-05,0
0.00032,0.00016,7.55392357,-7.55644309,0.04,0,0.849202394,6.79547692e-05,0
0.00036,0.00018,8.25850511,-8.25787319,0.08,0,0.931425571,5.33667667e-05,0
0.00044,0.00022,9.64259267,-9.63708318,0.08,0,1.02232361,9.47421011e-05,0
0.00052,0.00026,10.9719996,-10.9794844,0.08,0,1.11837363,0.000108955493,0
0.0006,0.0003,12.2738929,-12.276588,0.08,0,1.21457171,0.000103668125,0
0.00068,0.00034,13.5396263,-13.5515288,0.08,0,1.31290841,9.48270367e-05,0
0.00076,0.00038,14.7852969,-14.7998621,0.08,0,1.41240311,9.36703051e-05,0
0.00084,0.00042,16.0103887,-16.018875,0.16,0,1.50884938,8.75143328e-05,0
0.001,0.0005,18.4551884,-18.4572498,0.16,0,1.6578846,0.000131820735,0
0.00116,0.00058,20.8648858,-20.8720837,0.16,0,1.79646325,0.000157242985,0
0.00132,0.00066,23.2369183,-23.2584819,0.16,0,1.92603779,0.000157158155,0
0.00148,0.00074,25.5782854,-25.7478013,0.16,0,2.08179522,0.000157987849,0
0.00164,0.00082,27.8847329,-27.8969326,0.16,0,2.22623873,0.000155943301,0
0.0018,0.0009,30.1423464,-29.6986785,0.32,0,2.34861732,0.000159783943,0
0.00212,0.00106,34.6375079,-34.2310558,0.32,0,2.55762029,0.000227304148,0
0.00244,0.00122,39.1081293,-38.8385319,0.32,0,2.77354336,0.000271377146,0
0.00276,0.00138,43.5178791,-43.3266307,0.32,0,2.97719693,0.000298954938,0
0.00308,0.00154,47.83519,-47.754455,0.32,0,3.17950773,0.000301372457,0
0.0034,0.0017,52.0983452,-52.1229764,0.32,0,3.38753939,0.000288738321,0
0.00372,0.00186,56.3152,-56.3524419,0.64,0,3.60096264,0.000265980433,0
0.00436,0.00218,64.7508202,-64.8621108,0.64,0,3.92959571,0.000344221917,0
0.005,0.0025,73.2112226,-73.262157,0.64,0,4.26713371,0.000438037525,0
0.00564,0.00282,81.4829653,-81.495595,0.64,0,4.5970068,0.000482298916,0
0.00628,0.00314,89.5478172,-89.51692,0.64,0,4.91592503,0.00049164921,0
0.00692,0.00346,97.4520106,-97.378944,0.64,0,5.23206139,0.000473283644,0
0.00756,0.00378,105.268992,-105.14103,1.28,0,5.55569839,0.000446719434,0
0.00884,0.00442,121.11798,-120.794049,1.28,0,6.05801773,0.000598468416,0
0.01012,0.00506,137.12499,-136.703184,1.28,0,6.59227204,0.000780046982,0
0.0114,0.0057,152.926739,-152.430139,1.28,0,7.13900971,0.000914225791,0
0.01268,0.00634,168.349853,-167.805613,1.28,0,7.63809085,0.000982727082,0
0.01396,0.00698,183.48665,-182.909342,1.28,0,8.1518023,0.000993645926,0
0.01524,0.00762,198.427078,-197.78267,2.56,0,8.66623592,0.000963320908,0
0.0178,0.0089,228.828764,-227.925877,2.56,0,9.5784719,0.00121090716,0
0.02036,0.01018,259.790811,-258.668046,2.56,0,10.4578161,0.00152865599,0
0.02292,0.01146,290.492872,-289.161795,2.56,0,11.3796108,0.0017843652,0
0.02548,0.01274,320.410584,-318.986711,2.56,0,12.320101,0.00193470702,0
0.02804,0.01402,349.672949,-348.091831,2.56,0,13.2156427,0.00197128949,0
0.0306,0.0153,378.503957,-376.81634,5,0,14.0456231,0.00193183109,0
0.0356,0.0178,435.801289,-433.79998,5,0,15.59375,0.00226772631,0
0.0406,0.0203,494.840149,-492.264871,5,0,17.1901696,0.00275515161,0
0.0456,0.0228,553.682705,-550.768944,5,0,18.7586391,0.00318637629,0
0.0506,0.0253,611.089573,-607.884387,5,0,20.2913997,0.00343472589,0
0.0556,0.0278,667.090216,-663.718695,5,0,21.7974699,0.00348539418,0
0.0606,0.0303,722.074217,-718.572436,5,0,23.2184935,0.00336010585,0
0.0656,0.0328,776.620416,-773.058573,5,0,24.7567959,0.00317159248,0
0.0706,0.0353,831.267906,-827.661265,5,0,26.2091384,0.00296109479,0
0.0756,0.0378,886.293784,-882.697463,5,0,27.6500566,0.00274713182,0
0.0806,0.0403,941.825485,-938.360035,5,0,29.0789793,0.00256981596,0
0.0856,0.0428,997.707942,-994.422663,5,0,30.5257983,0.00242269472,0
0.0906,0.0453,1053.86241,-1050.83739,5,0,31.9350598,0.00230357356,0
0.0956,0.0478,1110.06697,-1107.37789,5,0,33.6117339,0.00218701744,0
0.1006,0.0503,1166.22095,-1163.9814,5,0,35.1535611,0.00206858068,0
