# ADR90 WP-A2 tau=0 band, build a6a53948ef316f7eb6662ea09f2e1fb52d2b607f (expected a6a53948ef316f7eb6662ea09f2e1fb52d2b607f), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0547575951,0.00226130872,0,0,0,0,0,0
4e-05,2e-05,2.29252108,-2.23779554,0.02,0,0.105614901,0.000317745841,0,0,0,0,1568,56
6e-05,3e-05,2.65288663,-2.71281232,0.02,0,0.195108652,0.000243204074,0,0,48,0,1568,22
8e-05,4e-05,3.09239236,-3.12256156,0.02,0,0.267819881,0.000181199521,0,0,22,0,1568,28
0.0001,5e-05,3.53149136,-3.54314106,0.02,0,0.336455584,0.000156371943,0,0,8,0,1568,6
0.00012,6e-05,3.95968371,-3.96532664,0.04,0,0.403865814,0.000153752689,0,0,4,0,1568,18
0.00016,8e-05,4.93004079,-4.94565218,0.04,0,0.495659351,0.000271865318,0,0,5,0,1568,59
0.0002,0.0001,5.76323151,-5.78131872,0.04,0,0.588733673,0.000310102364,0,0,0,0,1568,4
0.00024,0.00012,6.53903423,-6.54895224,0.04,0,0.689885855,0.000324649912,0,0,4,0,1568,11
0.00028,0.00014,7.27642969,-7.28633952,0.04,0,0.788624048,0.000340265597,0,0,4,0,1568,32
0.00032,0.00016,7.98055266,-7.99630898,0.04,0,0.89559865,0.000358960354,0,0,8,0,1568,52
0.00036,0.00018,8.67685583,-8.69611665,0.08,0,1.01761031,0.00036144542,0,0,12,0,1568,92
0.00044,0.00022,10.4142218,-10.4656158,0.08,0,1.15055108,0.000655730091,0,0,0,0,1568,220
0.00052,0.00026,11.8415437,-11.9236099,0.08,0,1.30121326,0.000741393093,0,0,0,0,1568,92
0.0006,0.0003,13.1756862,-13.2818155,0.08,0,1.46422672,0.000785096523,0,0,4,0,1568,108
0.00068,0.00034,14.4672719,-14.5985412,0.08,0,1.61582422,0.000827241967,0,0,4,0,1568,128
0.00076,0.00038,15.724569,-15.8774297,0.08,0,1.76409245,0.000857831099,0,0,0,0,1568,152
0.00084,0.00042,16.9585295,-17.1368089,0.16,0,1.92872882,0.000882107314,0,0,0,0,1568,152
0.001,0.0005,20.2535983,-20.5853601,0.16,0,2.19439363,0.0015556953,0,0,0,0,1568,348
0.00116,0.00058,22.8886535,-23.3372994,0.16,0,2.45672202,0.00172958537,0,0,0,0,1568,112
0.00132,0.00066,25.3536278,-25.9090773,0.16,0,2.68016124,0.00183483575,0,0,4,0,1568,144
0.00148,0.00074,27.7391711,-28.4039765,0.16,0,2.91133237,0.00190748742,0,0,0,0,1568,160
0.00164,0.00082,30.0657349,-30.7775317,0.16,0,3.15492892,0.00196392235,0,0,4,0,1568,180
0.0018,0.0009,32.3570748,-32.9009342,0.32,0,3.40208387,0.0019953448,0,0,4,0,1568,180
0.00196,0.00098,34.655218,-35.2296413,0.16,0,4.03158379,0.00209136447,24,0,16,0,11072,1491
0.00212,0.00106,36.9159603,-37.5549601,0.16,0,4.2717042,0.00208921545,24,0,4,0,1568,180
0.00228,0.00114,39.1641196,-39.8175031,0.16,0,4.50643229,0.00211149222,24,0,0,0,1568,184
0.00244,0.00122,41.3893413,-42.1072928,0.16,0,4.72962976,0.00213212683,24,0,0,0,1568,196
0.0026,0.0013,43.6008763,-44.3605499,0.16,0,4.94402575,0.00214942027,24,0,0,0,1568,200
0.00276,0.00138,45.8000946,-46.5948602,0.32,0,5.17547154,0.00216290519,24,0,0,0,1568,200
0.00292,0.00146,47.9858009,-48.8137264,0.16,0,5.79321647,0.00217316727,36,0,0,0,11072,1304
0.00308,0.00154,50.1613529,-51.0190229,0.16,0,6.04887319,0.00218298793,36,0,0,0,1568,200
0.00324,0.00162,52.3276316,-53.2100874,0.16,0,6.28478003,0.00219082023,36,0,0,0,1568,200
0.0034,0.0017,54.4828006,-55.3917023,0.16,0,6.51067019,0.0021994838,36,0,0,0,1568,200
0.00356,0.00178,56.631548,-57.5618292,0.16,0,6.74058461,0.00220454724,36,0,0,0,1568,200
0.00372,0.00186,58.7681192,-59.7239089,0.32,0,6.96810269,0.00221205205,36,0,0,0,1568,200
0.00388,0.00194,60.8944578,-61.8798227,0.16,0,7.536479,0.00222241319,48,0,0,0,11072,1364
0.00404,0.00202,63.0174523,-64.0282711,0.16,0,7.75016785,0.00223013387,48,0,0,0,1568,200
0.0042,0.0021,65.1313693,-66.169362,0.16,0,8.01810575,0.00223801277,48,0,0,0,1568,204
0.00436,0.00218,67.2395809,-68.3033978,0.16,0,8.37580085,0.00224530458,48,0,0,0,1568,208
0.00452,0.00226,69.3406389,-70.4304248,0.16,0,8.61884379,0.00225359181,48,0,0,0,1568,208
0.00468,0.00234,71.4360507,-72.5506638,0.32,0,8.86340523,0.00225931738,48,0,0,0,1568,208
0.00484,0.00242,73.5260008,-74.6638554,0.16,0,9.47604322,0.00226584058,60,0,0,0,11072,1462
0.005,0.0025,75.6088013,-76.7717753,0.16,0,9.70182586,0.00227103296,60,0,0,0,1568,208
0.00516,0.00258,77.6861665,-78.8792348,0.16,0,9.92148352,0.0022784279,60,0,0,0,1568,208
0.00532,0.00266,79.7579567,-80.9666509,0.16,0,10.1507795,0.00228273752,60,0,0,0,1568,208
0.00548,0.00274,81.8217908,-83.0493545,0.16,0,10.3772349,0.00228905935,60,0,0,0,1568,212
0.00564,0.00282,83.8800636,-85.1322724,0.32,0,10.5936615,0.00229212866,60,0,0,0,1568,212
