# ADR90 WP-A2 tau=0 band, build 9e73060a90e81a35ebd842bcd10a315a980ffac4 (expected 9e73060a90e81a35ebd842bcd10a315a980ffac4), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0546078682,0.00226130872,0,0,0,0,0,0
4e-05,2e-05,2.29252108,-2.23779554,0.02,0,0.101751089,0.000234808345,0,0,0,0,1568,56
6e-05,3e-05,2.65289443,-2.71314681,0.02,0,0.192015886,0.000230599195,0,0,48,0,1568,22
8e-05,4e-05,3.09095106,-3.12381378,0.02,0,0.264424086,8.58408766e-05,0,0,22,0,1568,31
0.0001,5e-05,3.53014236,-3.54431416,0.02,0,0.335083485,5.32668453e-05,0,0,8,0,1568,10
0.00012,6e-05,3.95807019,-3.96634929,0.04,0,0.409891129,4.04425816e-05,0,0,4,0,1568,10
0.00016,8e-05,4.70240303,-4.71667578,0.04,0,0.570953369,0.000131159661,0,0,4,0,1568,62
0.0002,0.0001,5.53946838,-5.55580842,0.04,0,0.69768095,7.43945023e-05,0,0,4,0,1572,151
0.00024,0.00012,6.2912023,-6.3050124,0.04,0,0.828583241,9.80345597e-05,0,0,0,0,1568,72
0.00028,0.00014,7.01228533,-7.02174192,0.04,0,0.956093788,5.73277872e-05,0,0,4,0,1568,150
0.00032,0.00016,7.62078165,-7.62460783,0.04,0,1.14089036,0.000121276564,0,0,4,0,1568,202
0.00036,0.00018,8.28926155,-8.29555315,0.08,0,1.32030988,3.90621525e-05,0,0,8,0,1576,341
0.00044,0.00022,9.67037692,-9.67529826,0.08,0,1.58613825,8.53520072e-05,0,0,0,0,1568,408
0.00052,0.00026,10.9780059,-10.9946193,0.08,0,1.8721087,0.000101461421,0,0,0,0,1572,402
0.0006,0.0003,12.2566032,-12.2706037,0.08,0,2.16357517,8.74640717e-05,0,0,4,0,1572,446
0.00068,0.00034,13.5167108,-13.5336978,0.08,0,2.46398926,7.90203919e-05,0,0,4,0,1576,488
0.00076,0.00038,14.7590401,-14.7757455,0.08,0,2.75493407,7.24792139e-05,0,0,0,0,1576,508
0.00084,0.00042,15.9819363,-15.9930709,0.16,0,3.03451276,6.00818893e-05,0,0,0,0,1576,540
0.001,0.0005,18.4481802,-18.4459859,0.16,0,3.58307791,0.000112584518,0,0,0,0,1568,552
0.00116,0.00058,20.8104169,-20.8240565,0.16,0,4.06609392,0.000154897416,0,0,0,0,1576,555
0.00132,0.00066,23.1343877,-23.154421,0.16,0,4.63666725,0.000136477768,0,0,4,0,1576,568
0.00148,0.00074,25.4256359,-25.5886184,0.16,0,5.14643455,0.000135202895,0,0,4,0,1576,584
0.00164,0.00082,27.6887313,-27.7756793,0.16,0,5.65132236,0.000114924744,0,0,4,0,1572,608
0.0018,0.0009,29.8351007,-29.7283959,0.32,0,6.31568909,0.000148934179,0,0,8,0,1572,600
0.00212,0.00106,34.1938207,-33.8879439,0.32,0,7.87326431,0.000169609071,4,0,8,0,1568,664
0.00244,0.00122,38.7609857,-38.4450733,0.32,0,9.00454259,0.0002282207,8,0,8,0,1572,648
0.00276,0.00138,43.0929617,-42.8557501,0.32,0,10.0940723,0.000317268246,8,0,0,0,1572,588
0.00308,0.00154,47.3200211,-47.2669305,0.32,0,11.1615372,0.000275592797,8,0,4,0,1572,588
0.0034,0.0017,51.5087544,-51.5823196,0.32,0,12.2542133,0.000241222187,8,0,0,0,1572,592
0.00372,0.00186,55.67069,-55.8002657,0.64,0,13.3182285,0.000220510857,8,0,0,0,1572,598
0.00404,0.00202,59.8111791,-59.9566148,0.32,0,14.8698013,0.000203532005,32,0,0,0,11076,2685
0.00436,0.00218,63.9264678,-64.0733294,0.32,0,15.9741306,0.000181941929,32,0,0,0,1576,596
0.00468,0.00234,67.9348987,-68.0497898,0.32,0,17.1973441,0.000203790605,32,0,0,0,1576,592
0.005,0.0025,71.9734236,-72.0713418,0.32,0,18.3604629,0.000132547631,32,0,4,0,1576,591
0.00532,0.00266,76.0459095,-76.1295727,0.32,0,19.5440257,0.000107365962,32,0,4,0,1580,600
0.00564,0.00282,80.088275,-80.1650103,0.64,0,20.7362182,0.00010354614,32,0,0,0,1584,613
0.00628,0.00314,88.188629,-88.2445699,0.64,0,23.0888772,0.000182822826,36,0,0,0,1568,702
0.00692,0.00346,96.2369741,-96.2995645,0.64,0,25.4764333,0.000269351987,36,0,0,0,1584,620
0.00756,0.00378,104.207512,-104.271097,0.64,0,27.8237245,0.000291385621,36,0,0,0,1584,622
0.0082,0.0041,111.976694,-112.04637,0.64,0,30.4193461,0.000307104372,36,0,0,0,1580,624
0.00884,0.00442,119.724545,-119.81054,0.64,0,33.0055518,0.000296570784,36,0,0,0,1576,633
0.00948,0.00474,127.403775,-127.473859,1.28,0,35.8375528,0.000290912029,36,0,0,0,1576,638
0.01012,0.00506,135.115908,-135.190491,0.64,0,39.4139817,0.000290249598,84,0,0,0,11080,2636
0.01076,0.00538,142.82649,-142.900426,0.64,0,42.2649872,0.000292351684,84,0,0,0,1576,652
0.0114,0.0057,150.525438,-150.595492,0.64,0,45.171494,0.000289012405,84,0,0,0,1576,656
0.01204,0.00602,158.181338,-158.257881,0.64,0,47.9598427,0.0002760372,84,0,0,0,1574,660
0.01268,0.00634,165.7279,-165.793426,0.64,0,51.2879694,0.000247095886,84,0,0,0,1572,666
0.01332,0.00666,173.296793,-173.368056,1.28,0,54.5201092,0.000215313737,84,0,0,0,1572,668
0.01396,0.00698,180.878216,-180.947374,0.64,0,58.3266673,0.000195893246,108,0,0,0,11076,2946
0.0146,0.0073,188.395521,-188.453766,0.64,0,61.7649088,0.000184626145,108,0,0,0,1572,680
0.01524,0.00762,195.941579,-195.998337,0.64,0,65.2092822,0.000156928018,108,0,0,0,1572,680
0.01588,0.00794,203.48249,-203.553144,0.64,0,68.5389667,0.000151347269,108,0,0,0,1572,684
0.01652,0.00826,210.970428,-211.024786,0.64,0,71.8555384,0.000155343225,108,0,0,0,1574,683
0.01716,0.00858,218.483433,-218.545307,1.28,0,75.1691408,0.000138605855,108,0,0,0,1572,684
0.0178,0.0089,225.997839,-226.10442,0.64,0,79.0661702,0.000144110877,132,0,0,0,11076,3004
0.01844,0.00922,233.440559,-233.448515,0.64,0,82.441879,0.000145591335,132,0,0,0,1572,692
0.01908,0.00954,240.904407,-240.907451,0.64,0,85.9051316,0.000138738363,132,0,0,0,1572,692
0.01972,0.00986,248.322086,-248.331745,0.64,0,89.5285072,0.000129655254,132,0,0,0,1572,680
0.02036,0.01018,255.777536,-255.800283,0.64,0,93.2107961,0.000129440313,132,0,0,0,1574,698
0.021,0.0105,263.236454,-263.271056,1.28,0,96.8360653,0.000129990703,132,0,0,0,1572,690
0.02228,0.01114,278.195484,-278.238161,1.28,0,104.682819,0.000180846897,136,0,0,0,1572,799
0.02292,0.01146,285.687368,-285.729085,0.64,0,110.368379,0.000179421265,160,0,0,0,11146,3070
0.02356,0.01178,293.066279,-293.106356,0.64,0,114.104733,0.000172633406,160,0,0,0,1572,702
0.0242,0.0121,300.379062,-300.436925,0.64,0,118.048417,0.000151643666,160,0,0,0,1572,702
0.02484,0.01242,307.70812,-307.741151,0.64,0,122.126787,0.00013171509,160,0,0,0,1574,708
0.02548,0.01274,315.093106,-315.129475,0.64,0,126.102087,0.00011968522,160,0,0,0,1572,714
0.02612,0.01306,322.501277,-322.526176,1.28,0,130.145097,0.000113345365,160,0,0,0,1572,718
0.02676,0.01338,329.902647,-329.944667,0.64,0,136.588614,0.000107637465,184,0,0,0,11076,3212
