# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0655374527,0.00226130872,0,0,0,0,0
4e-05,2e-05,2.27598052,-2.28997261,0.02,0,0.120650291,0.000315002301,0,0,916,0,0
6e-05,3e-05,2.63031321,-2.70990469,0.02,0,0.202316284,0.000255318259,0,0,252,0,0
8e-05,4e-05,2.99350248,-3.0269303,0.02,0,0.281836748,0.000133609934,0,0,280,0,0
0.0001,5e-05,3.35135937,-3.35356037,0.02,0,0.362884998,8.26882821e-05,0,0,136,0,0
0.00012,6e-05,3.7203947,-3.71982586,0.04,0,0.440076351,7.91266537e-05,0,0,120,0,0
0.00016,8e-05,4.48763533,-4.50167857,0.04,0,0.544505835,0.00012684296,0,0,100,0,0
0.0002,0.0001,5.27754167,-5.28826271,0.04,0,0.642944336,0.000140515251,0,0,80,0,0
0.00024,0.00012,6.0473223,-6.06843294,0.04,0,0.747920513,0.000114639416,0,0,80,0,0
0.00028,0.00014,6.81395199,-6.81968563,0.04,0,0.860404253,9.95432388e-05,0,0,84,0,0
0.00032,0.00016,7.54428412,-7.55337948,0.04,0,0.972686768,7.14488374e-05,0,0,72,0,0
0.00036,0.00018,8.24810379,-8.2520519,0.08,0,1.08070254,5.45277371e-05,0,0,68,0,0
0.00044,0.00022,9.62233053,-9.62296218,0.08,0,1.22869635,9.19309925e-05,0,0,76,0,0
0.00052,0.00026,10.9600732,-10.9589344,0.08,0,1.38126516,0.000108744296,0,0,72,0,0
0.0006,0.0003,12.2544356,-12.2615883,0.08,0,1.53351092,9.82593914e-05,0,0,68,0,0
0.00068,0.00034,13.5594935,-13.5201228,0.08,0,1.69404602,0.000115149693,0,0,60,0,0
0.00076,0.00038,14.7819908,-14.7869297,0.08,0,1.87366152,9.46578461e-05,0,0,52,0,0
0.00084,0.00042,16.0385847,-15.9943293,0.16,0,2.05995297,0.000111177671,0,0,52,0,0
0.001,0.0005,18.4594334,-18.4475117,0.16,0,2.33636665,0.000136310767,0,0,56,0,0
0.00116,0.00058,20.8542313,-20.8659236,0.16,0,2.6032598,0.000159467395,0,0,40,0,0
0.00132,0.00066,23.2134787,-23.2348069,0.16,0,2.8692596,0.000156985663,0,0,32,0,0
0.00148,0.00074,25.5390615,-25.6813444,0.16,0,3.14811158,0.000155027219,0,0,32,0,0
0.00164,0.00082,27.8396993,-27.978695,0.16,0,3.40626216,0.000151726588,0,0,32,0,0
0.0018,0.0009,30.1289972,-29.9773434,0.32,0,3.67995858,0.000152083285,0,0,28,0,0
0.00212,0.00106,34.6294375,-34.1939984,0.32,0,4.10385227,0.000217845762,8,0,16,0,0
0.00244,0.00122,39.0866111,-38.6585976,0.32,0,4.4874084,0.000267430956,16,0,8,0,0
0.00276,0.00138,43.4443452,-43.1266994,0.32,0,4.88743997,0.000289212795,20,0,10,0,0
0.00308,0.00154,47.7393309,-47.6021111,0.32,0,5.29994345,0.000289578953,24,0,4,0,0
0.00324,0.00162,49.7916196,-49.7610455,0.16,0,5.92422199,0.000220191297,60,0,16,0,0
0.0034,0.0017,51.8447781,-51.8550971,0.16,0,6.19091868,0.000161661252,60,0,12,0,0
0.00356,0.00178,53.9064363,-53.9541635,0.16,0,6.46903157,0.000119105006,60,0,8,0,0
0.00372,0.00186,55.9947891,-56.0586056,0.16,0,6.73359346,8.3973411e-05,60,0,8,0,0
0.00388,0.00194,58.1078444,-58.150417,0.16,0,7.00686312,6.14065141e-05,60,0,0,0,0
0.00404,0.00202,60.2186568,-60.2412472,0.32,0,7.27525926,4.94155514e-05,60,0,0,0,0
0.0042,0.0021,62.3164228,-62.3201114,0.16,0,7.90172338,5.18519622e-05,96,0,0,0,0
0.00436,0.00218,64.3948298,-64.3874033,0.16,0,8.16725135,5.58608933e-05,96,0,0,0,0
0.00452,0.00226,66.460687,-66.4457854,0.16,0,8.43716288,5.55725383e-05,96,0,0,0,0
0.00468,0.00234,68.5258904,-68.5008993,0.16,0,8.68703461,5.10721596e-05,96,0,0,0,0
0.00484,0.00242,70.5664093,-70.5539381,0.16,0,8.95597053,4.72641726e-05,96,0,0,0,0
0.005,0.0025,72.613498,-72.6028024,0.32,0,9.22364855,4.41190142e-05,96,0,0,0,0
0.00516,0.00258,74.6612249,-74.6523276,0.16,0,9.80540347,4.33512024e-05,156,0,0,0,0
0.00532,0.00266,76.7009116,-76.6945624,0.16,0,10.0600824,4.71024729e-05,156,0,0,0,0
0.00548,0.00274,78.7355327,-78.734533,0.16,0,10.3180137,4.6574398e-05,156,0,0,0,0
0.00564,0.00282,80.771129,-80.7675591,0.16,0,10.5867178,4.97934285e-05,156,0,0,0,0
0.0058,0.0029,82.8136224,-82.7917138,0.16,0,10.8270302,5.17730313e-05,156,0,0,0,0
0.00596,0.00298,84.8407596,-84.8139371,0.32,0,11.0923033,5.08005843e-05,156,0,0,0,0
0.00612,0.00306,86.8556574,-86.8357521,0.16,0,11.6873503,4.76257012e-05,216,0,0,0,0
0.00628,0.00314,88.8678842,-88.85178,0.16,0,11.9382951,4.53923384e-05,216,0,0,0,0
0.00644,0.00322,90.8893934,-90.8609716,0.16,0,12.2062624,4.51084239e-05,216,0,0,0,0
0.0066,0.0033,92.8993142,-92.8692812,0.16,0,12.4579456,4.34172178e-05,216,0,0,0,0
0.00676,0.00338,94.8985314,-94.8764314,0.16,0,12.7229073,4.13011329e-05,216,0,0,0,0
0.00692,0.00346,96.8961619,-96.8775987,0.32,0,12.9851735,4.07603624e-05,216,0,0,0,0
0.00708,0.00354,98.8916092,-98.8717003,0.16,0,13.5700991,3.89858191e-05,276,0,0,0,0
0.00724,0.00362,100.879885,-100.863743,0.16,0,13.8131185,3.58749145e-05,276,0,0,0,0
0.0074,0.0037,102.88104,-102.851283,0.16,0,14.070442,3.40126582e-05,276,0,0,0,0
0.00756,0.00378,104.853552,-104.843764,0.16,0,14.3182149,3.30274821e-05,276,0,0,0,0
