# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0680551529,0.00226130872,0
4e-05,2e-05,2.23070501,-2.16056071,0.02,0,0.164703608,0.000430746085,0
6e-05,3e-05,2.59500075,-2.65246655,0.02,0,0.263387203,0.000224179238,0
8e-05,4e-05,2.97768936,-3.00798077,0.02,0,0.358245611,0.000154133543,0
0.0001,5e-05,3.34883649,-3.36159697,0.02,0,0.440818548,9.26460994e-05,0
0.00012,6e-05,3.73757147,-3.73888508,0.04,0,0.532722712,7.2683314e-05,0
0.00016,8e-05,4.52069692,-4.52528639,0.04,0,0.653166294,0.000122380239,0
0.0002,0.0001,5.29987018,-5.31796094,0.04,0,0.767025471,0.000132585133,0
0.00024,0.00012,6.06593397,-6.08599026,0.04,0,0.90704608,0.000117258672,0
0.00028,0.00014,6.81866112,-6.83283126,0.04,0,1.07737541,8.82562031e-05,0
0.00032,0.00016,7.55392357,-7.55644309,0.04,0,1.26929784,6.79547692e-05,0
0.00036,0.00018,8.25850511,-8.25787319,0.08,0,1.42222571,5.33667667e-05,0
0.00044,0.00022,9.64259267,-9.63708318,0.08,0,1.61321187,9.47421011e-05,8
0.00052,0.00026,10.9719996,-10.9794844,0.08,0,1.79984522,0.000108955493,16
0.0006,0.0003,12.2738929,-12.276588,0.08,0,1.9949522,0.000103668125,20
0.00068,0.00034,13.5396263,-13.5515288,0.08,0,2.17393184,9.48270367e-05,24
0.00076,0.00038,14.7852969,-14.7998621,0.08,0,2.34619594,9.36703051e-05,28
0.00084,0.00042,16.0103887,-16.018875,0.16,0,2.51651311,8.75143327e-05,32
0.00092,0.00046,17.2210598,-17.225194,0.08,0,2.99944091,7.7828182e-05,96
0.001,0.0005,18.4349293,-18.4231295,0.08,0,3.16176653,7.39076774e-05,100
0.00108,0.00054,19.6255649,-19.6244565,0.08,0,3.33676267,6.22271952e-05,100
0.00116,0.00058,20.8407382,-20.8146927,0.08,0,3.50968313,6.49785184e-05,100
0.00124,0.00062,22.0376719,-22.0131912,0.08,0,3.68397164,6.30336298e-05,100
0.00132,0.00066,23.21214,-23.2260744,0.16,0,3.8666501,5.47821539e-05,100
0.0014,0.0007,24.3934663,-24.4382999,0.08,0,4.31921983,5.43226011e-05,160
0.00148,0.00074,25.5629768,-25.565175,0.08,0,4.49832892,5.25118344e-05,160
0.00156,0.00078,26.680387,-26.5312663,0.08,0,4.66467285,4.62657466e-05,160
0.00164,0.00082,27.8079292,-27.7720049,0.08,0,4.84100246,3.90575841e-05,160
0.00172,0.00086,28.9457054,-28.9189997,0.08,0,5.02365375,3.48576053e-05,160
0.0018,0.0009,30.0833767,-30.0548973,0.16,0,5.19236684,3.08552045e-05,160
0.00188,0.00094,31.2138995,-31.1804247,0.08,0,5.64020896,3.09887105e-05,220
0.00196,0.00098,32.3410558,-32.3052567,0.08,0,5.81602335,3.01268988e-05,220
0.00204,0.00102,33.4525813,-33.4297091,0.08,0,5.99337125,2.91227879e-05,220
0.00212,0.00106,34.5631998,-34.5442485,0.08,0,6.17677951,2.83282399e-05,220
0.0022,0.0011,35.6706041,-35.651129,0.08,0,6.35106754,2.69518749e-05,220
0.00228,0.00114,36.7711648,-36.7502414,0.16,0,6.53374743,2.85342822e-05,220
0.00236,0.00118,37.8702191,-37.8525095,0.08,0,6.9744401,2.6507868e-05,292
0.00244,0.00122,38.9637099,-38.9467525,0.08,0,7.16174698,2.57708853e-05,292
0.00252,0.00126,40.055431,-40.029899,0.08,0,7.3480525,2.46797443e-05,292
0.0026,0.0013,41.1437034,-41.1249644,0.08,0,7.54807353,2.53634666e-05,292
0.00268,0.00134,42.2308865,-42.2163758,0.08,0,7.73046517,2.42936266e-05,292
0.00276,0.00138,43.3143633,-43.3060528,0.16,0,7.92609715,2.22415709e-05,292
0.00284,0.00142,44.3959394,-44.3900281,0.08,0,8.36019564,2.34360595e-05,376
0.00292,0.00146,45.4716126,-45.469555,0.08,0,8.5449717,2.3044275e-05,376
0.003,0.0015,46.5431307,-46.5432433,0.08,0,8.72011161,2.38972657e-05,376
0.00308,0.00154,47.6163781,-47.61401,0.08,0,8.90747046,2.25742018e-05,376
0.00316,0.00158,48.6853165,-48.6797371,0.08,0,9.07746029,2.40600148e-05,376
0.00324,0.00162,49.7483883,-49.7460143,0.16,0,9.24798584,2.14862749e-05,376
0.00332,0.00166,50.8118301,-50.8080352,0.08,0,9.67229533,2.09515028e-05,460
0.0034,0.0017,51.8730096,-51.8652161,0.08,0,9.8254478,2.14394325e-05,460
0.00348,0.00174,52.9297915,-52.9247551,0.08,0,10.0074978,2.1252996e-05,460
0.00356,0.00178,53.9862632,-53.9801832,0.08,0,10.1718752,2.21649134e-05,460
0.00364,0.00182,55.0395002,-55.0339283,0.08,0,10.3435352,2.07413522e-05,460
0.00372,0.00186,56.091693,-56.087792,0.16,0,10.5195715,1.80433574e-05,460
0.0038,0.0019,57.1406159,-57.138952,0.08,0,10.964699,1.89008195e-05,544
0.00388,0.00194,58.1863466,-58.1859594,0.08,0,11.1568029,1.88262661e-05,544
0.00396,0.00198,59.2308613,-59.230197,0.08,0,11.3497007,1.96862155e-05,544
0.00404,0.00202,60.2756973,-60.2743734,0.08,0,11.5150931,1.83614036e-05,544
0.00412,0.00206,61.3195087,-61.3171302,0.08,0,11.7175817,1.79374525e-05,544
0.0042,0.0021,62.358958,-62.3574434,0.16,0,11.9142458,2.09339676e-05,544
0.00428,0.00214,63.4039645,-63.3935269,0.08,0,12.3183386,2.02279649e-05,628
0.00436,0.00218,64.4416669,-64.4303455,0.08,0,12.4817955,1.97022332e-05,628
0.00444,0.00222,65.4794974,-65.4655045,0.08,0,12.647109,1.74959347e-05,628
0.00452,0.00226,66.5134078,-66.4960874,0.08,0,12.8137999,2.05724634e-05,628
0.0046,0.0023,67.5369265,-67.5287315,0.08,0,12.9917037,1.81355549e-05,628
0.00468,0.00234,68.5660111,-68.5582676,0.16,0,13.1595476,1.87834551e-05,628
0.00476,0.00238,69.5887487,-69.5847725,0.08,0,13.5690641,1.88074402e-05,712
0.00484,0.00242,70.6131827,-70.6098298,0.08,0,13.7313259,1.9058028e-05,712
0.00492,0.00246,71.6430934,-71.6345358,0.08,0,13.9074051,1.80361066e-05,712
0.005,0.0025,72.6638923,-72.657936,0.08,0,14.065378,1.99221452e-05,712
0.00508,0.00254,73.6833773,-73.6794622,0.08,0,14.2295473,1.95369921e-05,712
0.00516,0.00258,74.7063685,-74.6999237,0.16,0,14.3963742,2.03979004e-05,712
0.00524,0.00262,75.7248809,-75.7203658,0.08,0,14.8219018,1.93920203e-05,796
0.00532,0.00266,76.746895,-76.7398816,0.08,0,14.9966018,1.84239214e-05,796
0.0054,0.0027,77.7686336,-77.7591786,0.08,0,15.1798816,1.85042106e-05,796
0.00548,0.00274,78.7818444,-78.7773511,0.08,0,15.3508024,1.91543934e-05,796
0.00556,0.00278,79.7951564,-79.7931949,0.08,0,15.5263383,1.75811491e-05,796
0.00564,0.00282,80.8074432,-80.8075389,0.16,0,15.717768,1.68649202e-05,796
0.00572,0.00286,81.8204974,-81.8179578,0.08,0,16.1322231,1.78672975e-05,880
0.0058,0.0029,82.8343738,-82.8304775,0.08,0,16.2978776,1.58663202e-05,880
0.00588,0.00294,83.8441216,-83.8390368,0.08,0,16.4611032,1.84064192e-05,880
0.00596,0.00298,84.8520855,-84.8481207,0.08,0,16.6235192,1.79961107e-05,880
0.00604,0.00302,85.8539171,-85.8524371,0.08,0,16.8040266,1.88777049e-05,880
0.00612,0.00306,86.8624493,-86.8598142,0.16,0,16.9878922,1.67891016e-05,880
0.0062,0.0031,87.8682438,-87.8636585,0.08,0,17.4093993,1.83943727e-05,964
0.00628,0.00314,88.8766449,-88.8701773,0.08,0,17.5933566,1.75442879e-05,964
0.00636,0.00318,89.8817922,-89.8755279,0.08,0,17.777782,1.75769453e-05,964
0.00644,0.00322,90.8845492,-90.8791842,0.08,0,17.9611397,1.70349157e-05,964
0.00652,0.00326,91.8857271,-91.8809486,0.08,0,18.1237242,1.74518442e-05,964
0.0066,0.0033,92.8872232,-92.8832858,0.16,0,18.2911999,1.53647886e-05,964
0.00668,0.00334,93.8879823,-93.8837211,0.08,0,18.7089865,1.62832998e-05,1048
0.00676,0.00338,94.8870718,-94.8821408,0.08,0,18.8933871,1.5593541e-05,1048
0.00684,0.00342,95.8942206,-95.8768088,0.08,0,19.0561988,1.64975705e-05,1048
0.00692,0.00346,96.8862386,-96.8732444,0.08,0,19.2225847,1.72888913e-05,1048
0.007,0.0035,97.8809535,-97.8682687,0.08,0,19.3926625,1.55176136e-05,1048
0.00708,0.00354,98.8801577,-98.8618965,0.16,0,19.5679493,1.6820621e-05,1048
0.00716,0.00358,99.8689502,-99.8565063,0.08,0,19.9670255,1.65534579e-05,1132
0.00724,0.00362,100.863483,-100.8523,0.08,0,20.1399937,1.62981033e-05,1132
0.00732,0.00366,101.855756,-101.84424,0.08,0,20.3098333,1.86639319e-05,1132
0.0074,0.0037,102.845206,-102.837512,0.08,0,20.4751022,1.59498503e-05,1132
0.00748,0.00374,103.837974,-103.829108,0.08,0,20.6390641,1.58332579e-05,1132
0.00756,0.00378,104.830139,-104.821148,0.16,0,20.808598,1.52778839e-05,1132
0.00764,0.00382,105.816175,-105.809848,0.08,0,21.1964962,1.67884146e-05,1216
0.00772,0.00386,106.804847,-106.796149,0.08,0,21.3663318,1.78209286e-05,1216
0.0078,0.0039,107.792094,-107.785074,0.08,0,21.5435209,1.66413183e-05,1216
0.00788,0.00394,108.778733,-108.772133,0.08,0,21.7091825,1.72710117e-05,1216
0.00796,0.00398,109.765281,-109.758933,0.08,0,21.8722081,1.84270248e-05,1216
0.00804,0.00402,110.753134,-110.747233,0.16,0,22.0243986,1.61306643e-05,1216
0.00812,0.00406,111.735548,-111.73249,0.08,0,22.4029388,1.68293289e-05,1300
0.0082,0.0041,112.722726,-112.719928,0.08,0,22.559104,1.39922354e-05,1300
0.00828,0.00414,113.703496,-113.698135,0.08,0,22.7349102,1.97033056e-05,1300
0.00836,0.00418,114.686639,-114.680328,0.08,0,22.9064128,1.67896905e-05,1300
0.00844,0.00422,115.667083,-115.661154,0.08,0,23.0718112,1.68880194e-05,1300
0.00852,0.00426,116.650717,-116.644339,0.16,0,23.2293873,1.63122789e-05,1300
0.0086,0.0043,117.630533,-117.626036,0.08,0,23.6123114,1.61661528e-05,1384
0.00868,0.00434,118.612112,-118.608716,0.08,0,23.7938662,1.47852439e-05,1384
0.00876,0.00438,119.592134,-119.587382,0.08,0,23.9621558,1.58683997e-05,1384
0.00884,0.00442,120.571571,-120.566836,0.08,0,24.1427233,1.57295664e-05,1384
0.00892,0.00446,121.546514,-121.542912,0.08,0,24.3123262,1.7210932e-05,1384
0.009,0.0045,122.525299,-122.521483,0.16,0,24.4694717,1.61595649e-05,1384
0.00908,0.00454,123.507568,-123.49905,0.08,0,24.856477,1.52722427e-05,1468
0.00916,0.00458,124.482647,-124.475924,0.08,0,25.0388324,1.73079963e-05,1468
0.00924,0.00462,125.458832,-125.451404,0.08,0,25.2188036,1.70975762e-05,1468
0.00932,0.00466,126.435394,-126.428041,0.08,0,25.3971858,1.58025396e-05,1468
0.0094,0.0047,127.412338,-127.405355,0.08,0,25.5652897,1.62463897e-05,1468
0.00948,0.00474,128.388846,-128.383929,0.16,0,25.7335224,1.5051875e-05,1468
0.00956,0.00478,129.36748,-129.361089,0.08,0,26.1050978,1.51819913e-05,1552
0.00964,0.00482,130.344748,-130.339669,0.08,0,26.2625408,1.47244032e-05,1552
0.00972,0.00486,131.317569,-131.31358,0.08,0,26.4252367,1.63161338e-05,1552
0.0098,0.0049,132.292726,-132.289272,0.08,0,26.6187539,1.34160816e-05,1552
0.00988,0.00494,133.260838,-133.259269,0.08,0,26.8178051,1.58714368e-05,1552
0.00996,0.00498,134.231491,-134.229813,0.16,0,26.9941239,1.51914551e-05,1552
0.01004,0.00502,135.200396,-135.198984,0.08,0,27.3858674,1.41756015e-05,1624
0.01012,0.00506,136.172004,-136.171473,0.08,0,27.5939937,1.46435086e-05,1624
0.0102,0.0051,137.14084,-137.141196,0.08,0,27.7835336,1.35103424e-05,1624
0.01028,0.00514,138.111682,-138.111906,0.08,0,27.9607086,1.38001248e-05,1624
0.01036,0.00518,139.080072,-139.07893,0.08,0,28.1301956,1.47013002e-05,1624
0.01044,0.00522,140.049138,-140.046692,0.16,0,28.3062644,1.39447368e-05,1624
0.01052,0.00526,141.014864,-141.012084,0.08,0,28.6845136,1.48684615e-05,1708
0.0106,0.0053,141.981192,-141.980144,0.08,0,28.8640833,1.41959547e-05,1708
0.01068,0.00534,142.949217,-142.945224,0.08,0,29.0325127,1.59839946e-05,1708
0.01076,0.00538,143.917877,-143.915001,0.08,0,29.1961277,1.42973164e-05,1708
0.01084,0.00542,144.889674,-144.881067,0.08,0,29.3608291,1.57055177e-05,1708
0.01092,0.00546,145.851532,-145.848375,0.16,0,29.5235093,1.57295629e-05,1708
0.011,0.0055,146.819438,-146.814954,0.08,0,29.9101579,1.46730979e-05,1792
0.01108,0.00554,147.78566,-147.781594,0.08,0,30.0820851,1.49278096e-05,1792
0.01116,0.00558,148.759423,-148.742839,0.08,0,30.257236,1.69642388e-05,1792
0.01124,0.00562,149.722205,-149.711791,0.08,0,30.4284389,1.31863337e-05,1792
0.01132,0.00566,150.690567,-150.674973,0.08,0,30.6076682,1.51569201e-05,1792
0.0114,0.0057,151.651085,-151.638982,0.16,0,30.7768042,1.44656405e-05,1792
0.01148,0.00574,152.612144,-152.602763,0.08,0,31.1846838,1.45843006e-05,1876
0.01156,0.00578,153.580846,-153.567527,0.08,0,31.3479245,1.21788949e-05,1876
0.01164,0.00582,154.536795,-154.531318,0.08,0,31.514286,1.40029214e-05,1876
0.01172,0.00586,155.502053,-155.492595,0.08,0,31.6791935,1.3675874e-05,1876
0.0118,0.0059,156.46733,-156.450578,0.08,0,31.8341527,1.54537472e-05,1876
0.01188,0.00594,157.425131,-157.412425,0.16,0,32.0001945,1.38189005e-05,1876
0.01196,0.00598,158.384639,-158.372201,0.08,0,32.3575752,1.59503225e-05,1960
0.01204,0.00602,159.340452,-159.333019,0.08,0,32.517766,1.56399062e-05,1960
0.01212,0.00606,160.299723,-160.291455,0.08,0,32.6860304,1.73402745e-05,1960
0.0122,0.0061,161.255164,-161.250233,0.08,0,32.8376758,1.59544662e-05,1960
0.01228,0.00614,162.214683,-162.209997,0.08,0,32.999088,1.51418803e-05,1960
0.01236,0.00618,163.173703,-163.169391,0.16,0,33.1539958,1.46485028e-05,1960
0.01244,0.00622,164.132962,-164.129008,0.08,0,33.5435312,1.44276346e-05,2056
0.01252,0.00626,165.090222,-165.088106,0.08,0,33.7116785,1.38252738e-05,2056
0.0126,0.0063,166.048344,-166.045335,0.08,0,33.8756068,1.37201212e-05,2056
0.01268,0.00634,167.002954,-166.999656,0.08,0,34.0389519,1.67029629e-05,2056
0.01276,0.00638,167.959283,-167.956938,0.08,0,34.2062478,1.41204596e-05,2056
0.01284,0.00642,168.913592,-168.913355,0.16,0,34.3685188,1.415594e-05,2056
0.01292,0.00646,169.869792,-169.868593,0.08,0,34.7456191,1.52775405e-05,2152
0.013,0.0065,170.827531,-170.82453,0.08,0,34.9077058,1.37534788e-05,2152
0.01308,0.00654,171.783411,-171.781178,0.08,0,35.0731096,1.32391824e-05,2152
0.01316,0.00658,172.739222,-172.736057,0.08,0,35.2337289,1.44477074e-05,2152
0.01324,0.00662,173.691576,-173.688737,0.08,0,35.4165187,1.48562944e-05,2152
0.01332,0.00666,174.645911,-174.640891,0.16,0,35.5809982,1.62571999e-05,2152
0.0134,0.0067,175.602196,-175.596734,0.08,0,35.9679689,1.36829695e-05,2248
0.01348,0.00674,176.557188,-176.551317,0.08,0,36.148489,1.52771704e-05,2248
0.01356,0.00678,177.511781,-177.506881,0.08,0,36.3206296,1.45552663e-05,2248
0.01364,0.00682,178.465776,-178.461023,0.08,0,36.4839933,1.57458452e-05,2248
0.01372,0.00686,179.418775,-179.414211,0.08,0,36.6615975,1.53472858e-05,2248
0.0138,0.0069,180.370975,-180.366238,0.16,0,36.8471847,1.54030245e-05,2248
0.01388,0.00694,181.322784,-181.319652,0.08,0,37.2105861,1.43103659e-05,2344
0.01396,0.00698,182.277739,-182.274038,0.08,0,37.3631773,1.36211584e-05,2344
0.01404,0.00702,183.231624,-183.229375,0.08,0,37.5207257,1.34103842e-05,2344
0.01412,0.00706,184.185502,-184.183734,0.08,0,37.6780834,1.39240231e-05,2344
0.0142,0.0071,185.136922,-185.135868,0.08,0,37.8447986,1.38882589e-05,2344
0.01428,0.00714,186.090327,-186.089098,0.16,0,38.0100327,1.38684815e-05,2344
0.01436,0.00718,187.041967,-187.040406,0.08,0,38.4163015,1.4804812e-05,2440
0.01444,0.00722,187.993641,-187.992802,0.08,0,38.5759225,1.25651057e-05,2440
0.01452,0.00726,188.946307,-188.945179,0.08,0,38.7382717,1.33759493e-05,2440
0.0146,0.0073,189.898219,-189.896653,0.08,0,38.8909559,1.30950951e-05,2440
0.01468,0.00734,190.851121,-190.848993,0.08,0,39.045188,1.30494277e-05,2440
0.01476,0.00738,191.801875,-191.800374,0.16,0,39.203054,1.31643864e-05,2440
0.01484,0.00742,192.751371,-192.750168,0.08,0,39.5722661,1.30264083e-05,2536
0.01492,0.00746,193.701156,-193.698778,0.08,0,39.7401972,1.29141163e-05,2536
0.015,0.0075,194.655312,-194.644144,0.08,0,39.8966999,1.42259972e-05,2536
0.01508,0.00754,195.594512,-195.590868,0.08,0,40.0512145,1.35220931e-05,2536
0.01516,0.00758,196.547173,-196.536415,0.08,0,40.2126052,1.38516042e-05,2536
0.01524,0.00762,197.490844,-197.484793,0.16,0,40.3768325,1.3367743e-05,2536
0.01532,0.00766,198.442192,-198.43191,0.08,0,40.724025,1.44722342e-05,2632
0.0154,0.0077,199.386391,-199.380986,0.08,0,40.8860705,1.29479559e-05,2632
0.01548,0.00774,200.337939,-200.329401,0.08,0,41.0615673,1.37894627e-05,2632
0.01556,0.00778,201.284828,-201.277671,0.08,0,41.2492747,1.41019481e-05,2632
0.01564,0.00782,202.231645,-202.226735,0.08,0,41.4176908,1.26739214e-05,2632
0.01572,0.00786,203.185354,-203.174276,0.16,0,41.5755315,1.18785328e-05,2632
0.0158,0.0079,204.135069,-204.123632,0.08,0,41.9422784,1.17992925e-05,2728
0.01588,0.00794,205.078746,-205.070455,0.08,0,42.116909,1.19843281e-05,2728
0.01596,0.00798,206.027367,-206.015099,0.08,0,42.2716084,1.31990249e-05,2728
0.01604,0.00802,206.972224,-206.960682,0.08,0,42.4402032,1.36582764e-05,2728
0.01612,0.00806,207.914753,-207.908371,0.08,0,42.6155946,1.26934441e-05,2728
0.0162,0.0081,208.857826,-208.851637,0.16,0,42.7705386,1.43201059e-05,2728
0.01628,0.00814,209.803173,-209.79685,0.08,0,43.1319342,1.3527576e-05,2824
0.01636,0.00818,210.751638,-210.741572,0.08,0,43.291702,1.37151219e-05,2824
0.01644,0.00822,211.691102,-211.687414,0.08,0,43.4451203,1.35476148e-05,2824
0.01652,0.00826,212.63368,-212.629694,0.08,0,43.6077616,1.56868619e-05,2824
0.0166,0.0083,213.579454,-213.573813,0.08,0,43.7696948,1.26973153e-05,2824
0.01668,0.00834,214.523202,-214.514344,0.16,0,43.9262018,1.597443e-05,2824
0.01676,0.00838,215.471054,-215.459349,0.08,0,44.2953687,1.2805624e-05,2920
0.01684,0.00842,216.41157,-216.400665,0.08,0,44.4612317,1.57868071e-05,2920
0.01692,0.00846,217.355032,-217.347592,0.08,0,44.6191556,1.32359105e-05,2920
0.017,0.0085,218.294744,-218.291978,0.08,0,44.7805381,1.50312102e-05,2920
0.01708,0.00854,219.241643,-219.239032,0.08,0,44.9539077,1.24101797e-05,2920
0.01716,0.00858,220.185899,-220.181956,0.16,0,45.1135411,1.44590636e-05,2920
0.01724,0.00862,221.131738,-221.126419,0.08,0,45.5135965,1.36377917e-05,3016
0.01732,0.00866,222.073317,-222.068456,0.08,0,45.6571229,1.47491238e-05,3016
0.0174,0.0087,223.013456,-223.010165,0.08,0,45.808424,1.44998941e-05,3016
