# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
2e-05,1e-05,2.73884294,-0.563280637,0.02,0,0.0674445629,0.00226130872,0
4e-05,2e-05,2.23070501,-2.16056071,0.02,0,0.172039509,0.000430746085,0
6e-05,3e-05,2.59500075,-2.65246655,0.02,0,0.286779404,0.000224179238,0
8e-05,4e-05,2.97768936,-3.00798077,0.02,0,0.380776405,0.000154133543,0
0.0001,5e-05,3.34883649,-3.36159697,0.02,0,0.468837261,9.26460994e-05,0
0.00012,6e-05,3.73757147,-3.73888508,0.04,0,0.555133581,7.2683314e-05,0
0.00016,8e-05,4.52069692,-4.52528639,0.04,0,0.664731741,0.000122380239,0
0.0002,0.0001,5.29987018,-5.31796094,0.04,0,0.775889635,0.000132585133,0
0.00024,0.00012,6.06593397,-6.08599026,0.04,0,0.88918066,0.000117258672,0
0.00028,0.00014,6.81866112,-6.83283126,0.04,0,1.0066607,8.82562031e-05,0
0.00032,0.00016,7.55392357,-7.55644309,0.04,0,1.13030601,6.79547692e-05,0
0.00036,0.00018,8.25850511,-8.25787319,0.08,0,1.25772095,5.33667667e-05,0
0.00044,0.00022,9.64259267,-9.63708318,0.08,0,1.40339732,9.47421011e-05,0
0.00052,0.00026,10.9719996,-10.9794844,0.08,0,1.56932449,0.000108955493,0
0.0006,0.0003,12.2738929,-12.276588,0.08,0,1.73635936,0.000103668125,0
0.00068,0.00034,13.5396263,-13.5515288,0.08,0,1.90561676,9.48270367e-05,0
0.00076,0.00038,14.7852969,-14.7998621,0.08,0,2.07723761,9.36703051e-05,0
0.00084,0.00042,16.0103887,-16.018875,0.16,0,2.27002382,8.75143328e-05,0
0.001,0.0005,18.4551884,-18.4572498,0.16,0,2.53905821,0.000131820735,0
0.00116,0.00058,20.8648858,-20.8720837,0.16,0,2.80985141,0.000157242985,0
0.00132,0.00066,23.2369183,-23.2584819,0.16,0,3.050776,0.000157158155,0
0.00148,0.00074,25.5782854,-25.7478013,0.16,0,3.2847085,0.000157987849,0
0.00164,0.00082,27.8847329,-27.8969326,0.16,0,3.51683044,0.000155943301,0
0.0018,0.0009,30.1423464,-29.6986785,0.32,0,3.7798717,0.000159783943,0
0.00212,0.00106,34.6375079,-34.2310558,0.32,0,4.14043927,0.000227304148,8
0.00244,0.00122,39.1081293,-38.8385319,0.32,0,4.50397587,0.000271377146,16
0.00276,0.00138,43.5178791,-43.3266307,0.32,0,4.86992121,0.000298954938,20
0.00308,0.00154,47.83519,-47.754455,0.32,0,5.24025869,0.000301372457,24
0.00324,0.00162,49.8997938,-49.8823459,0.16,0,5.81578088,0.000229585605,60
0.0034,0.0017,51.9389302,-51.93604,0.16,0,6.06201863,0.000162889946,60
0.00356,0.00178,53.9795207,-54.0071076,0.16,0,6.3062768,0.000114787958,60
0.00372,0.00186,56.0529035,-56.082886,0.16,0,6.56392646,8.21489052e-05,60
0.00388,0.00194,58.1610062,-58.1804708,0.16,0,6.80510497,5.92517813e-05,60
0.00404,0.00202,60.2851851,-60.2809767,0.32,0,7.04099679,5.28698932e-05,60
0.0042,0.0021,62.3868996,-62.3807471,0.16,0,7.63505363,5.38790623e-05,108
0.00436,0.00218,64.4702013,-64.4636446,0.16,0,7.86531281,5.97322877e-05,108
0.00452,0.00226,66.545313,-66.5333188,0.16,0,8.10020781,5.82897141e-05,108
0.00468,0.00234,68.6098985,-68.592248,0.16,0,8.32528448,5.49738466e-05,108
0.00484,0.00242,70.6591209,-70.6474682,0.16,0,8.56697679,5.14628532e-05,108
0.005,0.0025,72.7084131,-72.6986862,0.32,0,8.81023788,4.49035457e-05,108
0.00516,0.00258,74.7528252,-74.7481274,0.16,0,9.37545061,4.57093021e-05,168
0.00532,0.00266,76.7937176,-76.7925756,0.16,0,9.61919332,4.62180437e-05,168
0.00548,0.00274,78.8346409,-78.8348424,0.16,0,9.86954069,4.49617095e-05,168
