# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.37923894,-1.39133184,0.02,0,0.487360001
4e-05,2e-05,2.11169364,-2.03662655,0.02,0,0.618709564
6e-05,3e-05,2.70374057,-2.62891043,0.02,0,0.752666235
8e-05,4e-05,3.27742002,-3.18667593,0.02,0,0.889021397
0.0001,5e-05,3.83188332,-3.73281617,0.02,0,1.02082181
0.00012,6e-05,4.41071007,-4.25093744,0.04,0,1.16249442
0.00016,8e-05,5.36609894,-5.2803325,0.04,0,1.39188719
0.0002,0.0001,6.3571745,-6.27224857,0.04,0,1.67076874
0.00024,0.00012,7.27598692,-7.24447695,0.04,0,1.96553779
0.00028,0.00014,8.27680539,-8.18792207,0.04,0,2.22949123
0.00032,0.00016,9.22882103,-9.11083364,0.04,0,2.49679375
0.00036,0.00018,10.1262527,-10.0364432,0.08,0,2.75713658
0.00044,0.00022,11.9590952,-11.8604192,0.08,0,3.20335317
0.00052,0.00026,13.7496398,-13.637246,0.08,0,3.64677238
0.0006,0.0003,15.4954732,-15.3873119,0.08,0,4.10701418
0.00068,0.00034,17.2206994,-17.1162234,0.08,0,4.56210232
0.00076,0.00038,18.9393858,-18.8289932,0.08,0,5.02829361
0.00084,0.00042,20.5465587,-20.5460968,0.16,0,5.81246352
0.001,0.0005,23.9348276,-23.952686,0.16,0,7.10812116
0.00116,0.00058,27.3469634,-27.3217333,0.16,0,8.01804399
0.00132,0.00066,30.6807719,-30.6372071,0.16,0,8.92679095
0.00148,0.00074,33.92992,-34.000898,0.16,0,10.069525
0.00164,0.00082,37.1957694,-37.1172665,0.16,0,14.5655668
0.0018,0.0009,40.4954399,-40.4935412,0.32,0,15.6146734
0.00212,0.00106,46.9673258,-46.9829018,0.32,0,18.0011418
0.00244,0.00122,53.4314303,-53.4533342,0.32,0,20.3455555
0.00276,0.00138,59.8634991,-59.8899453,0.32,0,22.7624328
0.00308,0.00154,66.2907715,-66.3186416,0.32,0,25.2842081
0.0034,0.0017,72.6997145,-72.7264143,0.32,0,27.6794336
0.00372,0.00186,79.0959134,-79.1206461,0.64,0,30.535563
0.00436,0.00218,91.8461023,-91.8528648,0.64,0,37.6087053
0.005,0.0025,104.596914,-104.608761,0.64,0,44.0511372
0.00564,0.00282,117.364866,-117.374563,0.64,0,50.3914616
0.00628,0.00314,130.15149,-130.153949,0.64,0,57.3924532
0.00692,0.00346,142.969331,-142.960062,0.64,0,69.7045186
0.00756,0.00378,155.83448,-155.809587,1.28,0,81.7808387
0.00884,0.00442,181.533699,-181.53359,1.28,0,117.969064
0.01012,0.00506,207.366025,-207.408179,1.28,0,146.764035
0.0114,0.0057,233.40496,-233.408718,1.28,0,169.264576
0.01268,0.00634,259.589236,-259.552362,1.28,0,192.015697
0.01396,0.00698,285.991921,-286.007975,1.28,0,213.95631
0.01524,0.00762,312.577837,-312.490048,2.56,0,236.506728
0.0178,0.0089,366.424007,-366.712351,2.56,1,306.630653
0.02036,0.01018,420.25263,-420.260005,2.56,0,359.432173
0.02292,0.01146,475.88031,-476.247082,2.56,1,400.587334
0.02548,0.01274,531.819529,-532.185029,2.56,1,477.480702
0.02804,0.01402,588.28626,-588.591043,2.56,1,543.739924
