# ADR90 WP-A2 END-OF-RUN plastic field, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60, s/B=0.043269, mode WALL
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,3.32844131e-05,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,0.000109755897,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,0.000188995901,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,0.000250995038,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,0.000297804913,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,0.000333471168,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,0.000364308867,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,0.000393642435,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,0.000427305721,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,0.000468230522,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,0.000117623452,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,0.000198647328,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,0.000278751278,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,0.000330464162,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,0.000352031135,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,0.000362493892,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,0.000367177748,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,0.000372914238,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,0.000388497884,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,0.000417146098,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,0.000226481623,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,0.000335554081,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,0.000437125354,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,0.000481203191,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,0.000487946964,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,0.000456738076,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,0.000413077614,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,0.000351550609,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,0.000245830926,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,0.000153937661,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,0.000335316713,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,0.000445291337,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,0.00066006589,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,0.000750749948,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,0.000716926221,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,0.000620357436,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,0.000495382223,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,0.000349718587,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,0.000146055139,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,7.510156e-05,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,0.000440032666,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,0.000511404036,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,0.000853652171,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,0.00108870489,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,0.00111988712,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,0.00101466539,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,0.000735771209,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,0.000341102159,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,0.000159368392,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,0.000384292652,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,0.000519025827,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,0.000877488686,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,0.00144092495,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,0.00176228975,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,0.0018117733,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,0.00191075915,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,0.0015814252,0.855053698
58,-5.94935967,-2.5,2.0827754,1,1.0413877,0.000896526051,0.855053698
59,-5.94935967,-1.5,2.0827754,1,1.0413877,0.000310820326,0.855053698
60,-5.94935967,-0.5,2.0827754,1,1.0413877,0.00177749738,0.855053698
61,-4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,0.000554248399,0.855053698
62,-4.09252017,-13.6329249,1.63090361,3.55894634,2.90214921,0.00119765345,0.855053698
63,-4.09252017,-10.4729811,1.63090361,2.76094116,2.25141445,0.00215010568,0.855053698
64,-4.09252017,-8.02157615,1.63090361,2.1418688,1.74659077,0.0031479621,0.855053698
65,-4.09252017,-6.11983775,1.63090361,1.66160801,1.35496124,0.00371616821,0.855053698
66,-4.09252017,-4.64451687,1.63090361,1.28903375,1.05114489,0.00391103096,0.855053698
67,-4.09252017,-3.5,1.63090361,1,0.815451803,0.00395320418,0.855053698
68,-4.09252017,-2.5,1.63090361,1,0.815451803,0.00286860955,0.855053698
69,-4.09252017,-1.5,1.63090361,1,0.815451803,0.00135432675,0.855053698
70,-4.09252017,-0.5,1.63090361,1,0.815451803,0.00153030605,0.855053698
71,-2.63853418,-17.706199,1.27706836,4.58760194,2.92934065,0.00056064878,0.855053698
72,-2.63853418,-13.6329249,1.27706836,3.55894634,2.27250889,0.00145174586,0.855053698
73,-2.63853418,-10.4729811,1.27706836,2.76094116,1.76295531,0.00268733743,0.855053698
74,-2.63853418,-8.02157615,1.27706836,2.1418688,1.36765644,0.00407590776,0.855053698
75,-2.63853418,-6.11983775,1.27706836,1.66160801,1.06099351,0.00548677938,0.855053698
76,-2.63853418,-4.64451687,1.27706836,1.28903375,0.82309211,0.00681112385,0.855053698
77,-2.63853418,-3.5,1.27706836,1,0.638534182,0.00782507352,0.855053698
78,-2.63853418,-2.5,1.27706836,1,0.638534182,0.00808036345,0.855053698
79,-2.63853418,-1.5,1.27706836,1,0.638534182,0.00719819458,0.855053698
80,-2.63853418,-0.5,1.27706836,1,0.638534182,0.00542366845,0.855053698
81,-1.5,-17.706199,1,4.58760194,2.29380097,0.000560157049,0.855053698
82,-1.5,-13.6329249,1,3.55894634,1.77947317,0.00160209567,0.855053698
83,-1.5,-10.4729811,1,2.76094116,1.38047058,0.00297069566,0.855053698
84,-1.5,-8.02157615,1,2.1418688,1.0709344,0.00463620478,0.855053698
85,-1.5,-6.11983775,1,1.66160801,0.830804003,0.00642418969,0.855053698
86,-1.5,-4.64451687,1,1.28903375,0.644516874,0.00820589119,0.855053698
87,-1.5,-3.5,1,1,0.5,0.00995341361,0.855053698
88,-1.5,-2.5,1,1,0.5,0.01142491,0.855053698
89,-1.5,-1.5,1,1,0.5,0.0132843204,0.855053698
90,-1.5,-0.5,1,1,0.5,0.016639054,0.855053698
91,-0.5,-17.706199,1,4.58760194,2.29380097,0.000558294888,0.855053698
92,-0.5,-13.6329249,1,3.55894634,1.77947317,0.00168093174,0.855053698
93,-0.5,-10.4729811,1,2.76094116,1.38047058,0.00308630746,0.855053698
94,-0.5,-8.02157615,1,2.1418688,1.0709344,0.0047902775,0.855053698
95,-0.5,-6.11983775,1,1.66160801,0.830804003,0.00663795421,0.855053698
96,-0.5,-4.64451687,1,1.28903375,0.644516874,0.00838380315,0.855053698
97,-0.5,-3.5,1,1,0.5,0.0095768749,0.855053698
98,-0.5,-2.5,1,1,0.5,0.00946637939,0.855053698
99,-0.5,-1.5,1,1,0.5,0.00674491235,0.855053698
100,-0.5,-0.5,1,1,0.5,0.00222453887,0.855053698
101,0.5,-17.706199,1,4.58760194,2.29380097,0.00055838581,0.855053698
102,0.5,-13.6329249,1,3.55894634,1.77947317,0.00169059372,0.855053698
103,0.5,-10.4729811,1,2.76094116,1.38047058,0.00305432416,0.855053698
104,0.5,-8.02157615,1,2.1418688,1.0709344,0.00474374154,0.855053698
105,0.5,-6.11983775,1,1.66160801,0.830804003,0.00670077484,0.855053698
106,0.5,-4.64451687,1,1.28903375,0.644516874,0.00850490479,0.855053698
107,0.5,-3.5,1,1,0.5,0.00969919135,0.855053698
108,0.5,-2.5,1,1,0.5,0.00949988015,0.855053698
109,0.5,-1.5,1,1,0.5,0.00672862632,0.855053698
110,0.5,-0.5,1,1,0.5,0.00225293408,0.855053698
111,1.5,-17.706199,1,4.58760194,2.29380097,0.00056191773,0.855053698
112,1.5,-13.6329249,1,3.55894634,1.77947317,0.0016324923,0.855053698
113,1.5,-10.4729811,1,2.76094116,1.38047058,0.00284036217,0.855053698
114,1.5,-8.02157615,1,2.1418688,1.0709344,0.00442742225,0.855053698
115,1.5,-6.11983775,1,1.66160801,0.830804003,0.00644576246,0.855053698
116,1.5,-4.64451687,1,1.28903375,0.644516874,0.00854737837,0.855053698
117,1.5,-3.5,1,1,0.5,0.0105773534,0.855053698
118,1.5,-2.5,1,1,0.5,0.012213862,0.855053698
119,1.5,-1.5,1,1,0.5,0.014217909,0.855053698
120,1.5,-0.5,1,1,0.5,0.017588522,0.855053698
121,2.63853418,-17.706199,1.27706836,4.58760194,2.92934065,0.000561751183,0.855053698
122,2.63853418,-13.6329249,1.27706836,3.55894634,2.27250889,0.00148740752,0.855053698
123,2.63853418,-10.4729811,1.27706836,2.76094116,1.76295531,0.00255586328,0.855053698
124,2.63853418,-8.02157615,1.27706836,2.1418688,1.36765644,0.0037944319,0.855053698
125,2.63853418,-6.11983775,1.27706836,1.66160801,1.06099351,0.00515502905,0.855053698
126,2.63853418,-4.64451687,1.27706836,1.28903375,0.82309211,0.00641753436,0.855053698
127,2.63853418,-3.5,1.27706836,1,0.638534182,0.00735258485,0.855053698
128,2.63853418,-2.5,1.27706836,1,0.638534182,0.00769156422,0.855053698
129,2.63853418,-1.5,1.27706836,1,0.638534182,0.00675231958,0.855053698
130,2.63853418,-0.5,1.27706836,1,0.638534182,0.00490272666,0.855053698
131,4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,0.000556628257,0.855053698
