# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.005 (actual 0.005060), build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60, q_foot=205.0873 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,3.11032619e-07,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,1.67434055e-06,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,3.39222131e-06,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,4.95465621e-06,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,6.31100878e-06,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,7.52468962e-06,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,8.65171983e-06,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,9.92429915e-06,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,1.19059337e-05,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,1.51935023e-05,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,1.62540654e-06,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,3.34600964e-06,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,5.32656446e-06,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,6.88439886e-06,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,8.03632448e-06,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,8.98498002e-06,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,9.89958487e-06,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,1.08286186e-05,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,1.24005872e-05,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,1.55042132e-05,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,2.52172476e-06,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,6.48554145e-06,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,9.09480902e-06,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,1.11182955e-05,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,1.23548302e-05,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,1.25892773e-05,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,1.25350853e-05,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,1.22280722e-05,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,1.23838319e-05,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,1.31773109e-05,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,8.95406717e-06,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,7.99388476e-06,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,1.56482844e-05,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,2.03927418e-05,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,2.13024111e-05,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,2.04244713e-05,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,1.86318795e-05,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,1.55611797e-05,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,1.17886507e-05,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,9.29377234e-06,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,2.37556964e-05,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,1.19830684e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,1.89100719e-05,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,3.41565236e-05,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,4.15895124e-05,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,4.00959336e-05,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,3.34007525e-05,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,2.53746539e-05,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,1.56285536e-05,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,7.70784266e-06,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,3.5446352e-05,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,5.65618986e-05,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,7.64256222e-05,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,7.46263531e-05,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,7.99642707e-05,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,9.70529501e-05,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,9.29771349e-05,0.855053698
58,-5.94935967,-2.5,2.0827754,1,1.0413877,6.46166062e-05,0.855053698
59,-5.94935967,-1.5,2.0827754,1,1.0413877,2.70690592e-05,0.855053698
60,-5.94935967,-0.5,2.0827754,1,1.0413877,1.77373718e-05,0.855053698
61,-4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,4.08190775e-05,0.855053698
62,-4.09252017,-13.6329249,1.63090361,3.55894634,2.90214921,8.6924442e-05,0.855053698
63,-4.09252017,-10.4729811,1.63090361,2.76094116,2.25141445,0.000145275095,0.855053698
64,-4.09252017,-8.02157615,1.63090361,2.1418688,1.74659077,0.000205922085,0.855053698
65,-4.09252017,-6.11983775,1.63090361,1.66160801,1.35496124,0.000222172622,0.855053698
66,-4.09252017,-4.64451687,1.63090361,1.28903375,1.05114489,0.000231381683,0.855053698
67,-4.09252017,-3.5,1.63090361,1,0.815451803,0.000256599557,0.855053698
68,-4.09252017,-2.5,1.63090361,1,0.815451803,0.000246558587,0.855053698
69,-4.09252017,-1.5,1.63090361,1,0.815451803,0.000130573938,0.855053698
70,-4.09252017,-0.5,1.63090361,1,0.815451803,0.000106228409,0.855053698
71,-2.63853418,-17.706199,1.27706836,4.58760194,2.92934065,4.12389838e-05,0.855053698
72,-2.63853418,-13.6329249,1.27706836,3.55894634,2.27250889,0.000110918093,0.855053698
73,-2.63853418,-10.4729811,1.27706836,2.76094116,1.76295531,0.000197625063,0.855053698
74,-2.63853418,-8.02157615,1.27706836,2.1418688,1.36765644,0.000307400726,0.855053698
75,-2.63853418,-6.11983775,1.27706836,1.66160801,1.06099351,0.000438911559,0.855053698
76,-2.63853418,-4.64451687,1.27706836,1.28903375,0.82309211,0.00056511085,0.855053698
77,-2.63853418,-3.5,1.27706836,1,0.638534182,0.000660631964,0.855053698
78,-2.63853418,-2.5,1.27706836,1,0.638534182,0.000708274675,0.855053698
79,-2.63853418,-1.5,1.27706836,1,0.638534182,0.00071470315,0.855053698
80,-2.63853418,-0.5,1.27706836,1,0.638534182,0.000316682251,0.855053698
81,-1.5,-17.706199,1,4.58760194,2.29380097,4.12676199e-05,0.855053698
82,-1.5,-13.6329249,1,3.55894634,1.77947317,0.000124584607,0.855053698
83,-1.5,-10.4729811,1,2.76094116,1.38047058,0.00022710994,0.855053698
84,-1.5,-8.02157615,1,2.1418688,1.0709344,0.000372761494,0.855053698
85,-1.5,-6.11983775,1,1.66160801,0.830804003,0.000558360047,0.855053698
86,-1.5,-4.64451687,1,1.28903375,0.644516874,0.000785360307,0.855053698
87,-1.5,-3.5,1,1,0.5,0.00108415906,0.855053698
88,-1.5,-2.5,1,1,0.5,0.00139416411,0.855053698
89,-1.5,-1.5,1,1,0.5,0.00202284808,0.855053698
90,-1.5,-0.5,1,1,0.5,0.00253145072,0.855053698
91,-0.5,-17.706199,1,4.58760194,2.29380097,4.1097535e-05,0.855053698
92,-0.5,-13.6329249,1,3.55894634,1.77947317,0.00013029333,0.855053698
93,-0.5,-10.4729811,1,2.76094116,1.38047058,0.000242017364,0.855053698
94,-0.5,-8.02157615,1,2.1418688,1.0709344,0.000392831173,0.855053698
95,-0.5,-6.11983775,1,1.66160801,0.830804003,0.000594477905,0.855053698
96,-0.5,-4.64451687,1,1.28903375,0.644516874,0.00085281138,0.855053698
97,-0.5,-3.5,1,1,0.5,0.0011381107,0.855053698
98,-0.5,-2.5,1,1,0.5,0.00136912604,0.855053698
99,-0.5,-1.5,1,1,0.5,0.00117495893,0.855053698
100,-0.5,-0.5,1,1,0.5,0.000412032918,0.855053698
101,0.5,-17.706199,1,4.58760194,2.29380097,4.10950106e-05,0.855053698
102,0.5,-13.6329249,1,3.55894634,1.77947317,0.000130281386,0.855053698
103,0.5,-10.4729811,1,2.76094116,1.38047058,0.000241820598,0.855053698
104,0.5,-8.02157615,1,2.1418688,1.0709344,0.000393434295,0.855053698
105,0.5,-6.11983775,1,1.66160801,0.830804003,0.000594167857,0.855053698
106,0.5,-4.64451687,1,1.28903375,0.644516874,0.000852865878,0.855053698
107,0.5,-3.5,1,1,0.5,0.00113809986,0.855053698
108,0.5,-2.5,1,1,0.5,0.00136864962,0.855053698
109,0.5,-1.5,1,1,0.5,0.00117525664,0.855053698
110,0.5,-0.5,1,1,0.5,0.000411391306,0.855053698
111,1.5,-17.706199,1,4.58760194,2.29380097,4.1184479e-05,0.855053698
112,1.5,-13.6329249,1,3.55894634,1.77947317,0.000124607802,0.855053698
113,1.5,-10.4729811,1,2.76094116,1.38047058,0.000227200124,0.855053698
114,1.5,-8.02157615,1,2.1418688,1.0709344,0.000372717819,0.855053698
115,1.5,-6.11983775,1,1.66160801,0.830804003,0.000558558907,0.855053698
116,1.5,-4.64451687,1,1.28903375,0.644516874,0.000785510329,0.855053698
117,1.5,-3.5,1,1,0.5,0.0010839511,0.855053698
118,1.5,-2.5,1,1,0.5,0.00139428249,0.855053698
119,1.5,-1.5,1,1,0.5,0.0020232694,0.855053698
120,1.5,-0.5,1,1,0.5,0.00253137282,0.855053698
121,2.63853418,-17.706199,1.27706836,4.58760194,2.92934065,4.11627604e-05,0.855053698
122,2.63853418,-13.6329249,1.27706836,3.55894634,2.27250889,0.000111018912,0.855053698
