# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.37918986,-1.39428181,0.02,0,0.410250902
4e-05,2e-05,1.97123009,-2.07722518,0.02,0,0.515604496
6e-05,3e-05,2.60497456,-2.71507693,0.02,0,0.60523653
8e-05,4e-05,3.13944526,-3.30955636,0.02,0,0.699887514
0.0001,5e-05,3.67512776,-3.8602774,0.02,0,0.785306215
0.00012,6e-05,4.19977312,-4.39047551,0.04,0,0.877538204
0.00016,8e-05,5.23314827,-5.35017823,0.04,0,1.04589009
0.0002,0.0001,6.23860086,-6.34369267,0.04,0,1.20994997
0.00024,0.00012,7.20435172,-7.31226914,0.04,0,1.3951478
0.00028,0.00014,8.14852647,-8.25848405,0.04,0,1.58294487
0.00032,0.00016,9.07793686,-9.18372716,0.04,0,1.77435446
0.00036,0.00018,9.98273442,-10.1085736,0.08,0,1.96305108
0.00044,0.00022,11.8545168,-11.8868768,0.08,0,2.36586452
0.00052,0.00026,13.6441582,-13.6703176,0.08,0,2.79140353
0.0006,0.0003,15.3960603,-15.4263067,0.08,0,3.24608779
0.00068,0.00034,17.1344151,-17.1593424,0.08,0,3.68716216
0.00076,0.00038,18.8537204,-18.8639514,0.08,0,4.19730115
0.00084,0.00042,20.544509,-20.5498336,0.16,0,6.92225432
0.001,0.0005,23.9429958,-23.9812873,0.16,0,7.74045134
0.00116,0.00058,27.3446996,-27.353431,0.16,0,8.70593047
0.00132,0.00066,30.6681413,-30.6702076,0.16,0,9.84118795
0.00148,0.00074,33.9447299,-34.0241489,0.16,0,11.4137645
0.00164,0.00082,37.2076036,-37.1440717,0.16,0,16.2206724
0.0018,0.0009,40.5096959,-40.53495,0.32,0,17.2276292
0.00212,0.00106,47.0080652,-47.0102837,0.32,0,20.4470992
0.00244,0.00122,53.47102,-53.4721431,0.32,0,23.5088832
0.00276,0.00138,59.9126552,-59.9132897,0.32,0,26.6296363
0.00308,0.00154,66.3383733,-66.3374227,0.32,0,29.6034274
0.0034,0.0017,72.7442353,-72.7434994,0.32,0,32.6982682
0.00372,0.00186,79.1461113,-79.1436976,0.64,0,35.7618284
0.00436,0.00218,91.8993995,-91.8962529,0.64,0,43.5465226
0.005,0.0025,104.6573,-104.653518,0.64,0,51.4544294
0.00564,0.00282,117.421727,-117.415981,0.64,0,60.1772072
0.00628,0.00314,130.203659,-130.196712,0.64,0,68.5779984
0.00692,0.00346,143.001751,-143.018403,0.64,0,81.7476523
0.00756,0.00378,155.841445,-155.83549,1.28,0,90.4322245
0.00884,0.00442,181.551886,-181.52126,1.28,0,117.269555
0.01012,0.00506,207.400449,-207.364476,1.28,0,144.407762
0.0114,0.0057,233.424573,-233.466871,1.28,0,171.84234
0.01268,0.00634,259.598523,-259.669475,1.28,0,197.565774
0.01396,0.00698,286.004616,-286.061053,1.28,0,225.488853
0.01524,0.00762,312.520597,-312.588743,2.56,0,251.856075
0.0178,0.0089,366.072913,-366.032317,2.56,0,302.947625
0.02036,0.01018,420.289247,-420.264888,2.56,0,355.50313
0.02292,0.01146,475.291405,-475.312749,2.56,0,402.267725
0.02548,0.01274,531.880428,-532.164697,2.56,1,462.670871
0.02804,0.01402,588.620146,-588.961961,2.56,1,525.021936
0.0306,0.0153,645.414736,-645.808229,5,1,614.704458
0.0331,0.01655,701.221558,-701.766156,2.5,1,712.254499
0.0356,0.0178,758.807534,-759.352378,2.5,1,765.77543
0.0381,0.01905,816.769673,-817.252555,2.5,1,852.968824
0.0406,0.0203,875.529175,-875.928691,2.5,1,924.178761
0.0431,0.02155,934.456535,-934.780892,2.5,1,1048.57667
0.0456,0.0228,994.340883,-994.620159,5,1,1104.68485
0.04685,0.023425,1024.23155,-1024.37457,1.25,1,1200.78222
0.0481,0.02405,1054.81074,-1055.00851,1.25,1,1234.39328
0.04935,0.024675,1085.33621,-1085.69652,1.25,1,1268.85056
0.0506,0.0253,1115.45113,-1115.88053,1.25,1,1285.69843
0.05185,0.025925,1146.64123,-1146.77694,1.25,1,1313.67072
0.0531,0.02655,1177.04407,-1177.6313,2.5,1,1344.68328
0.0556,0.0278,1238.72323,-1239.108,2.5,1,1379.84665
0.0581,0.02905,1301.41628,-1301.91175,2.5,1,1419.2397
0.0606,0.0303,1365.62973,-1366.0802,2.5,1,1491.7766
0.061225,0.0306125,1381.5847,-1382.02385,0.625,1,1572.00256
0.06185,0.030925,1397.96261,-1398.25365,0.625,1,1587.6018
0.062475,0.0312375,1412.59977,-1412.83984,0.625,1,1621.44299
0.0631,0.03155,1428.96591,-1429.44222,0.625,1,1641.89204
0.063725,0.0318625,1445.56902,-1445.87901,0.625,1,1662.42666
0.06435,0.032175,1461.07541,-1461.3238,1.25,1,1692.84938
0.0656,0.0328,1493.69361,-1493.95941,1.25,1,1730.0502
0.066225,0.0331125,1511.14337,-1511.59479,0.625,1,1775.8572
0.06685,0.033425,1525.26667,-1525.51154,0.625,1,1791.64775
0.067475,0.0337375,1542.02372,-1542.30059,0.625,1,1817.38869
0.0681,0.03405,1558.11008,-1558.27466,0.625,1,1830.81189
0.068725,0.0343625,1574.48671,-1574.68445,0.625,1,1867.18456
0.06935,0.034675,1590.63573,-1591.02643,1.25,1,1883.74924
0.0706,0.0353,1624.17006,-1624.40067,1.25,1,1945.68758
0.071225,0.0356125,1639.84713,-1640.18303,0.625,1,1993.19767
0.07185,0.035925,1657.47776,-1657.6074,0.625,1,2008.68936
0.072475,0.0362375,1672.49743,-1672.66822,0.625,1,2028.08293
0.0731,0.03655,1689.48444,-1689.72741,0.625,1,2042.85295
0.073725,0.0368625,1705.77734,-1705.94723,0.625,1,2055.11535
0.0740375,0.03701875,1718.35089,-1718.3462,0.3125,1,2089.08393
0.07435,0.037175,1728.64893,-1727.89493,0.3125,1,2104.76557
0.0746625,0.03733125,1738.02192,-1737.33786,0.3125,1,2117.77886
0.074975,0.0374875,1740.16229,-1740.15269,0.3125,1,2127.06193
0.0752875,0.03764375,1752.87639,-1753.02569,0.3125,1,2133.72476
0.0756,0.0378,1763.10342,-1762.38096,0.625,1,2137.19818
0.076225,0.0381125,1774.12392,-1774.42016,0.625,1,2155.96166
