# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.18268471,-1.21523036,0.02,0,0.0657515526
4e-05,2e-05,1.65524405,-1.72344242,0.02,0,0.159003258
6e-05,3e-05,2.11434355,-2.26582026,0.02,0,0.225337267
8e-05,4e-05,2.57656225,-2.71031791,0.02,0,0.292438269
0.0001,5e-05,2.99182271,-3.1466646,0.02,0,0.357058287
0.00012,6e-05,3.37522701,-3.55848542,0.04,0,0.427810669
0.00016,8e-05,4.16479414,-4.2921511,0.04,0,0.557322741
0.0002,0.0001,4.95730921,-5.03190498,0.04,0,0.688998938
0.00024,0.00012,5.68416505,-5.75326273,0.04,0,0.825094938
0.00028,0.00014,6.40013808,-6.43690247,0.04,0,0.989799261
0.00032,0.00016,7.07306759,-7.1458337,0.04,0,1.13547754
0.00036,0.00018,7.74432386,-7.83115337,0.08,0,1.29313231
0.00044,0.00022,9.09819842,-9.12194293,0.08,0,1.61061096
0.00052,0.00026,10.3926728,-10.4156437,0.08,0,1.92156529
0.0006,0.0003,11.6612684,-11.6888372,0.08,0,2.2257905
0.00068,0.00034,12.9198421,-12.9249885,0.08,0,2.60130382
0.00076,0.00038,14.1318818,-14.1642878,0.08,0,2.96891332
0.00084,0.00042,15.3505979,-15.3625231,0.16,0,3.40966415
0.001,0.0005,17.7319687,-17.7284141,0.16,0,4.41539192
0.00116,0.00058,20.0452646,-20.0475363,0.16,0,6.32953382
0.00132,0.00066,22.3719648,-22.3923658,0.16,0,7.1051178
0.00148,0.00074,24.6479239,-24.6467661,0.16,0,8.29119802
0.00164,0.00082,26.8609703,-26.8349447,0.16,0,12.764801
0.0018,0.0009,29.0956842,-29.1357383,0.32,0,13.5846233
0.00212,0.00106,33.4883312,-33.4903954,0.32,0,16.7254207
0.00244,0.00122,37.7924335,-37.7958267,0.32,0,19.9696479
0.00276,0.00138,42.0369279,-42.1276578,0.32,0,23.7346942
0.00308,0.00154,46.2468642,-46.2495951,0.32,0,26.9651332
0.0034,0.0017,50.4156063,-50.4163444,0.32,0,30.2828515
0.00372,0.00186,54.5473023,-54.5492595,0.64,0,33.4852402
0.00436,0.00218,62.7546332,-62.7252767,0.64,0,46.1116283
0.005,0.0025,70.7759089,-70.7727059,0.64,0,54.3176634
0.00564,0.00282,78.7954272,-78.7792486,0.64,0,67.6245639
0.00628,0.00314,86.7081954,-86.6929152,0.64,0,80.794148
0.00692,0.00346,94.561291,-94.5341339,0.64,0,94.2990997
0.00756,0.00378,102.354417,-102.34631,1.28,0,107.484065
0.00884,0.00442,117.837122,-117.834536,1.28,0,136.392541
0.01012,0.00506,133.110939,-133.103865,1.28,0,164.456327
0.0114,0.0057,148.342893,-148.374785,1.28,0,191.247684
0.01268,0.00634,163.46972,-163.47539,1.28,0,218.920068
0.01396,0.00698,178.516118,-178.546174,1.28,0,246.014259
0.01524,0.00762,193.519645,-193.546988,2.56,0,282.020127
0.0178,0.0089,223.768453,-224.043633,2.56,1,323.467442
