# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.04 (actual 0.040300), build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944, q_foot=934.2098 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,2.25261549e-05,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,7.55710097e-05,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,0.000130166633,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,0.000174856399,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,0.000210359992,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,0.000238491696,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,0.000261671624,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,0.000283751425,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,0.000308779514,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,0.000339238612,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,7.5520417e-05,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,0.00013358329,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,0.00018532027,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,0.000225063686,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,0.000251963465,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,0.000272288402,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,0.000287796518,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,0.000302710712,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,0.000320099508,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,0.000348410375,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,0.00015570312,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,0.000221319849,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,0.000287382562,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,0.000331806337,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,0.000352475765,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,0.000352553236,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,0.00034271258,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,0.000328412429,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,0.000316030446,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,0.000299314242,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,0.000227395347,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,0.000286542523,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,0.000431734076,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,0.00052341329,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,0.000539592314,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,0.000510607005,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,0.000459360589,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,0.000389662324,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,0.000291255996,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,0.000202350551,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,0.000315044898,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,0.000367066008,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,0.000562424686,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,0.000776008365,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,0.000891297947,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,0.000852599049,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,0.000705934123,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,0.000512931951,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,0.000307685371,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,0.000140420509,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,0.000385564591,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,0.00065992353,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,0.00102841154,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,0.00132167435,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,0.00158915505,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,0.00161932899,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,0.00144437889,0.855053698
58,-5.94935967,-2.5,2.0827754,1,1.0413877,0.000969199354,0.855053698
59,-5.94935967,-1.5,2.0827754,1,1.0413877,0.000355511229,0.855053698
60,-5.94935967,-0.5,2.0827754,1,1.0413877,0.000559771585,0.855053698
61,-4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,0.000421766527,0.855053698
62,-4.09252017,-13.6329249,1.63090361,3.55894634,2.90214921,0.000926098232,0.855053698
63,-4.09252017,-10.4729811,1.63090361,2.76094116,2.25141445,0.00163369953,0.855053698
64,-4.09252017,-8.02157615,1.63090361,2.1418688,1.74659077,0.00245475201,0.855053698
65,-4.09252017,-6.11983775,1.63090361,1.66160801,1.35496124,0.00313983683,0.855053698
66,-4.09252017,-4.64451687,1.63090361,1.28903375,1.05114489,0.00341536938,0.855053698
67,-4.09252017,-3.5,1.63090361,1,0.815451803,0.00335028445,0.855053698
68,-4.09252017,-2.5,1.63090361,1,0.815451803,0.00284889822,0.855053698
69,-4.09252017,-1.5,1.63090361,1,0.815451803,0.00135464149,0.855053698
70,-4.09252017,-0.5,1.63090361,1,0.815451803,0.00153783725,0.855053698
71,-2.63853418,-17.706199,1.27706836,4.58760194,2.92934065,0.000428871628,0.855053698
72,-2.63853418,-13.6329249,1.27706836,3.55894634,2.27250889,0.00114270133,0.855053698
73,-2.63853418,-10.4729811,1.27706836,2.76094116,1.76295531,0.0020740271,0.855053698
74,-2.63853418,-8.02157615,1.27706836,2.1418688,1.36765644,0.00330516219,0.855053698
75,-2.63853418,-6.11983775,1.27706836,1.66160801,1.06099351,0.00481090746,0.855053698
76,-2.63853418,-4.64451687,1.27706836,1.28903375,0.82309211,0.00624702061,0.855053698
77,-2.63853418,-3.5,1.27706836,1,0.638534182,0.00705627159,0.855053698
78,-2.63853418,-2.5,1.27706836,1,0.638534182,0.00730452666,0.855053698
79,-2.63853418,-1.5,1.27706836,1,0.638534182,0.00620392057,0.855053698
80,-2.63853418,-0.5,1.27706836,1,0.638534182,0.00275176178,0.855053698
81,-1.5,-17.706199,1,4.58760194,2.29380097,0.000432690063,0.855053698
82,-1.5,-13.6329249,1,3.55894634,1.77947317,0.00126547051,0.855053698
83,-1.5,-10.4729811,1,2.76094116,1.38047058,0.00231812929,0.855053698
