# ADR90 WP-A2 END-OF-RUN plastic field, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944, s/B=0.061550, mode WALL
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,4.95427227e-05,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,0.000154306089,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,0.000256368324,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,0.000336441569,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,0.00039741399,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,0.000445406865,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,0.000483820677,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,0.000519605127,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,0.000559978869,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,0.000607763442,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,0.000156220516,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,0.000267015867,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,0.000359406712,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,0.000426076649,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,0.000468515048,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,0.000497001204,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,0.000516876504,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,0.000537735913,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,0.000559854526,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,0.000602300188,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,0.00030669052,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,0.00043035734,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,0.000546283032,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,0.000615910781,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,0.000640257178,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,0.000629543645,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,0.000602015527,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,0.00056315902,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,0.000525430684,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,0.000475556308,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,0.000427821672,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,0.000551538359,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,0.000797177539,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,0.000943834537,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,0.00095742012,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,0.000886172109,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,0.000775307485,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,0.000640749423,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,0.000457491023,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,0.00028690832,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,0.000555271354,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,0.000695285131,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,0.00102779617,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,0.00137530972,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,0.00152465301,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,0.00142624046,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,0.00115432547,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,0.00079974152,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,0.000442929811,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,0.000251460524,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,0.000648848236,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,0.001141034,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,0.00176387078,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,0.00229140683,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,0.00264823098,0.855053698
