# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.25283437,-1.09154533,0.02,0,0.130738735
4e-05,2e-05,1.687275,-1.56364207,0.02,0,0.231548071
6e-05,3e-05,2.12503992,-1.99959728,0.02,0,0.321600914
8e-05,4e-05,2.55290701,-2.40352203,0.02,0,0.397477388
0.0001,5e-05,2.91133843,-2.78572466,0.02,0,0.47305584
0.00012,6e-05,3.36418299,-3.14721191,0.04,0,0.537745953
0.00016,8e-05,3.98364846,-3.89038256,0.04,0,0.687893867
0.0002,0.0001,4.70043201,-4.5787029,0.04,0,0.829203844
0.00024,0.00012,5.37021958,-5.2538837,0.04,0,0.981232643
0.00028,0.00014,6.10373217,-5.90697772,0.04,0,1.09761405
0.00032,0.00016,6.67646825,-6.56698049,0.04,0,1.25481868
0.00036,0.00018,7.41845757,-7.19182787,0.08,0,1.36032033
0.00044,0.00022,8.58946232,-8.46603938,0.08,0,1.60233808
0.00052,0.00026,9.73776375,-9.69817845,0.08,0,1.93683195
0.0006,0.0003,11.0091659,-10.9071172,0.08,0,2.21861219
0.00068,0.00034,12.2317903,-12.1051244,0.08,0,2.45100236
0.00076,0.00038,13.4245231,-13.2876163,0.08,0,2.70210528
0.00084,0.00042,14.5874473,-14.4471564,0.16,0,2.94396973
0.001,0.0005,16.810381,-16.7485862,0.16,0,3.46425533
0.00116,0.00058,18.9904654,-18.9912535,0.16,0,7.08030701
0.00132,0.00066,21.3032998,-21.2450175,0.16,0,7.75611067
0.00148,0.00074,23.4997549,-23.4483031,0.16,0,8.54740381
0.00164,0.00082,25.6086668,-25.6556238,0.16,0,12.9242489
0.0018,0.0009,27.834538,-27.791661,0.32,0,13.7053037
0.00212,0.00106,32.0347895,-32.0465881,0.32,0,15.8808322
0.00244,0.00122,36.2357328,-36.2476736,0.32,0,18.3818638
0.00276,0.00138,40.3949045,-40.4121493,0.32,0,20.7438266
0.00308,0.00154,44.511894,-44.5291733,0.32,0,23.5053632
0.0034,0.0017,48.5975593,-48.6133325,0.32,0,26.2870407
0.00372,0.00186,52.6543034,-52.6615172,0.64,0,29.2073946
0.00436,0.00218,60.6760461,-60.674149,0.64,0,36.8409688
0.005,0.0025,68.6098417,-68.6089354,0.64,0,44.864182
0.00564,0.00282,76.3648801,-76.4064381,0.64,0,57.3546402
0.00628,0.00314,84.2093897,-84.1994748,0.64,0,70.2556863
0.00692,0.00346,92.0391015,-92.0368404,0.64,0,83.0056655
0.00756,0.00378,99.6219676,-99.6222369,1.28,0,95.7138751
0.00884,0.00442,115.099905,-115.032901,1.28,0,134.941535
0.01012,0.00506,130.154676,-130.18082,1.28,0,163.032557
0.0114,0.0057,145.188184,-145.180226,1.28,0,187.595278
0.01268,0.00634,160.241871,-160.202612,1.28,0,219.123378
0.01396,0.00698,175.714135,-175.844335,1.28,1,256.549707
0.01524,0.00762,190.59675,-190.803075,2.56,1,294.378692
0.0178,0.0089,219.980506,-220.069841,2.56,1,329.589048
0.02036,0.01018,249.740491,-249.985658,2.56,1,408.728454
0.02292,0.01146,278.610356,-278.821861,2.56,1,449.289541
0.02548,0.01274,307.057024,-307.091919,2.56,0,509.703905
0.02804,0.01402,336.102932,-336.135914,2.56,0,561.955292
0.0306,0.0153,365.081714,-365.115814,5,0,619.486118
0.0331,0.01655,394.498853,-394.725583,2.5,1,665.689624
0.0356,0.0178,422.887675,-422.972818,2.5,1,701.520926
0.0381,0.01905,451.210978,-451.400469,2.5,1,735.55905
0.0406,0.0203,479.503034,-479.603903,2.5,1,807.275837
0.0431,0.02155,505.58701,-505.645913,2.5,0,862.600626
0.0456,0.0228,535.163739,-535.179056,5,1,894.501027
