# ADR90 WP-A2 END-OF-RUN plastic field, build 80e65a4de9bd6741261332b6f92de3a84bb4c642, leg h1.0_e0.6944, s/B=0.025925, mode WALL
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-8.58278998,-7.2377537,2.83442004,1.52449259,2.16052617,0.00057602074,0.855053698
2,-8.58278998,-5.81320925,2.83442004,1.32459632,1.87723118,0.00124362788,0.855053698
3,-8.58278998,-4.57545554,2.83442004,1.15091108,1.63108272,0.00177066719,0.855053698
4,-8.58278998,-3.5,2.83442004,1,1.41721002,0.00194245926,0.855053698
5,-8.58278998,-2.5,2.83442004,1,1.41721002,0.00186682233,0.855053698
6,-8.58278998,-1.5,2.83442004,1,1.41721002,0.00183081244,0.855053698
7,-8.58278998,-0.5,2.83442004,1,1.41721002,0.00168577986,0.855053698
8,-6.07333975,-7.2377537,2.18448042,1.52449259,1.66511211,0.00122017788,0.855053698
9,-6.07333975,-5.81320925,2.18448042,1.32459632,1.44677737,0.00155374386,0.855053698
10,-6.07333975,-4.57545554,2.18448042,1.15091108,1.25707137,0.00186305334,0.855053698
11,-6.07333975,-3.5,2.18448042,1,1.09224021,0.0025266455,0.855053698
12,-6.07333975,-2.5,2.18448042,1,1.09224021,0.00257691252,0.855053698
13,-6.07333975,-1.5,2.18448042,1,1.09224021,0.00171508262,0.855053698
14,-6.07333975,-0.5,2.18448042,1,1.09224021,0.00165659224,0.855053698
15,-4.13931275,-7.2377537,1.68357359,1.52449259,1.28329773,0.00159390258,0.855053698
16,-4.13931275,-5.81320925,1.68357359,1.32459632,1.11502769,0.00173293467,0.855053698
17,-4.13931275,-4.57545554,1.68357359,1.15091108,0.968821754,0.00228560095,0.855053698
18,-4.13931275,-3.5,1.68357359,1,0.841786795,0.00222860024,0.855053698
19,-4.13931275,-2.5,1.68357359,1,0.841786795,0.00383591554,0.855053698
20,-4.13931275,-1.5,1.68357359,1,0.841786795,0.00410286925,0.855053698
21,-4.13931275,-0.5,1.68357359,1,0.841786795,0.00206749583,0.855053698
22,-2.64876298,-7.2377537,1.29752595,1.52449259,0.989034349,0.00173620765,0.855053698
23,-2.64876298,-5.81320925,1.29752595,1.32459632,0.859349052,0.00247007484,0.855053698
24,-2.64876298,-4.57545554,1.29752595,1.15091108,0.746668499,0.00345734646,0.855053698
