# ADR90 WP-A2 tau=0 band, build 80e65a4de9bd6741261332b6f92de3a84bb4c642, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.37037692,-1.3561912,0.02,0,1.96453619
4e-05,2e-05,1.96859019,-1.93264446,0.02,0,2.10573506
6e-05,3e-05,2.48770531,-2.46463641,0.02,0,2.26633859
8e-05,4e-05,3.00045928,-2.96399973,0.02,0,2.39895344
0.0001,5e-05,3.463096,-3.44650465,0.02,0,2.55964804
0.00012,6e-05,3.94578364,-3.91409039,0.04,0,2.71826625
0.00016,8e-05,4.81233787,-4.78987003,0.04,0,3.00733876
0.0002,0.0001,5.64824014,-5.62400417,0.04,0,3.30087996
0.00024,0.00012,6.44286416,-6.42211463,0.04,0,3.59629345
0.00028,0.00014,7.22993019,-7.20378094,0.04,0,3.89578629
0.00032,0.00016,7.98980734,-7.97289871,0.04,0,4.26689529
0.00036,0.00018,8.76478658,-8.73336839,0.08,0,4.58735895
0.00044,0.00022,10.2180226,-10.2177585,0.08,0,7.02218032
0.00052,0.00026,11.7619324,-11.7895488,0.08,1,11.8795567
0.0006,0.0003,13.1217439,-13.1219872,0.08,0,12.8981981
0.00068,0.00034,14.5680142,-14.5649562,0.08,0,13.5683286
0.00076,0.00038,15.9842043,-15.9797699,0.08,0,14.2121663
0.00084,0.00042,17.380048,-17.3767582,0.16,0,14.8493717
0.001,0.0005,20.1232598,-20.1235087,0.16,0,16.3812718
0.00116,0.00058,22.8228051,-22.8221579,0.16,0,17.9433975
0.00132,0.00066,25.4795643,-25.4800072,0.16,0,19.4710822
0.00148,0.00074,28.0994201,-28.0993119,0.16,0,20.9071326
0.00164,0.00082,30.6886551,-30.6889249,0.16,0,22.3463686
0.0018,0.0009,33.2520003,-33.2548647,0.32,0,23.720134
0.00212,0.00106,38.2971116,-38.2982209,0.32,0,27.3608618
0.00244,0.00122,43.2826568,-43.2586593,0.32,0,33.2388113
0.00276,0.00138,48.1812487,-48.1563157,0.32,0,39.1755617
0.00308,0.00154,52.9652314,-52.9983984,0.32,0,45.6336918
0.0034,0.0017,57.760764,-57.7857108,0.32,0,51.7529707
0.00372,0.00186,62.5106321,-62.5413209,0.64,0,58.1462929
0.00436,0.00218,71.9447894,-71.9229802,0.64,0,70.7385201
0.005,0.0025,81.18665,-81.1689924,0.64,0,82.9046683
0.00564,0.00282,90.2851203,-90.3020604,0.64,0,98.0352044
0.00628,0.00314,99.3678776,-99.3844729,0.64,0,115.183127
0.00692,0.00346,108.394101,-108.39342,0.64,0,128.296894
0.00756,0.00378,117.384495,-117.382277,1.28,0,140.262551
0.00884,0.00442,135.113471,-135.116495,1.28,0,166.711561
0.01012,0.00506,152.755131,-152.75629,1.28,0,192.026174
0.0114,0.0057,170.285396,-170.298574,1.28,0,219.096871
0.01268,0.00634,187.786098,-187.788534,1.28,0,250.066535
0.01396,0.00698,205.239731,-205.234339,1.28,0,275.781134
0.01524,0.00762,222.64104,-222.646492,2.56,0,304.553572
0.0178,0.0089,257.424169,-257.489315,2.56,1,374.057451
0.02036,0.01018,291.96518,-292.092716,2.56,1,440.462369
0.02292,0.01146,326.699818,-326.738085,2.56,1,506.209598
0.02548,0.01274,361.382996,-361.457143,2.56,1,570.578607
0.02804,0.01402,395.93079,-395.910526,2.56,1,634.449916
0.0306,0.0153,430.611992,-430.635704,5,1,700.711687
0.0356,0.0178,498.433412,-498.509954,5,1,773.497139
0.0406,0.0203,566.431681,-566.50831,5,1,918.658728
0.0456,0.0228,634.512354,-634.665745,5,1,1050.71367
0.0506,0.0253,702.812388,-703.025871,5,1,1176.20778
0.0556,0.0278,771.041004,-771.078468,5,1,1367.04499
0.0606,0.0303,839.697127,-839.755551,5,1,1486.65573
0.0656,0.0328,908.33975,-908.404098,5,1,1582.00791
0.0706,0.0353,976.810523,-976.97243,5,1,1714.31089
0.0756,0.0378,1045.44304,-1045.58897,5,1,1855.90941
0.0781,0.03905,1079.82082,-1079.84363,2.5,1,2073.06738
0.0806,0.0403,1113.85414,-1113.82087,2.5,1,2142.61758
0.0831,0.04155,1148.1674,-1148.18405,2.5,1,2207.48442
0.0856,0.0428,1182.2688,-1182.24449,2.5,1,2272.50912
0.0881,0.04405,1216.68903,-1216.82588,2.5,1,2324.68903
0.0906,0.0453,1250.70005,-1250.75918,5,1,2391.43428
0.0956,0.0478,1318.72073,-1318.76383,5,1,2468.99424
