# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.005 (actual 0.005060), build 80e65a4de9bd6741261332b6f92de3a84bb4c642, leg h1.0_e0.6944, q_foot=152.7551 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-14.1071032,-10.58279,3.78579351,2.83442004,5.36526449,4.0417791e-06,0.855053698
2,-14.1071032,-8.07333975,3.78579351,2.18448042,4.1349959,1.661211e-05,0.855053698
3,-14.1071032,-6.13931275,3.78579351,1.68357359,3.18683099,2.84578806e-05,0.855053698
4,-14.1071032,-4.64876298,3.78579351,1.29752595,2.45608266,3.78937288e-05,0.855053698
5,-14.1071032,-3.5,3.78579351,1,1.89289675,4.52031671e-05,0.855053698
6,-14.1071032,-2.5,3.78579351,1,1.89289675,5.2117706e-05,0.855053698
7,-14.1071032,-1.5,3.78579351,1,1.89289675,5.97665866e-05,0.855053698
8,-14.1071032,-0.5,3.78579351,1,1.89289675,6.96327852e-05,0.855053698
9,-10.6979683,-10.58279,3.03247644,2.83442004,4.29765599,1.35191624e-05,0.855053698
10,-10.6979683,-8.07333975,3.03247644,2.18448042,3.31219271,2.6702042e-05,0.855053698
11,-10.6979683,-6.13931275,3.03247644,1.68357359,2.55269862,3.97695102e-05,0.855053698
12,-10.6979683,-4.64876298,3.03247644,1.29752595,1.96735844,4.94831019e-05,0.855053698
13,-10.6979683,-3.5,3.03247644,1,1.51623822,5.50896573e-05,0.855053698
14,-10.6979683,-2.5,3.03247644,1,1.51623822,5.78870056e-05,0.855053698
15,-10.6979683,-1.5,3.03247644,1,1.51623822,6.061012e-05,0.855053698
16,-10.6979683,-0.5,3.03247644,1,1.51623822,6.80587964e-05,0.855053698
17,-7.96720087,-10.58279,2.42905835,2.83442004,3.44248583,2.86904236e-05,0.855053698
18,-7.96720087,-8.07333975,2.42905835,2.18448042,2.65311521,4.53287153e-05,0.855053698
19,-7.96720087,-6.13931275,2.42905835,1.68357359,2.04474925,6.5020777e-05,0.855053698
20,-7.96720087,-4.64876298,2.42905835,1.29752595,1.57588312,7.58765562e-05,0.855053698
21,-7.96720087,-3.5,2.42905835,1,1.21452918,7.7999316e-05,0.855053698
22,-7.96720087,-2.5,2.42905835,1,1.21452918,7.5437415e-05,0.855053698
23,-7.96720087,-1.5,2.42905835,1,1.21452918,6.58871247e-05,0.855053698
24,-7.96720087,-0.5,2.42905835,1,1.21452918,4.67861126e-05,0.855053698
25,-5.77981591,-10.58279,1.94571157,2.83442004,2.75748193,4.13249586e-05,0.855053698
26,-5.77981591,-8.07333975,1.94571157,2.18448042,2.12518442,5.29905515e-05,0.855053698
27,-5.77981591,-6.13931275,1.94571157,1.68357359,1.63787431,9.28619168e-05,0.855053698
28,-5.77981591,-4.64876298,1.94571157,1.29752595,1.26230563,0.000126306347,0.855053698
29,-5.77981591,-3.5,1.94571157,1,0.972855784,0.000134406886,0.855053698
30,-5.77981591,-2.5,1.94571157,1,0.972855784,0.000112203659,0.855053698
31,-5.77981591,-1.5,1.94571157,1,0.972855784,7.68112239e-05,0.855053698
32,-5.77981591,-0.5,1.94571157,1,0.972855784,4.25981825e-05,0.855053698
33,-4.0276883,-10.58279,1.55854366,2.83442004,2.2087837,8.49153859e-05,0.855053698
34,-4.0276883,-8.07333975,1.55854366,2.18448042,1.70230406,0.000124399128,0.855053698
35,-4.0276883,-6.13931275,1.55854366,1.68357359,1.31196148,0.000158956062,0.855053698
36,-4.0276883,-4.64876298,1.55854366,1.29752595,1.01112542,0.000208829543,0.855053698
37,-4.0276883,-3.5,1.55854366,1,0.779271832,0.000253060229,0.855053698
38,-4.0276883,-2.5,1.55854366,1,0.779271832,0.000256900379,0.855053698
39,-4.0276883,-1.5,1.55854366,1,0.779271832,0.000156917777,0.855053698
40,-4.0276883,-0.5,1.55854366,1,0.779271832,6.76069294e-05,0.855053698
41,-2.62420823,-10.58279,1.24841646,2.83442004,1.76926832,0.000104203776,0.855053698
42,-2.62420823,-8.07333975,1.24841646,2.18448042,1.36357066,0.000230420528,0.855053698
43,-2.62420823,-6.13931275,1.24841646,1.68357359,1.05090049,0.000398543989,0.855053698
44,-2.62420823,-4.64876298,1.24841646,1.29752595,0.809926378,0.000548558932,0.855053698
45,-2.62420823,-3.5,1.24841646,1,0.624208231,0.000596805243,0.855053698
46,-2.62420823,-2.5,1.24841646,1,0.624208231,0.000683615014,0.855053698
47,-2.62420823,-1.5,1.24841646,1,0.624208231,0.000669976304,0.855053698
48,-2.62420823,-0.5,1.24841646,1,0.624208231,0.000294635321,0.855053698
49,-1.5,-10.58279,1,2.83442004,1.41721002,0.000114701407,0.855053698
50,-1.5,-8.07333975,1,2.18448042,1.09224021,0.000312527763,0.855053698
51,-1.5,-6.13931275,1,1.68357359,0.841786795,0.000555566408,0.855053698
52,-1.5,-4.64876298,1,1.29752595,0.648762975,0.000894578802,0.855053698
53,-1.5,-3.5,1,1,0.5,0.00129248306,0.855053698
54,-1.5,-2.5,1,1,0.5,0.00178178215,0.855053698
55,-1.5,-1.5,1,1,0.5,0.00250554347,0.855053698
56,-1.5,-0.5,1,1,0.5,0.00329913435,0.855053698
57,-0.5,-10.58279,1,2.83442004,1.41721002,0.000116569182,0.855053698
58,-0.5,-8.07333975,1,2.18448042,1.09224021,0.000346048339,0.855053698
59,-0.5,-6.13931275,1,1.68357359,0.841786795,0.000638769233,0.855053698
60,-0.5,-4.64876298,1,1.29752595,0.648762975,0.00102047286,0.855053698
61,-0.5,-3.5,1,1,0.5,0.00141725614,0.855053698
62,-0.5,-2.5,1,1,0.5,0.0017956587,0.855053698
63,-0.5,-1.5,1,1,0.5,0.00181344792,0.855053698
64,-0.5,-0.5,1,1,0.5,0.000846986296,0.855053698
65,0.5,-10.58279,1,2.83442004,1.41721002,0.000116732981,0.855053698
66,0.5,-8.07333975,1,2.18448042,1.09224021,0.00034581438,0.855053698
