step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,1.392,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2,3e-05,2e-05,1.2425,0.01,0,14,14,0,0,0,0,0,15800,0,0,0,3.0
3,4e-05,2.66666667e-05,1.07195,0.01,0,14,14,0,0,0,820,0,18064,0,0,0,3.4
4,5e-05,3.33333333e-05,1.03816,0.01,0,14,14,0,0,0,1214,0,20328,0,0,0,3.6
5,6e-05,4e-05,1.09157,0.01,0,14,14,0,0,0,1370,0,22568,0,0,0,4.0
6,7e-05,4.66666667e-05,1.21107,0.01,0,14,14,0,0,0,1502,0,24808,0,0,0,4.2
7,8e-05,5.33333333e-05,1.36138,0.02,0,14,14,0,0,0,1598,0,27048,0,0,0,4.6
8,0.0001,6.66666667e-05,1.64869,0.02,0,14,14,0,0,0,1671,0,29288,0,0,0,5.0
9,0.00012,8e-05,1.90009,0.02,0,14,14,0,0,0,1704,0,31528,0,0,0,5.4
10,0.00014,9.33333333e-05,2.11472,0.02,0,14,14,0,0,0,1728,0,33768,0,0,0,5.7
11,0.00016,0.000106666667,2.30975,0.02,0,14,14,0,0,0,1772,0,36008,0,0,0,6.0
12,0.00018,0.00012,2.49404,0.02,0,14,14,0,0,0,1812,0,38252,0,0,0,6.3
13,0.0002,0.000133333333,2.67847,0.04,0,14,14,0,0,0,1852,0,40498,0,0,0,6.7
14,0.00024,0.00016,3.05025,0.04,0,14,14,0,0,0,1896,0,42738,0,0,0,7.1
15,0.00028,0.000186666667,3.42059,0.04,0,14,14,0,0,0,1936,0,44978,0,0,0,7.6
16,0.00032,0.000213333333,3.79082,0.04,0,14,14,0,0,0,1972,0,47218,0,0,0,8.2
17,0.00036,0.00024,4.15287,0.04,0,14,14,0,0,0,2020,0,49458,0,0,0,8.6
18,0.0004,0.000266666667,4.50858,0.04,0,14,14,0,0,0,2072,0,51698,0,0,0,8.9
19,0.00044,0.000293333333,4.86016,0.08,0,14,14,0,0,0,2124,0,53942,0,0,0,9.4
20,0.00048,0.00032,5.20444,0.04,0,62,62,0,0,0,2316,0,69746,84,0,0,11.1
21,0.00052,0.000346666667,5.54362,0.04,0,62,62,0,0,0,2380,0,71990,84,0,0,11.5
22,0.00056,0.000373333333,5.87817,0.04,0,62,62,0,0,0,2448,0,74232,84,0,0,11.9
23,0.0006,0.0004,6.21251,0.04,0,62,62,0,0,0,2516,0,76472,84,0,0,12.5
24,0.00064,0.000426666667,6.53564,0.04,0,62,62,0,0,0,2576,0,78712,84,0,0,12.9
25,0.00068,0.000453333333,6.86075,0.08,0,62,62,0,0,0,2636,0,80952,84,0,0,13.4
26,0.00072,0.00048,7.17899,0.04,0,106,106,0,0,0,2876,0,96752,168,0,0,14.9
27,0.00076,0.000506666667,7.49712,0.04,0,106,106,0,0,0,2936,0,98992,168,0,0,15.3
28,0.0008,0.000533333333,7.81075,0.04,0,106,106,0,0,0,2992,0,101232,168,0,0,15.7
29,0.00084,0.00056,8.12609,0.04,0,106,106,0,0,0,3044,0,103472,168,0,0,16.1
30,0.00088,0.000586666667,8.4367,0.04,0,106,106,0,0,0,3096,0,105712,168,0,0,16.6
31,0.00092,0.000613333333,8.74212,0.08,0,106,106,0,0,0,3144,0,107952,168,0,0,17.0
32,0.00096,0.00064,9.04861,0.04,0,130,130,0,0,0,3336,0,123752,228,0,0,18.7
33,0.001,0.000666666667,9.35027,0.04,0,130,130,0,0,0,3384,0,125992,228,0,0,19.1
34,0.00104,0.000693333333,9.65101,0.04,0,130,130,0,0,0,3428,0,128232,228,0,0,19.6
35,0.00108,0.00072,9.9502,0.04,0,130,130,0,0,0,3472,0,130472,228,0,0,20.2
36,0.00112,0.000746666667,10.2478,0.04,0,130,130,0,0,0,3516,0,132712,228,0,0,20.6
37,0.00116,0.000773333333,10.5441,0.08,0,130,130,0,0,0,3560,0,134952,228,0,0,20.9
38,0.0012,0.0008,10.8389,0.04,0,154,154,0,0,0,3736,0,150752,288,0,0,23.1
39,0.00124,0.000826666667,11.1337,0.04,0,154,154,0,0,0,3780,0,152992,288,0,0,23.6
40,0.00128,0.000853333333,11.4248,0.04,0,154,154,0,0,0,3824,0,155232,288,0,0,24.0
41,0.00132,0.00088,11.7161,0.04,0,154,154,0,0,0,3868,0,157472,288,0,0,24.4
42,0.00136,0.000906666667,12.0047,0.04,0,154,154,0,0,0,3912,0,159712,288,0,0,24.8
43,0.0014,0.000933333333,12.2928,0.08,0,154,154,0,0,0,3956,0,161952,288,0,0,25.3
44,0.00144,0.00096,12.5806,0.04,0,178,178,0,0,0,4124,0,177752,348,0,0,27.4
45,0.00148,0.000986666667,12.8677,0.04,0,178,178,0,0,0,4160,0,179992,348,0,0,27.8
46,0.00152,0.00101333333,13.152,0.04,0,178,178,0,0,0,4196,0,182232,348,0,0,28.3
47,0.00156,0.00104,13.4377,0.04,0,178,178,0,0,0,4232,0,184472,348,0,0,28.7
48,0.0016,0.00106666667,13.7178,0.04,0,178,178,0,0,0,4264,0,186712,348,0,0,29.1
49,0.00164,0.00109333333,13.9989,0.08,0,178,178,0,0,0,4292,0,188952,348,0,0,29.7
50,0.00172,0.00114666667,14.7035,0.08,0,182,182,0,0,0,4320,0,191192,368,0,0,30.4
51,0.0018,0.0012,15.1895,0.08,0,186,186,0,0,0,4348,0,193436,368,0,0,31.1
52,0.00188,0.00125333333,15.7565,0.08,0,190,190,0,0,0,4368,0,195680,368,0,0,32.1
53,0.00196,0.00130666667,16.2988,0.08,0,194,194,0,0,0,4396,0,197924,368,0,0,33.1
54,0.002,0.00133333333,16.5716,0.04,0,234,234,0,0,0,4508,0,213740,404,0,0,36.3
55,0.00204,0.00136,16.8254,0.04,0,234,234,0,0,0,4538,0,215980,404,0,0,37.1
56,0.00208,0.00138666667,17.078,0.04,0,234,234,0,0,0,4562,0,218220,404,0,0,38.0
57,0.00212,0.00141333333,17.3248,0.04,0,234,234,0,0,0,4594,0,220460,404,0,0,38.7
58,0.00216,0.00144,17.5923,0.04,0,234,234,0,0,0,4622,0,222700,404,0,0,39.5
59,0.0022,0.00146666667,17.8913,0.08,0,234,234,0,0,0,4644,0,224940,408,0,0,41.1
60,0.00228,0.00152,18.7322,0.08,0,238,238,0,0,0,4668,0,227180,452,0,0,41.9
61,0.00236,0.00157333333,19.125,0.08,0,242,242,0,0,0,4712,0,229424,452,0,0,43.4
62,0.00244,0.00162666667,19.6175,0.08,0,246,246,0,0,0,4732,0,231664,452,0,0,44.6
63,0.00252,0.00168,20.1156,0.08,0,250,250,0,0,0,4756,0,233908,452,0,0,45.4
64,0.00256,0.00170666667,20.3567,0.04,0,286,286,0,0,0,4868,0,249744,476,0,0,48.5
65,0.0026,0.00173333333,20.5973,0.04,0,286,286,0,0,0,4904,0,251988,476,0,0,50.1
66,0.00264,0.00176,20.8409,0.04,0,286,286,0,0,0,4932,0,254228,476,0,0,51.3
67,0.00268,0.00178666667,21.0798,0.04,0,286,286,0,0,0,4956,0,256468,476,0,0,52.1
68,0.00272,0.00181333333,21.3339,0.04,0,286,286,0,0,0,4980,0,258708,476,0,0,53.3
69,0.00276,0.00184,21.578,0.08,0,286,286,0,0,0,5000,0,260948,476,0,0,54.5
70,0.00284,0.00189333333,22.5752,0.08,0,290,290,0,0,0,5020,0,263188,532,0,0,55.7
71,0.00292,0.00194666667,22.933,0.08,0,294,294,0,0,0,5064,0,265428,532,0,0,57.0
72,0.003,0.002,23.3898,0.08,0,298,298,0,0,0,5092,0,267668,532,0,0,57.9
73,0.00308,0.00205333333,23.8366,0.08,0,302,302,0,0,0,5108,0,269908,532,0,0,59.0
74,0.00312,0.00208,24.0678,0.04,0,317,317,0,0,0,5220,0,285724,535,0,0,62.1
75,0.00316,0.00210666667,24.2919,0.04,0,317,317,0,0,0,5252,0,287968,535,0,0,63.1
76,0.0032,0.00213333333,24.5137,0.04,0,317,317,0,0,0,5288,0,290212,535,0,0,63.7
77,0.00324,0.00216,24.7429,0.04,0,317,317,0,0,0,5320,0,292455,535,0,0,64.2
78,0.00328,0.00218666667,24.9816,0.04,0,317,317,0,0,0,5344,0,294695,535,0,0,64.7
79,0.00332,0.00221333333,25.2264,0.08,0,317,317,0,0,0,5364,0,296935,535,0,0,65.1
80,0.0034,0.00226666667,26.2769,0.08,0,321,321,0,0,0,5384,0,299175,599,0,0,65.8
81,0.00348,0.00232,26.6459,0.08,0,328,328,0,0,0,5422,0,301415,603,0,0,66.6
82,0.00356,0.00237333333,27.079,0.08,0,336,336,0,0,0,5441,0,303659,603,0,0,67.3
83,0.00364,0.00242666667,27.5066,0.08,0,340,340,0,0,0,5455,0,305899,603,0,0,68.0
84,0.00372,0.00248,27.9399,0.08,0,344,344,0,0,0,5479,0,308143,603,0,0,68.6
85,0.00376,0.00250666667,28.176,0.04,0,376,376,0,0,0,5591,0,323995,627,0,0,70.5
86,0.0038,0.00253333333,28.3996,0.04,0,376,376,0,0,0,5627,0,326241,627,0,0,71.1
87,0.00384,0.00256,28.6271,0.04,0,376,376,0,0,0,5663,0,328485,627,0,0,71.6
88,0.00388,0.00258666667,28.8512,0.04,0,376,376,0,0,0,5691,0,330727,627,0,0,72.0
89,0.00392,0.00261333333,29.0935,0.04,0,376,376,0,0,0,5713,0,332967,627,0,0,72.6
90,0.00396,0.00264,29.3213,0.08,0,376,376,0,0,0,5737,0,335207,627,0,0,73.1
91,0.00404,0.00269333333,30.3263,0.08,0,380,380,0,0,0,5757,0,337447,699,0,0,74.0
92,0.00412,0.00274666667,30.7417,0.08,0,386,386,0,0,0,5803,0,339687,701,0,0,74.6
93,0.0042,0.0028,31.1761,0.08,0,391,391,0,0,0,5825,0,341927,701,0,0,75.5
94,0.00428,0.00285333333,31.5936,0.08,0,395,395,0,0,0,5837,0,344169,701,0,0,76.3
95,0.00436,0.00290666667,32.0328,0.08,0,399,399,0,0,0,5859,0,346412,703,0,0,77.3
96,0.0044,0.00293333333,32.2508,0.04,0,423,423,0,0,0,5971,0,362268,715,0,0,79.7
97,0.00444,0.00296,32.4746,0.04,0,423,423,0,0,0,6019,0,364516,715,0,0,80.2
98,0.00448,0.00298666667,32.6986,0.04,0,423,423,0,0,0,6055,0,366759,715,0,0,80.8
99,0.00452,0.00301333333,32.9218,0.04,0,423,423,0,0,0,6085,0,369002,715,0,0,81.4
100,0.00456,0.00304,33.1463,0.04,0,423,423,0,0,0,6107,0,371242,715,0,0,81.9
101,0.0046,0.00306666667,33.373,0.08,0,423,423,0,0,0,6129,0,373482,715,0,0,82.7
102,0.00468,0.00312,34.4043,0.08,0,427,427,0,0,0,6149,0,375722,789,0,0,83.8
103,0.00476,0.00317333333,34.8069,0.08,0,429,429,0,0,0,6191,0,377962,791,0,0,84.5
104,0.00484,0.00322666667,35.2215,0.08,0,434,434,0,0,0,6211,0,380202,791,0,0,85.2
105,0.00492,0.00328,35.6156,0.08,0,438,438,0,0,0,6221,0,382444,791,0,0,86.0
106,0.005,0.00333333333,36.0373,0.08,0,442,442,0,0,0,6241,0,384686,793,0,0,86.7
107,0.00504,0.00336,36.2482,0.04,0,458,458,0,0,0,6361,0,400529,805,0,0,88.6
108,0.00508,0.00338666667,36.4742,0.04,0,458,458,0,0,0,6403,0,402776,805,0,0,89.1
109,0.00512,0.00341333333,36.6997,0.04,0,458,458,0,0,0,6443,0,405020,805,0,0,89.7
110,0.00516,0.00344,36.9248,0.04,0,458,458,0,0,0,6477,0,407264,805,0,0,90.2
111,0.0052,0.00346666667,37.1517,0.04,0,458,458,0,0,0,6499,0,409504,805,0,0,90.7
112,0.00524,0.00349333333,37.3773,0.08,0,458,458,0,0,0,6523,0,411744,805,0,0,91.3
113,0.00532,0.00354666667,38.3511,0.08,0,458,458,0,0,0,6543,0,413984,883,0,0,92.0
114,0.0054,0.0036,38.825,0.08,0,460,460,0,0,0,6589,0,416224,885,0,0,92.8
115,0.00548,0.00365333333,39.2536,0.08,0,462,462,0,0,0,6613,0,418464,885,0,0,93.6
116,0.00556,0.00370666667,39.6457,0.08,0,462,462,0,0,0,6621,0,420708,885,0,0,94.6
117,0.00564,0.00376,40.0428,0.08,0,462,462,0,0,0,6635,0,422953,885,0,0,95.6
