step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,2.2
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,2.5
3,6e-05,4e-05,2.01368,0.02,0,0,0,0,0,0,152,0,4480,0,0,0,2.7
4,8e-05,5.33333333e-05,2.13336,0.02,0,0,0,0,0,0,238,0,6720,0,0,0,3.0
5,0.0001,6.66666667e-05,2.28053,0.02,0,0,0,0,0,0,299,0,8960,0,0,0,3.3
6,0.00012,8e-05,2.50471,0.04,0,0,0,0,0,0,334,0,11208,0,0,0,3.5
7,0.00016,0.000106666667,3.20967,0.04,0,0,0,0,0,0,378,0,13448,20,0,0,3.9
8,0.0002,0.000133333333,3.82282,0.04,0,0,0,0,0,0,390,0,15692,20,0,0,4.2
9,0.00024,0.00016,4.52085,0.04,0,0,0,0,0,0,406,0,17936,20,0,0,4.5
10,0.00026,0.000173333333,4.87682,0.02,0,12,12,0,0,0,486,0,33746,32,0,0,5.5
11,0.00028,0.000186666667,5.23669,0.02,0,12,12,0,0,0,502,0,35986,32,0,0,5.7
12,0.0003,0.0002,5.57689,0.02,0,12,12,0,0,0,522,0,38226,32,0,0,6.0
13,0.00032,0.000213333333,5.90231,0.02,0,12,12,0,0,0,547,0,40466,32,0,0,6.3
14,0.00034,0.000226666667,6.20875,0.02,0,12,12,0,0,0,567,0,42706,32,0,0,6.5
15,0.00036,0.00024,6.51262,0.04,0,12,12,0,0,0,580,0,44946,32,0,0,6.8
16,0.00038,0.000253333333,6.81592,0.02,0,24,24,0,0,0,596,0,60746,44,0,0,7.7
17,0.0004,0.000266666667,7.12317,0.02,0,24,24,0,0,0,596,0,62986,44,0,0,8.0
18,0.00042,0.00028,7.44237,0.02,0,24,24,0,0,0,597,0,65226,44,0,0,8.2
19,0.00044,0.000293333333,7.75067,0.02,0,24,24,0,0,0,599,0,67466,44,0,0,8.5
20,0.00046,0.000306666667,8.06033,0.02,0,24,24,0,0,0,599,0,69706,44,0,0,8.7
21,0.00048,0.00032,8.37191,0.04,0,24,24,0,0,0,601,0,71946,44,0,0,9.0
22,0.0005,0.000333333333,8.69348,0.02,0,36,36,0,0,0,601,0,87746,56,0,0,9.9
23,0.00052,0.000346666667,8.99582,0.02,0,36,36,0,0,0,610,0,89986,56,0,0,10.2
24,0.00054,0.00036,9.30365,0.02,0,36,36,0,0,0,615,0,92226,56,0,0,10.4
25,0.00056,0.000373333333,9.61382,0.02,0,36,36,0,0,0,621,0,94466,56,0,0,10.7
26,0.00058,0.000386666667,9.9201,0.02,0,36,36,0,0,0,630,0,96706,56,0,0,10.9
27,0.0006,0.0004,10.2272,0.04,0,36,36,0,0,0,642,0,98946,56,0,0,11.2
28,0.00064,0.000426666667,11.0597,0.04,1,44,44,0,0,0,702,0,110226,68,0,0,11.9
29,0.00068,0.000453333333,11.6749,0.04,0,44,44,0,0,0,724,0,112466,72,0,0,12.3
30,0.00072,0.00048,12.2444,0.04,0,44,44,0,0,0,745,0,114706,72,0,0,12.6
31,0.00076,0.000506666667,13.0036,0.04,1,52,52,0,0,0,757,0,125986,84,0,0,13.4
32,0.0008,0.000533333333,13.7463,0.04,1,60,60,0,0,0,769,0,137266,96,0,0,14.2
33,0.00084,0.00056,14.4293,0.08,1,68,68,0,0,0,781,0,148546,108,0,0,15.1
34,0.00088,0.000586666667,14.8695,0.04,0,128,128,0,0,0,797,0,164346,156,0,0,16.8
35,0.0009,0.0006,14.9852,0.02,0,140,140,0,0,0,833,0,180146,168,0,0,18.6
36,0.00092,0.000613333333,15.0874,0.02,0,140,140,0,0,0,861,0,182386,168,0,0,19.1
37,0.00094,0.000626666667,15.2349,0.02,0,140,140,0,0,0,901,0,184638,168,0,0,19.6
38,0.00096,0.00064,15.4486,0.02,0,140,140,0,0,0,921,0,186890,168,0,0,19.9
39,0.00098,0.000653333333,15.7229,0.02,0,140,140,0,0,0,925,0,189138,168,0,0,20.5
40,0.001,0.000666666667,16.0253,0.04,0,140,140,0,0,0,925,0,191382,168,0,0,20.9
41,0.00104,0.000693333333,16.7208,0.04,0,140,140,0,0,0,925,0,193622,192,0,0,21.3
42,0.00108,0.00072,17.3404,0.04,0,140,140,0,0,0,933,0,195862,192,0,0,21.6
43,0.00112,0.000746666667,17.9252,0.04,0,140,140,0,0,0,934,0,198102,192,0,0,22.0
44,0.00116,0.000773333333,18.5144,0.04,0,140,140,0,0,0,935,0,200342,192,0,0,22.3
45,0.0012,0.0008,19.1021,0.04,0,140,140,0,0,0,936,0,202582,192,0,0,22.7
46,0.00124,0.000826666667,19.6749,0.08,0,140,140,0,0,0,947,0,204822,200,0,0,23.0
47,0.00128,0.000853333333,20.2505,0.04,0,173,173,0,0,0,952,0,220622,272,0,0,24.2
48,0.00132,0.00088,20.8188,0.04,0,173,173,0,0,0,953,0,222862,272,0,0,24.5
49,0.00134,0.000893333333,21.09,0.02,0,185,185,0,0,0,989,0,238673,284,0,0,25.3
50,0.00136,0.000906666667,21.3508,0.02,0,185,185,0,0,0,998,0,240913,284,0,0,25.5
51,0.00138,0.00092,21.6145,0.02,0,185,185,0,0,0,1010,0,243153,284,0,0,25.7
52,0.0014,0.000933333333,21.8774,0.02,0,185,185,0,0,0,1022,0,245393,284,0,0,26.0
53,0.00142,0.000946666667,22.1405,0.02,0,185,185,0,0,0,1038,0,247633,284,0,0,26.2
54,0.00144,0.00096,22.4059,0.04,0,185,185,0,0,0,1056,0,249873,284,0,0,26.4
55,0.00148,0.000986666667,22.9603,0.04,0,185,185,0,0,0,1068,0,252113,292,0,0,26.7
56,0.00152,0.00101333333,23.5079,0.04,0,185,185,0,0,0,1086,0,254353,292,0,0,27.0
57,0.00154,0.00102666667,23.7919,0.02,0,191,191,0,0,0,1134,0,270161,292,0,0,27.7
58,0.00156,0.00104,24.0812,0.02,0,191,191,0,0,0,1152,0,272401,292,0,0,27.9
59,0.00158,0.00105333333,24.3739,0.02,0,191,191,0,0,0,1169,0,274641,292,0,0,28.2
60,0.0016,0.00106666667,24.6608,0.02,0,192,192,0,0,0,1185,0,276881,292,0,0,28.4
61,0.00162,0.00108,24.9456,0.02,0,193,193,0,0,0,1207,0,279121,292,0,0,28.6
62,0.00164,0.00109333333,25.2203,0.04,0,193,193,0,0,0,1228,0,281361,292,0,0,28.8
63,0.00166,0.00110666667,25.494,0.02,0,200,200,0,0,0,1308,0,297161,292,0,0,29.4
64,0.00168,0.00112,25.767,0.02,0,200,200,0,0,0,1333,0,299401,292,0,0,29.5
65,0.0017,0.00113333333,26.0395,0.02,0,200,200,0,0,0,1361,0,301641,292,0,0,29.7
66,0.00172,0.00114666667,26.3173,0.02,0,201,201,0,0,0,1389,0,303883,292,0,0,29.9
67,0.00174,0.00116,26.5927,0.02,0,201,201,0,0,0,1428,0,306123,292,0,0,30.2
68,0.00176,0.00117333333,26.8721,0.04,0,202,202,0,0,0,1450,0,308363,292,0,0,30.4
69,0.0018,0.0012,27.4234,0.04,0,203,203,0,0,0,1471,0,310603,292,0,0,30.7
70,0.00184,0.00122666667,27.9713,0.04,0,204,204,0,0,0,1489,0,312843,292,0,0,31.0
71,0.00188,0.00125333333,28.5229,0.04,0,204,204,0,0,0,1506,0,315083,292,0,0,31.2
72,0.00192,0.00128,29.0645,0.04,0,204,204,0,0,0,1522,0,317323,292,0,0,31.5
73,0.00196,0.00130666667,29.6086,0.04,0,204,204,0,0,0,1538,0,319563,292,0,0,31.8
