step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.86989,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2,3e-05,2e-05,1.87418,0.01,0,24,24,0,0,0,0,0,15800,0,0,0,2.0
3,4e-05,2.66666667e-05,1.85326,0.01,0,24,24,0,0,0,132,0,18040,0,0,0,2.1
4,5e-05,3.33333333e-05,2.05278,0.01,0,24,24,0,0,0,214,0,20280,0,0,0,2.2
5,6e-05,4e-05,2.39868,0.01,0,24,24,0,0,0,254,0,22520,0,0,0,2.4
6,7e-05,4.66666667e-05,2.7707,0.01,0,24,24,0,0,0,256,0,24760,0,0,0,2.5
7,8e-05,5.33333333e-05,3.13284,0.02,0,24,24,0,0,0,264,0,27000,0,0,0,2.6
8,0.0001,6.66666667e-05,3.81873,0.02,0,24,24,0,0,0,276,0,29240,0,0,0,2.8
9,0.00012,8e-05,4.40407,0.02,0,24,24,0,0,0,292,0,31480,0,0,0,3.0
10,0.00014,9.33333333e-05,5.00568,0.02,0,24,24,0,0,0,292,0,33720,0,0,0,3.2
11,0.00016,0.000106666667,5.57975,0.02,0,24,24,0,0,0,292,0,35960,0,0,0,3.4
12,0.00018,0.00012,6.15677,0.02,0,24,24,0,0,0,292,0,38200,0,0,0,3.6
13,0.0002,0.000133333333,6.73521,0.04,0,24,24,0,0,0,292,0,40440,0,0,0,3.8
14,0.00024,0.00016,7.87355,0.04,0,24,24,0,0,0,292,0,42680,0,0,0,4.0
15,0.00028,0.000186666667,8.99032,0.04,0,24,24,0,0,0,292,0,44920,0,0,0,4.3
16,0.00032,0.000213333333,10.0726,0.04,0,24,24,0,0,0,292,0,47160,0,0,0,4.6
17,0.00036,0.00024,11.1385,0.04,0,24,24,0,0,0,292,0,49400,0,0,0,4.9
18,0.0004,0.000266666667,12.1889,0.04,0,24,24,0,0,0,296,0,51640,0,0,0,5.1
19,0.00044,0.000293333333,13.2049,0.08,0,24,24,0,0,0,299,0,53880,0,0,0,5.4
20,0.00048,0.00032,14.2213,0.04,0,48,48,0,0,0,299,0,69680,60,0,0,6.1
21,0.00052,0.000346666667,15.2208,0.04,0,48,48,0,0,0,299,0,71920,60,0,0,6.4
22,0.00056,0.000373333333,16.2068,0.04,0,48,48,0,0,0,299,0,74160,60,0,0,6.6
23,0.0006,0.0004,17.1846,0.04,0,48,48,0,0,0,299,0,76400,60,0,0,6.9
24,0.00064,0.000426666667,18.1455,0.04,0,48,48,0,0,0,299,0,78640,60,0,0,7.1
25,0.00068,0.000453333333,19.0993,0.08,0,48,48,0,0,0,299,0,80880,60,0,0,7.4
26,0.00072,0.00048,20.0553,0.04,0,72,72,0,0,0,299,0,96680,132,0,0,8.0
27,0.00076,0.000506666667,20.9916,0.04,0,72,72,0,0,0,299,0,98920,132,0,0,8.3
28,0.0008,0.000533333333,21.9226,0.04,0,72,72,0,0,0,299,0,101160,132,0,0,8.5
29,0.00084,0.00056,22.8396,0.04,0,72,72,0,0,0,299,0,103400,132,0,0,8.8
