step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2,4e-05,2.66666667e-05,1.82194,0.02,0,0,0,0,0,0,0,0,2240,0,0,168,1.5
3,6e-05,4e-05,2.02811,0.02,0,0,0,0,0,0,160,0,4480,0,0,229,1.7
4,8e-05,5.33333333e-05,2.15335,0.02,0,0,0,0,0,0,242,0,6720,0,0,369,2.1
5,0.0001,6.66666667e-05,2.34909,0.02,0,0,0,0,0,0,288,0,8960,0,0,947,2.6
6,0.00012,8e-05,2.6726,0.04,0,0,0,0,0,0,331,0,11204,0,0,1589,3.0
7,0.00016,0.000106666667,3.37566,0.04,0,0,0,0,0,0,347,0,13444,0,0,2208,3.6
8,0.0002,0.000133333333,4.0386,0.04,0,0,0,0,0,0,360,0,15684,0,0,2818,4.3
9,0.00024,0.00016,4.66441,0.04,0,0,0,0,0,0,388,0,17924,0,0,3430,5.1
10,0.00028,0.000186666667,5.31062,0.04,0,0,0,0,0,0,404,0,20164,0,0,4062,5.9
11,0.00032,0.000213333333,5.94767,0.04,0,0,0,0,0,0,424,0,22404,0,0,4699,6.6
12,0.00036,0.00024,6.569,0.08,0,0,0,0,0,0,439,0,24644,0,0,5384,7.4
13,0.00044,0.000293333333,7.81722,0.08,0,8,8,0,0,0,454,0,26884,0,0,6244,9.0
14,0.00052,0.000346666667,9.05673,0.08,0,16,16,0,0,0,463,0,29124,0,0,7102,10.4
15,0.0006,0.0004,10.2607,0.08,0,24,24,0,0,0,467,0,31364,0,0,7964,12.0
16,0.00068,0.000453333333,11.4337,0.08,0,32,32,0,0,0,485,0,33604,0,0,8820,13.7
17,0.00076,0.000506666667,12.6124,0.08,0,40,40,0,0,0,509,0,35844,0,0,9680,15.4
18,0.00084,0.00056,13.7895,0.16,0,44,44,0,0,0,529,0,38084,0,0,10484,16.9
19,0.001,0.000666666667,16.1225,0.16,0,48,48,0,0,0,533,0,40324,0,0,11339,20.3
20,0.00116,0.000773333333,18.4244,0.16,0,52,52,0,0,0,538,0,42564,0,0,12191,23.5
21,0.00132,0.00088,20.6873,0.16,0,56,56,0,0,0,542,0,44804,0,0,13062,26.8
22,0.00148,0.000986666667,22.8814,0.16,0,60,60,0,0,0,550,0,47044,0,0,13936,30.4
23,0.00164,0.00109333333,25.0419,0.16,0,72,72,0,0,0,558,0,53804,0,0,15774,41.2
24,0.0018,0.0012,27.1975,0.32,0,78,78,0,0,0,579,0,56044,0,0,16723,45.4
25,0.00196,0.00130666667,29.3415,0.16,0,176,176,0,0,0,691,0,71844,0,0,20829,50.3
26,0.00212,0.00141333333,31.4687,0.16,0,180,180,0,0,0,735,0,74084,0,0,21760,54.5
27,0.00228,0.00152,33.5852,0.16,0,184,184,0,0,0,771,0,76324,0,0,22718,58.7
28,0.00244,0.00162666667,35.6845,0.16,0,188,188,0,0,0,803,0,78564,0,0,23681,62.9
29,0.0026,0.00173333333,37.7749,0.16,0,192,192,0,0,0,831,0,80804,0,0,24670,67.2
30,0.00276,0.00184,39.8491,0.32,0,196,196,0,0,0,855,0,83044,0,0,25652,71.6
31,0.00292,0.00194666667,41.9187,0.16,0,224,224,0,0,0,939,0,98844,0,0,29607,77.1
32,0.00296,0.00197333333,42.4172,0.04,0,276,276,0,0,0,1093,0,128442,0,0,36770,79.3
33,0.003,0.002,42.8947,0.04,0,276,276,0,0,0,1117,0,130682,0,0,37655,80.6
34,0.00304,0.00202666667,43.4104,0.04,0,276,276,0,0,0,1127,0,132922,0,0,38556,81.7
35,0.00308,0.00205333333,43.9265,0.04,0,276,276,0,0,0,1135,0,135162,0,0,39457,82.7
36,0.00312,0.00208,44.4414,0.04,0,276,276,0,0,0,1147,0,137402,0,0,40356,83.9
37,0.00316,0.00210666667,44.9585,0.08,0,276,276,0,0,0,1159,0,139642,0,0,41259,85.0
38,0.00324,0.00216,45.9882,0.08,0,280,280,0,0,0,1171,0,141882,0,0,42264,87.2
39,0.00332,0.00221333333,47.0166,0.08,0,284,284,0,0,0,1183,0,144122,0,0,43267,89.5
40,0.0034,0.00226666667,48.0311,0.08,0,288,288,0,0,0,1195,0,146362,0,0,44268,91.8
41,0.00348,0.00232,49.0514,0.08,0,292,292,0,0,0,1207,0,148605,0,0,45269,94.2
42,0.00356,0.00237333333,50.0708,0.08,0,296,296,0,0,0,1219,0,150845,0,0,46269,96.7
43,0.00364,0.00242666667,51.0798,0.16,0,300,300,0,0,0,1231,0,153085,0,0,47277,99.3
44,0.0038,0.00253333333,53.1261,0.16,0,304,304,0,0,0,1243,0,155325,0,0,48279,104.4
45,0.00396,0.00264,55.1719,0.16,0,308,308,0,0,0,1255,0,157565,0,0,49281,109.6
46,0.00412,0.00274666667,57.202,0.16,0,312,312,0,0,0,1269,0,159805,0,0,50283,114.7
47,0.00428,0.00285333333,59.2159,0.16,0,316,316,0,0,0,1286,0,162045,0,0,51289,120.1
48,0.00444,0.00296,61.2272,0.16,0,320,320,0,0,0,1304,0,164285,0,0,52305,125.6
49,0.0046,0.00306666667,63.2262,0.32,0,324,324,0,0,0,1323,0,166527,0,0,53329,131.3
50,0.00476,0.00317333333,65.2174,0.16,0,376,376,0,0,0,1395,0,182331,0,0,57515,139.3
51,0.00492,0.00328,67.2118,0.16,0,380,380,0,0,0,1413,0,184575,0,0,58541,145.3
52,0.00508,0.00338666667,69.2059,0.16,0,384,384,0,0,0,1437,0,186819,0,0,59582,151.1
53,0.00524,0.00349333333,71.1898,0.16,0,390,390,0,0,0,1459,0,189065,0,0,60769,157.0
54,0.0054,0.0036,74.2051,0.16,1,407,407,0,0,0,1531,0,200357,0,0,64123,159.1
55,0.00556,0.00370666667,76.3561,0.32,0,407,407,0,0,0,1560,0,202597,0,0,65003,161.1
56,0.00588,0.00392,80.5541,0.32,0,407,407,0,0,0,1592,0,204837,0,0,66044,165.8
57,0.0062,0.00413333333,84.5812,0.32,0,407,407,0,0,0,1624,0,207077,0,0,67143,171.4
58,0.00636,0.00424,86.464,0.16,0,435,435,0,0,0,1784,0,222913,0,0,71830,176.1
59,0.00652,0.00434666667,88.2821,0.16,0,435,435,0,0,0,1825,0,225153,0,0,72951,179.7
60,0.00668,0.00445333333,90.0863,0.16,0,435,435,0,0,0,1873,0,227396,0,0,74033,182.8
61,0.00684,0.00456,91.8729,0.16,0,435,435,0,0,0,1921,0,229640,0,0,75090,186.1
62,0.007,0.00466666667,93.6449,0.16,0,435,435,0,0,0,1969,0,231888,0,0,76093,189.4
63,0.00716,0.00477333333,95.4079,0.32,0,435,435,0,0,0,2021,0,234132,0,0,77061,193.4
64,0.00732,0.00488,97.1864,0.16,0,459,459,0,0,0,2261,0,249936,0,0,80873,198.6
65,0.00748,0.00498666667,98.96,0.16,0,459,459,0,0,0,2313,0,252180,0,0,81787,203.8
66,0.00764,0.00509333333,101.213,0.16,1,503,503,0,0,0,2475,0,263476,0,0,84499,213.2
67,0.0078,0.0052,103.13,0.16,0,503,503,0,0,0,2523,0,265720,0,0,85374,217.3
68,0.00796,0.00530666667,104.934,0.16,0,503,503,0,0,0,2571,0,267960,0,0,86266,223.1
69,0.00812,0.00541333333,106.696,0.32,0,503,503,0,0,0,2615,0,270200,0,0,87237,229.4
70,0.00828,0.00552,108.937,0.16,1,541,541,0,0,0,2879,0,295048,0,0,93387,240.8
71,0.00844,0.00562666667,110.933,0.16,0,541,541,0,0,0,2927,0,297292,0,0,94403,245.0
72,0.0086,0.00573333333,112.84,0.16,0,541,541,0,0,0,2971,0,299536,0,0,95466,249.1
73,0.00876,0.00584,114.701,0.16,0,541,541,0,0,0,3015,0,301780,0,0,96594,253.9
74,0.00892,0.00594666667,116.574,0.16,0,541,541,0,0,0,3061,0,304028,0,0,97754,259.3
75,0.00908,0.00605333333,118.502,0.32,0,541,541,0,0,0,3109,0,306276,0,0,98911,264.9
76,0.00924,0.00616,120.378,0.16,0,565,565,0,0,0,3301,0,322084,0,0,103470,270.9
77,0.0094,0.00626666667,122.254,0.16,0,565,565,0,0,0,3349,0,324328,0,0,104586,276.6
78,0.00956,0.00637333333,124.17,0.16,0,565,565,0,0,0,3398,0,326572,0,0,105687,282.5
79,0.00972,0.00648,125.992,0.16,0,565,565,0,0,0,3446,0,328816,0,0,106795,289.4
80,0.00988,0.00658666667,128.505,0.16,1,600,600,0,0,0,3590,0,340112,0,0,110233,299.8
81,0.01004,0.00669333333,130.407,0.32,0,600,600,0,0,0,3642,0,342352,0,0,111280,303.8
82,0.0102,0.0068,132.211,0.16,0,618,618,0,0,0,3822,0,358156,0,0,115875,309.5
83,0.01036,0.00690666667,134.104,0.16,0,618,618,0,0,0,3868,0,360400,0,0,117053,313.9
84,0.01052,0.00701333333,135.897,0.16,0,618,618,0,0,0,3916,0,362650,0,0,118272,318.2
85,0.01068,0.00712,137.758,0.16,0,618,618,0,0,0,3967,0,364898,0,0,119465,322.6
86,0.01084,0.00722666667,139.573,0.16,0,618,618,0,0,0,4017,0,367148,0,0,120638,327.2
87,0.011,0.00733333333,141.505,0.32,0,618,618,0,0,0,4063,0,369395,0,0,121812,332.1
88,0.01116,0.00744,143.243,0.16,0,630,630,0,0,0,4247,0,385199,0,0,126473,338.0
89,0.01132,0.00754666667,145.013,0.16,0,630,630,0,0,0,4295,0,387443,0,0,127603,344.1
90,0.01148,0.00765333333,148.071,0.16,1,662,662,0,0,0,4436,0,398739,0,0,130957,353.7
91,0.01164,0.00776,150.149,0.16,0,662,662,0,0,0,4484,0,400979,0,0,131982,356.2
92,0.0118,0.00786666667,151.991,0.16,0,662,662,0,0,0,4524,0,403219,0,0,133074,359.2
93,0.01196,0.00797333333,153.699,0.32,0,662,662,0,0,0,4564,0,405459,0,0,134288,362.4
94,0.01212,0.00808,155.479,0.16,0,674,674,0,0,0,4740,0,421263,0,0,139664,366.6
95,0.01228,0.00818666667,157.309,0.16,0,674,674,0,0,0,4788,0,423515,0,0,140953,370.3
96,0.01244,0.00829333333,159.132,0.16,0,674,674,0,0,0,4836,0,425763,0,0,142201,373.7
97,0.0126,0.0084,160.944,0.16,0,674,674,0,0,0,4884,0,428007,0,0,143415,377.3
