step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-06,1.33333333e-06,-0.145503,0.002,0,0,0,0,0,0,0,2280,6008,0,2280,0,1.1
2,4e-06,2.66666667e-06,-0.0457269,0.002,0,0,0,0,0,0,0,2280,8248,0,2280,0,1.1
3,6e-06,4e-06,0.0224315,0.002,0,0,0,0,0,0,36,2280,10488,0,2280,0,1.2
4,8e-06,5.33333333e-06,0.0849387,0.002,0,0,0,0,0,0,50,2280,12728,0,2280,0,1.2
5,1e-05,6.66666667e-06,0.148893,0.002,0,0,0,0,0,0,54,2280,14968,0,2280,0,1.3
6,1.2e-05,8e-06,0.212575,0.003,0,0,0,0,0,0,58,2280,17208,0,2280,0,1.3
7,1.5e-05,1e-05,0.309554,0.003,0,0,0,0,0,0,62,2280,19448,0,2280,0,1.4
8,1.8e-05,1.2e-05,0.413851,0.003,0,0,0,0,0,0,70,2280,21688,0,2280,0,1.4
9,2.1e-05,1.4e-05,0.516189,0.003,0,0,0,0,0,0,70,2280,23928,0,2280,0,1.5
10,2.4e-05,1.6e-05,0.61742,0.003,0,0,0,0,0,0,70,2280,26168,0,2280,0,1.5
11,2.7e-05,1.8e-05,0.717761,0.003,0,0,0,0,0,0,70,2280,28408,0,2280,0,1.6
12,3e-05,2e-05,0.81734,0.0045,0,0,0,0,0,0,70,2280,30648,0,2280,0,1.6
13,3.45e-05,2.3e-05,0.956467,0.0045,0,0,0,0,0,0,70,2280,32888,0,2280,0,1.7
14,3.9e-05,2.6e-05,1.09891,0.0045,0,0,0,0,0,0,70,2280,35128,0,2280,0,1.8
15,4.35e-05,2.9e-05,1.2425,0.0045,0,0,0,0,0,0,70,2280,37368,0,2280,0,1.8
16,4.8e-05,3.2e-05,1.38641,0.0045,0,0,0,0,0,0,70,2280,39608,0,2280,0,1.9
17,5.25e-05,3.5e-05,1.53089,0.0045,0,0,0,0,0,0,70,2280,41848,0,2280,0,2.0
18,5.7e-05,3.8e-05,1.67465,0.00675,0,0,0,0,0,0,70,2280,44088,0,2280,0,2.1
19,6.375e-05,4.25e-05,1.88989,0.00675,0,0,0,0,0,0,70,2280,46328,0,2280,0,2.2
20,7.05e-05,4.7e-05,2.10118,0.00675,0,0,0,0,0,0,70,2280,48568,0,2280,0,2.3
21,7.725e-05,5.15e-05,2.31158,0.00675,0,0,0,0,0,0,70,2280,50808,0,2280,0,2.4
22,8.4e-05,5.6e-05,2.51939,0.00675,0,0,0,0,0,0,70,2280,53048,0,2280,0,2.5
23,9.075e-05,6.05e-05,2.72576,0.00675,0,0,0,0,0,0,70,2280,55288,0,2280,0,2.5
24,9.75e-05,6.5e-05,2.93024,0.010125,0,0,0,0,0,0,70,2280,57528,0,2280,0,2.6
25,0.000107625,7.175e-05,3.23862,0.010125,0,0,0,0,0,0,70,2280,59768,0,2280,0,2.7
26,0.00011775,7.85e-05,3.53824,0.010125,0,0,0,0,0,0,70,2280,62008,0,2280,0,2.8
27,0.000127875,8.525e-05,3.83755,0.010125,0,0,0,0,0,0,70,2280,64248,0,2280,0,2.9
28,0.000138,9.2e-05,4.13383,0.010125,0,0,0,0,0,0,70,2280,66488,0,2280,0,3.0
29,0.000148125,9.875e-05,4.42789,0.010125,0,0,0,0,0,0,70,2280,68728,0,2280,0,3.1
30,0.00015825,0.0001055,4.72085,0.0151875,0,0,0,0,0,0,70,2280,70968,0,2280,0,3.3
31,0.0001734375,0.000115625,5.1536,0.0151875,0,0,0,0,0,0,70,2280,73208,0,2280,0,3.4
32,0.000188625,0.00012575,5.5844,0.0151875,0,0,0,0,0,0,70,2280,75448,0,2280,0,3.5
33,0.0002038125,0.000135875,6.00979,0.0151875,0,0,0,0,0,0,70,2280,77688,0,2280,0,3.6
34,0.000219,0.000146,6.43307,0.0151875,0,0,0,0,0,0,70,2280,79928,0,2280,0,3.7
35,0.0002341875,0.000156125,6.84857,0.0151875,0,0,0,0,0,0,70,2280,82168,0,2280,0,3.9
36,0.000249375,0.00016625,7.2589,0.0227812,0,0,0,0,0,0,70,2280,84408,0,2280,0,4.0
37,0.00027215625,0.0001814375,7.87719,0.0227812,0,0,0,0,0,0,70,2280,86648,0,2280,0,4.1
38,0.0002949375,0.000196625,8.48291,0.0227812,0,0,0,0,0,0,70,2280,88888,0,2280,0,4.3
39,0.00031771875,0.0002118125,9.08007,0.0227812,0,0,0,0,0,0,70,2280,91128,0,2280,0,4.4
40,0.0003405,0.000227,9.67311,0.0227812,0,0,0,0,0,0,70,2280,93368,0,2280,0,4.6
41,0.00036328125,0.0002421875,10.2608,0.0227812,0,0,0,0,0,0,71,2280,95608,0,2280,0,4.7
42,0.0003860625,0.000257375,10.8361,0.0341719,0,0,0,0,0,0,71,2280,97848,0,2280,0,4.9
43,0.000420234375,0.00028015625,11.6992,0.0341719,0,0,0,0,0,0,71,2280,100088,0,2280,0,5.0
44,0.00045440625,0.0003029375,12.5572,0.0341719,0,0,0,0,0,0,71,2280,102328,0,2280,0,5.2
45,0.000488578125,0.00032571875,13.3995,0.0341719,0,0,0,0,0,0,71,2280,104568,0,2280,0,5.4
46,0.00052275,0.0003485,14.2309,0.0341719,0,0,0,0,0,0,71,2280,106808,0,2280,0,5.6
47,0.000556921875,0.00037128125,15.0546,0.0341719,0,0,0,0,0,0,75,2280,109048,0,2280,0,5.7
48,0.00059109375,0.0003940625,15.8669,0.0512578,0,0,0,0,0,0,79,2280,111288,0,2280,0,5.9
49,0.000616722656,0.000411148438,16.4718,0.0256289,0,12,12,0,0,0,95,2280,127088,12,2280,0,6.5
50,0.000642351563,0.000428234375,17.0685,0.0256289,0,12,12,0,0,0,99,2280,129328,12,2280,0,6.7
51,0.000667980469,0.000445320313,17.6609,0.0256289,0,12,12,0,0,0,105,2280,131568,12,2280,0,6.8
52,0.000693609375,0.00046240625,18.2585,0.0256289,0,12,12,0,0,0,113,2280,133808,12,2280,0,7.0
53,0.000719238281,0.000479492188,18.8507,0.0256289,0,12,12,0,0,0,125,2280,136048,12,2280,0,7.2
54,0.000744867188,0.000496578125,19.4416,0.0384434,0,12,12,0,0,0,133,2280,138288,12,2280,0,7.3
