step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,1.7
3,6e-05,4e-05,2.01368,0.02,0,0,0,0,0,0,152,0,4480,0,0,0,1.9
4,8e-05,5.33333333e-05,2.13336,0.02,0,0,0,0,0,0,238,0,6720,0,0,0,2.1
5,0.0001,6.66666667e-05,2.28053,0.02,0,0,0,0,0,0,299,0,8960,0,0,0,2.3
6,0.00012,8e-05,2.50471,0.04,0,0,0,0,0,0,334,0,11208,0,0,0,2.5
7,0.00016,0.000106666667,3.06895,0.04,0,0,0,0,0,0,378,0,13448,0,0,0,2.7
8,0.0002,0.000133333333,3.73008,0.04,0,0,0,0,0,0,390,0,15692,0,0,0,3.0
9,0.00024,0.00016,4.44028,0.04,0,0,0,0,0,0,410,0,17936,0,0,0,3.3
10,0.00028,0.000186666667,5.17017,0.04,0,0,0,0,0,0,430,0,20176,0,0,0,3.5
11,0.00032,0.000213333333,5.88506,0.04,0,0,0,0,0,0,450,0,22416,0,0,0,3.8
12,0.00036,0.00024,6.57388,0.08,0,0,0,0,0,0,478,0,24656,0,0,0,4.1
13,0.00044,0.000293333333,7.90957,0.08,0,0,0,0,0,0,484,0,26896,0,0,0,4.5
14,0.00052,0.000346666667,9.20275,0.08,0,0,0,0,0,0,484,0,29136,0,0,0,4.9
15,0.0006,0.0004,10.4358,0.08,0,0,0,0,0,0,489,0,31376,0,0,0,5.2
16,0.00068,0.000453333333,11.6227,0.08,0,0,0,0,0,0,508,0,33616,0,0,0,5.7
17,0.00072,0.00048,12.1725,0.04,0,12,12,0,0,0,616,0,49452,12,0,0,6.7
18,0.00076,0.000506666667,12.7121,0.04,0,12,12,0,0,0,644,0,51692,12,0,0,7.0
19,0.0008,0.000533333333,13.2682,0.04,0,12,12,0,0,0,644,0,53932,12,0,0,7.2
20,0.00084,0.00056,13.8319,0.04,0,12,12,0,0,0,644,0,56172,12,0,0,7.5
21,0.00088,0.000586666667,14.4062,0.04,0,12,12,0,0,0,644,0,58412,12,0,0,7.8
22,0.00092,0.000613333333,14.9883,0.08,0,12,12,0,0,0,644,0,60652,12,0,0,8.0
23,0.001,0.000666666667,16.1505,0.08,0,12,12,0,0,0,644,0,62892,12,0,0,8.5
24,0.00108,0.00072,17.3134,0.08,0,12,12,0,0,0,647,0,65132,12,0,0,8.9
25,0.00116,0.000773333333,18.4656,0.08,0,12,12,0,0,0,647,0,67372,12,0,0,9.3
26,0.00124,0.000826666667,19.6106,0.08,0,12,12,0,0,0,648,0,69612,12,0,0,9.7
27,0.00132,0.00088,20.7528,0.08,0,12,12,0,0,0,654,0,71852,12,0,0,10.1
28,0.0014,0.000933333333,21.8872,0.16,0,12,12,0,0,0,655,0,74092,12,0,0,10.5
29,0.00148,0.000986666667,23.017,0.08,0,33,33,0,0,0,687,0,89892,84,0,0,12.0
30,0.00156,0.00104,24.1413,0.08,0,33,33,0,0,0,695,0,92132,84,0,0,12.5
