step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,1.36575,0.02,1,0,0,0,0,0,0,0,0,0,0,0,10.1
2,4e-05,2.66666667e-05,1.20647,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,11.0
3,6e-05,4e-05,1.55104,0.02,0,0,0,0,0,0,0,0,4482,0,0,0,11.7
4,8e-05,5.33333333e-05,1.91642,0.02,0,0,0,0,0,0,0,0,6722,0,0,0,12.2
5,0.0001,6.66666667e-05,2.25188,0.02,0,0,0,0,0,0,0,0,8962,0,0,0,12.7
6,0.00012,8e-05,2.57716,0.04,0,0,0,0,0,0,0,0,11202,0,0,0,13.6
7,0.00016,0.000106666667,3.20906,0.04,0,0,0,0,0,0,0,0,13442,0,0,0,14.9
8,0.0002,0.000133333333,3.83133,0.04,0,0,0,0,0,0,0,0,20202,0,0,0,21.1
9,0.00024,0.00016,4.48671,0.04,0,0,0,0,0,0,0,0,22442,0,0,0,21.9
10,0.00028,0.000186666667,5.09245,0.04,0,0,0,0,0,0,0,0,24682,0,0,0,23.2
11,0.00032,0.000213333333,5.71031,0.04,0,0,0,0,0,0,0,0,26922,0,0,0,24.3
12,0.00036,0.00024,6.31229,0.08,0,0,0,0,0,0,0,0,29162,0,0,0,25.4
13,0.00044,0.000293333333,7.50603,0.08,0,0,0,0,0,0,0,0,31402,0,0,0,28.0
14,0.00052,0.000346666667,8.68412,0.08,0,0,0,0,0,0,0,0,33642,0,0,0,31.4
15,0.0006,0.0004,9.84137,0.08,0,0,0,0,0,0,0,0,40402,0,0,0,40.7
16,0.00068,0.000453333333,11.3055,0.08,1,0,0,0,0,0,0,0,51682,0,0,0,59.5
17,0.00076,0.000506666667,12.1244,0.08,0,0,0,0,0,0,0,0,53922,0,0,0,64.1
18,0.00084,0.00056,13.2466,0.16,0,0,0,0,0,0,0,0,56162,0,0,0,67.8
19,0.001,0.000666666667,15.4648,0.16,0,0,0,0,0,0,0,0,62922,0,0,0,82.7
20,0.00116,0.000773333333,17.6255,0.16,0,0,0,0,0,0,0,0,69682,0,0,0,97.5
21,0.00132,0.00088,19.9832,0.16,1,0,0,0,0,0,0,0,80962,0,0,0,124.5
22,0.00148,0.000986666667,22.3672,0.16,1,0,0,0,0,0,0,0,92260,0,0,0,155.3
23,0.00164,0.00109333333,23.9427,0.16,1,0,0,0,0,0,0,0,103558,0,0,0,184.3
24,0.0018,0.0012,26.1115,0.32,1,0,0,0,0,0,0,0,114844,0,0,0,214.9
25,0.00212,0.00141333333,30.0185,0.32,1,0,0,0,0,0,0,0,126124,0,0,0,263.3
26,0.00244,0.00162666667,33.9966,0.32,0,0,0,0,0,0,0,0,132886,0,0,0,292.0
27,0.00276,0.00184,38.1256,0.32,1,0,0,0,0,0,0,0,144166,0,0,0,334.4
28,0.00308,0.00205333333,41.9568,0.32,1,0,0,0,0,0,0,0,155452,0,0,0,373.8
29,0.0034,0.00226666667,45.8971,0.32,1,0,0,0,0,0,0,0,166738,0,0,0,412.9
