step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,1.51386,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2,4e-05,2.66666667e-05,2.83862,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,1.4
3,6e-05,4e-05,4.02606,0.02,0,0,0,0,0,0,22,0,4480,0,0,0,1.5
4,8e-05,5.33333333e-05,4.77452,0.02,0,0,0,0,0,0,42,0,6720,0,0,0,1.7
5,0.0001,6.66666667e-05,5.28204,0.02,0,0,0,0,0,0,67,0,8960,0,0,0,1.8
6,0.00012,8e-05,5.73759,0.04,0,0,0,0,0,0,83,0,11200,0,0,0,2.0
7,0.00016,0.000106666667,6.83404,0.04,0,0,0,0,0,0,100,0,13440,0,0,0,2.2
8,0.0002,0.000133333333,8.13094,0.04,0,0,0,0,0,0,109,0,15684,0,0,0,2.4
9,0.00024,0.00016,9.60409,0.04,0,0,0,0,0,0,121,0,17928,0,0,0,2.5
10,0.00028,0.000186666667,11.1136,0.04,0,0,0,0,0,0,133,0,20172,0,0,0,2.7
11,0.00032,0.000213333333,12.5748,0.04,0,0,0,0,0,0,153,0,22412,0,0,0,2.9
12,0.00036,0.00024,13.968,0.08,0,0,0,0,0,0,177,0,24652,0,0,0,3.1
13,0.00044,0.000293333333,16.6598,0.08,0,0,0,0,0,0,197,0,26892,0,0,0,3.4
14,0.00052,0.000346666667,19.1911,0.08,0,0,0,0,0,0,221,0,29132,0,0,0,3.6
15,0.0006,0.0004,21.6391,0.08,0,0,0,0,0,0,240,0,31376,0,0,0,3.9
16,0.00068,0.000453333333,24.0169,0.08,0,0,0,0,0,0,268,0,33620,0,0,0,4.2
17,0.00076,0.000506666667,26.3751,0.08,0,0,0,0,0,0,300,0,35864,0,0,0,4.4
18,0.00084,0.00056,28.7227,0.16,0,0,0,0,0,0,320,0,38104,0,0,0,4.7
