step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.6
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,1.9
3,6e-05,4e-05,2.00616,0.02,0,0,0,0,0,0,0,0,4480,0,0,0,2.1
4,8e-05,5.33333333e-05,2.12822,0.02,0,0,0,0,0,0,0,0,6720,0,0,0,2.3
5,0.0001,6.66666667e-05,2.26795,0.02,0,0,0,0,0,0,0,0,8960,0,0,0,2.5
6,0.00012,8e-05,2.48063,0.04,0,0,0,0,0,0,0,0,11212,0,0,0,2.8
7,0.00016,0.000106666667,3.17374,0.04,0,0,0,0,0,0,0,0,13452,20,0,0,3.0
8,0.0002,0.000133333333,3.77842,0.04,0,0,0,0,0,0,0,0,15696,20,0,0,3.3
9,0.00024,0.00016,4.55345,0.04,0,0,0,0,0,0,0,0,17938,20,0,0,3.5
10,0.00026,0.000173333333,4.90464,0.02,0,12,12,0,0,0,0,0,33746,32,0,0,4.3
11,0.00028,0.000186666667,5.25551,0.02,0,12,12,0,0,0,0,0,35986,32,0,0,4.4
12,0.0003,0.0002,5.59952,0.02,0,12,12,0,0,0,0,0,38226,32,0,0,4.6
13,0.00032,0.000213333333,5.91915,0.02,0,12,12,0,0,0,0,0,40466,32,0,0,4.8
14,0.00034,0.000226666667,6.22228,0.02,0,12,12,0,0,0,0,0,42706,32,0,0,5.0
15,0.00036,0.00024,6.52171,0.04,0,12,12,0,0,0,0,0,44946,32,0,0,5.2
16,0.00038,0.000253333333,6.82491,0.02,0,24,24,0,0,0,0,0,60746,44,0,0,6.1
17,0.0004,0.000266666667,7.1273,0.02,0,24,24,0,0,0,0,0,62994,44,0,0,6.3
18,0.00042,0.00028,7.43703,0.02,0,24,24,0,0,0,0,0,65242,44,0,0,6.5
19,0.00044,0.000293333333,7.75294,0.02,0,24,24,0,0,0,0,0,67482,44,0,0,6.7
20,0.00046,0.000306666667,8.07119,0.02,0,24,24,0,0,0,0,0,69722,44,0,0,6.9
21,0.00048,0.00032,8.39149,0.04,0,24,24,0,0,0,0,0,71962,44,0,0,7.1
22,0.0005,0.000333333333,8.70896,0.02,0,36,36,0,0,0,0,0,87762,56,0,0,7.9
23,0.00052,0.000346666667,9.02274,0.02,0,36,36,0,0,0,0,0,90002,56,0,0,8.1
24,0.00054,0.00036,9.33741,0.02,0,36,36,0,0,0,0,0,92242,56,0,0,8.3
25,0.00056,0.000373333333,9.64722,0.02,0,36,36,0,0,0,0,0,94482,56,0,0,8.4
