step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.4
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,1.6
3,6e-05,4e-05,2.00616,0.02,0,0,0,0,0,0,0,0,4480,0,0,0,1.8
4,8e-05,5.33333333e-05,2.12822,0.02,0,0,0,0,0,0,0,0,6720,0,0,0,2.0
5,0.0001,6.66666667e-05,2.26795,0.02,0,0,0,0,0,0,0,0,8960,0,0,0,2.3
6,0.00012,8e-05,2.48063,0.04,0,0,0,0,0,0,0,0,11212,0,0,0,2.5
7,0.00014,9.33333333e-05,2.78043,0.02,0,108,108,0,0,0,0,0,27016,0,0,0,2.9
8,0.00016,0.000106666667,3.1305,0.02,0,108,108,0,0,0,0,0,29260,0,0,0,3.1
9,0.00018,0.00012,3.51209,0.02,0,108,108,0,0,0,0,0,31504,0,0,0,3.2
10,0.0002,0.000133333333,3.90344,0.02,0,108,108,0,0,0,0,0,33744,0,0,0,3.5
11,0.00022,0.000146666667,4.28261,0.02,0,108,108,0,0,0,0,0,35984,0,0,0,3.7
12,0.00024,0.00016,4.62962,0.04,0,108,108,0,0,0,0,0,38224,0,0,0,3.9
13,0.00028,0.000186666667,5.31774,0.04,0,111,111,0,0,0,0,0,40464,0,0,0,4.2
14,0.00032,0.000213333333,5.98279,0.04,0,115,115,0,0,0,0,0,42704,0,0,0,4.4
15,0.00036,0.00024,6.62546,0.04,0,119,119,0,0,0,0,0,44944,0,0,0,4.7
16,0.0004,0.000266666667,7.24918,0.04,0,123,123,0,0,0,0,0,47184,0,0,0,4.9
17,0.00044,0.000293333333,7.86037,0.04,0,127,127,0,0,0,0,0,49424,0,0,0,5.2
18,0.00048,0.00032,8.47194,0.08,0,131,131,0,0,0,0,0,51664,0,0,0,5.5
19,0.00052,0.000346666667,9.08024,0.04,0,317,317,0,0,0,0,0,67464,0,0,0,6.1
20,0.00056,0.000373333333,9.68707,0.04,0,324,324,0,0,0,0,0,69704,0,0,0,6.3
21,0.0006,0.0004,10.3002,0.04,0,328,328,0,0,0,0,0,71944,0,0,0,6.6
22,0.00064,0.000426666667,10.906,0.04,0,332,332,0,0,0,0,0,74184,0,0,0,6.8
23,0.00068,0.000453333333,11.5192,0.04,0,336,336,0,0,0,0,0,76424,0,0,0,7.1
24,0.00072,0.00048,12.1319,0.08,0,340,340,0,0,0,0,0,78664,0,0,0,7.3
