step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,1.7
3,6e-05,4e-05,2.01368,0.02,0,0,0,0,0,0,152,0,4480,0,0,0,1.9
4,8e-05,5.33333333e-05,2.13336,0.02,0,0,0,0,0,0,238,0,6720,0,0,0,2.1
5,0.0001,6.66666667e-05,2.28053,0.02,0,0,0,0,0,0,299,0,8960,0,0,0,2.3
6,0.00012,8e-05,2.50471,0.02,0,0,0,0,0,0,334,0,11208,0,0,0,2.5
7,0.00014,9.33333333e-05,2.8061,0.02,0,0,0,0,0,0,378,0,13452,0,0,0,2.7
8,0.00016,0.000106666667,3.15978,0.02,0,0,0,0,0,0,394,0,15696,0,0,0,2.9
9,0.00018,0.00012,3.52727,0.02,0,0,0,0,0,0,414,0,17940,0,0,0,3.1
10,0.0002,0.000133333333,3.89668,0.02,0,0,0,0,0,0,442,0,20180,0,0,0,3.3
11,0.00022,0.000146666667,4.25884,0.02,0,0,0,0,0,0,468,0,22420,0,0,0,3.5
12,0.00024,0.00016,4.61743,0.02,0,0,0,0,0,0,492,0,24660,0,0,0,3.7
13,0.00026,0.000173333333,4.9495,0.02,0,0,0,0,0,0,520,0,26900,0,0,0,3.9
14,0.00028,0.000186666667,5.27886,0.02,0,0,0,0,0,0,544,0,29140,0,0,0,4.0
15,0.0003,0.0002,5.59719,0.02,0,0,0,0,0,0,558,0,31380,0,0,0,4.2
16,0.00032,0.000213333333,5.91346,0.02,0,0,0,0,0,0,559,0,33620,0,0,0,4.4
17,0.00034,0.000226666667,6.23212,0.02,0,0,0,0,0,0,559,0,35860,0,0,0,4.6
18,0.00036,0.00024,6.54755,0.02,0,0,0,0,0,0,559,0,38100,0,0,0,4.8
19,0.00038,0.000253333333,6.8602,0.02,0,0,0,0,0,0,559,0,40340,0,0,0,5.0
20,0.0004,0.000266666667,7.17636,0.02,0,0,0,0,0,0,559,0,42580,0,0,0,5.1
21,0.00042,0.00028,7.49132,0.02,0,0,0,0,0,0,559,0,44820,0,0,0,5.3
22,0.00044,0.000293333333,7.80384,0.02,0,0,0,0,0,0,559,0,47060,0,0,0,5.5
23,0.00046,0.000306666667,8.11767,0.02,0,0,0,0,0,0,560,0,49300,0,0,0,5.7
24,0.00048,0.00032,8.4325,0.02,0,0,0,0,0,0,561,0,51540,0,0,0,5.9
25,0.0005,0.000333333333,8.74698,0.02,0,0,0,0,0,0,561,0,53780,0,0,0,6.0
26,0.00052,0.000346666667,9.0593,0.02,0,0,0,0,0,0,570,0,56020,0,0,0,6.2
27,0.00054,0.00036,9.37294,0.02,0,0,0,0,0,0,579,0,58260,0,0,0,6.4
28,0.00056,0.000373333333,9.68282,0.02,0,0,0,0,0,0,583,0,60500,0,0,0,6.7
29,0.00058,0.000386666667,9.99108,0.02,0,0,0,0,0,0,593,0,62740,0,0,0,6.9
30,0.0006,0.0004,10.2988,0.02,0,0,0,0,0,0,609,0,64980,0,0,0,7.1
