step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,8e-05,5.33333333e-05,8.8038,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2,9e-05,6e-05,5.08802,0.01,0,144,144,0,0,0,0,0,42920,0,0,0,2.6
3,0.0001,6.66666667e-05,4.18041,0.01,0,144,144,0,0,0,516,0,45164,0,0,0,2.8
4,0.00011,7.33333333e-05,3.71749,0.01,0,144,144,0,0,0,840,0,47404,0,0,0,3.0
5,0.00012,8e-05,3.65881,0.01,0,144,144,0,0,0,1108,0,49644,0,0,0,3.1
6,0.00013,8.66666667e-05,3.8545,0.01,0,144,144,0,0,0,1295,0,51884,0,0,0,3.2
7,0.00014,9.33333333e-05,4.21261,0.01,0,144,144,0,0,0,1475,0,54124,0,0,0,3.4
8,0.00015,0.0001,4.61762,0.01,0,144,144,0,0,0,1866,0,56364,0,0,0,3.5
9,0.00016,0.000106666667,5.0093,0.01,0,144,144,0,0,0,2115,0,58604,0,0,0,3.6
10,0.00017,0.000113333333,5.36142,0.01,0,144,144,0,0,0,2141,0,60844,0,0,0,3.7
11,0.00018,0.00012,5.68358,0.01,0,144,144,0,0,0,2161,0,63084,0,0,0,3.8
12,0.00019,0.000126666667,5.94312,0.01,0,144,144,0,0,0,2165,0,65324,0,0,0,3.9
13,0.0002,0.000133333333,6.15997,0.01,0,144,144,0,0,0,2173,0,67564,0,0,0,4.0
14,0.00021,0.00014,6.35016,0.01,0,144,144,0,0,0,2179,0,69804,0,0,0,4.1
15,0.00022,0.000146666667,6.5382,0.01,0,144,144,0,0,0,2183,0,72044,0,0,0,4.3
16,0.00023,0.000153333333,6.73066,0.01,0,144,144,0,0,0,2183,0,74286,0,0,0,4.4
17,0.00024,0.00016,6.93114,0.01,0,144,144,0,0,0,2183,0,76526,0,0,0,4.5
18,0.00025,0.000166666667,7.14995,0.01,0,144,144,0,0,0,2183,0,78766,0,0,0,4.6
19,0.00026,0.000173333333,7.37871,0.01,0,144,144,0,0,0,2186,0,81006,0,0,0,4.8
20,0.00027,0.00018,7.61337,0.01,0,144,144,0,0,0,2186,0,83246,0,0,0,4.9
21,0.00028,0.000186666667,7.84757,0.01,0,144,144,0,0,0,2190,0,85486,0,0,0,5.0
22,0.00029,0.000193333333,8.07912,0.01,0,144,144,0,0,0,2196,0,87726,0,0,0,5.1
23,0.0003,0.0002,8.30158,0.01,0,144,144,0,0,0,2202,0,89966,0,0,0,5.2
24,0.00031,0.000206666667,8.52105,0.01,0,144,144,0,0,0,2206,0,92206,0,0,0,5.4
25,0.00032,0.000213333333,8.73503,0.01,0,144,144,0,0,0,2208,0,94446,0,0,0,5.5
26,0.00033,0.00022,8.94657,0.01,0,144,144,0,0,0,2210,0,96686,0,0,0,5.6
27,0.00034,0.000226666667,9.15534,0.01,0,144,144,0,0,0,2213,0,98926,0,0,0,5.7
28,0.00035,0.000233333333,9.36656,0.01,0,144,144,0,0,0,2213,0,101166,0,0,0,5.8
29,0.00036,0.00024,9.57404,0.01,0,144,144,0,0,0,2213,0,103406,0,0,0,5.9
30,0.00037,0.000246666667,9.78229,0.01,0,144,144,0,0,0,2216,0,105646,0,0,0,6.1
31,0.00038,0.000253333333,9.99227,0.01,0,144,144,0,0,0,2218,0,107886,0,0,0,6.2
32,0.00039,0.00026,10.199,0.01,0,144,144,0,0,0,2222,0,110126,0,0,0,6.3
33,0.0004,0.000266666667,10.41,0.01,0,144,144,0,0,0,2227,0,112366,0,0,0,6.4
34,0.00041,0.000273333333,10.6161,0.01,0,144,144,0,0,0,2235,0,114606,0,0,0,6.5
35,0.00042,0.00028,10.8233,0.01,0,144,144,0,0,0,2248,0,116846,0,0,0,6.6
36,0.00043,0.000286666667,11.0279,0.01,0,144,144,0,0,0,2256,0,119086,0,0,0,6.8
37,0.00044,0.000293333333,11.2342,0.01,0,144,144,0,0,0,2265,0,121326,0,0,0,6.9
38,0.00045,0.0003,11.4358,0.01,0,144,144,0,0,0,2275,0,123566,0,0,0,7.0
39,0.00046,0.000306666667,11.6383,0.01,0,144,144,0,0,0,2290,0,125806,0,0,0,7.1
40,0.00047,0.000313333333,11.8392,0.01,0,144,144,0,0,0,2303,0,128046,0,0,0,7.2
41,0.00048,0.00032,12.0417,0.01,0,144,144,0,0,0,2319,0,130286,0,0,0,7.3
42,0.00049,0.000326666667,12.2414,0.01,0,144,144,0,0,0,2339,0,132526,0,0,0,7.5
