step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.4
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,2240,0,0,0,1.6
3,6e-05,4e-05,2.01368,0.02,0,0,0,0,0,0,152,0,4480,0,0,0,1.8
4,8e-05,5.33333333e-05,2.13336,0.02,0,0,0,0,0,0,238,0,6720,0,0,0,1.9
5,0.0001,6.66666667e-05,2.28053,0.02,0,0,0,0,0,0,299,0,8960,0,0,0,2.2
6,0.00012,8e-05,2.50471,0.025,0,0,0,0,0,0,334,0,11208,0,0,0,2.4
7,0.000145,9.66666667e-05,2.87192,0.025,0,0,0,0,0,0,378,0,13448,0,0,0,2.5
8,0.00017,0.000113333333,3.30418,0.025,0,0,0,0,0,0,394,0,15692,0,0,0,2.7
9,0.000195,0.00013,3.7549,0.025,0,0,0,0,0,0,412,0,17936,0,0,0,2.9
10,0.00022,0.000146666667,4.22074,0.025,0,0,0,0,0,0,440,0,20176,0,0,0,3.1
11,0.000245,0.000163333333,4.68314,0.025,0,0,0,0,0,0,460,0,22416,0,0,0,3.3
12,0.00027,0.00018,5.10792,0.03125,0,0,0,0,0,0,480,0,24656,0,0,0,3.5
13,0.00030125,0.000200833333,5.62755,0.03125,0,0,0,0,0,0,507,0,26896,0,0,0,3.7
14,0.0003325,0.000221666667,6.13842,0.03125,0,0,0,0,0,0,525,0,29136,0,0,0,3.9
15,0.00036375,0.0002425,6.64194,0.03125,0,0,0,0,0,0,531,0,31376,0,0,0,4.1
16,0.000395,0.000263333333,7.13112,0.03125,0,0,0,0,0,0,535,0,33616,0,0,0,4.3
17,0.00042625,0.000284166667,7.62082,0.03125,0,0,0,0,0,0,535,0,35856,0,0,0,4.5
18,0.0004575,0.000305,8.08233,0.0390625,0,0,0,0,0,0,536,0,38096,4,0,0,4.8
19,0.00047703125,0.000318020833,8.40062,0.0195312,0,10,10,0,0,0,540,0,53904,16,0,0,5.5
20,0.0004965625,0.000331041667,8.69675,0.0195312,0,10,10,0,0,0,541,0,56144,16,0,0,5.7
21,0.00051609375,0.0003440625,8.99821,0.0195312,0,10,10,0,0,0,546,0,58384,16,0,0,5.8
22,0.000535625,0.000357083333,9.30182,0.0195312,0,10,10,0,0,0,555,0,60624,16,0,0,6.0
23,0.00055515625,0.000370104167,9.59886,0.0195312,0,10,10,0,0,0,559,0,62864,16,0,0,6.2
