step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.1
3,6e-05,4e-05,2.01368,0.02,0,0,0,0,0,0,152,0,0,0,0,0,1.2
4,8e-05,5.33333333e-05,2.13336,0.02,0,0,0,0,0,0,238,0,0,0,0,0,1.3
5,0.0001,6.66666667e-05,2.28053,0.02,0,0,0,0,0,0,299,0,0,0,0,0,1.4
6,0.00012,8e-05,2.50471,0.04,0,0,0,0,0,0,334,0,0,0,0,0,1.5
7,0.00016,0.000106666667,3.06895,0.04,0,0,0,0,0,0,378,0,0,0,0,0,1.6
8,0.0002,0.000133333333,3.73008,0.04,0,0,0,0,0,0,390,0,0,0,0,0,1.7
9,0.00024,0.00016,4.44028,0.04,0,0,0,0,0,0,410,0,0,0,0,0,1.8
10,0.00028,0.000186666667,5.17017,0.04,0,0,0,0,0,0,430,0,0,0,0,0,1.9
11,0.00032,0.000213333333,5.88506,0.04,0,0,0,0,0,0,450,0,0,0,0,0,2.0
12,0.00036,0.00024,6.57388,0.08,0,0,0,0,0,0,478,0,0,0,0,0,2.1
13,0.00044,0.000293333333,7.90957,0.08,0,0,0,0,0,0,484,0,0,0,0,0,2.3
14,0.00052,0.000346666667,9.20275,0.08,0,0,0,0,0,0,484,0,0,0,0,0,2.4
15,0.0006,0.0004,10.4358,0.08,0,0,0,0,0,0,489,0,0,0,0,0,2.6
16,0.00068,0.000453333333,11.6227,0.08,0,0,0,0,0,0,508,0,0,0,0,0,2.7
17,0.00076,0.000506666667,12.7764,0.08,0,0,0,0,0,0,535,0,0,0,0,0,2.9
18,0.00084,0.00056,13.9168,0.16,0,0,0,0,0,0,551,0,0,0,0,0,3.0
19,0.001,0.000666666667,16.2235,0.16,0,0,0,0,0,0,557,0,0,0,0,0,3.2
20,0.00116,0.000773333333,18.53,0.16,0,0,0,0,0,0,561,0,0,0,0,0,3.5
21,0.00132,0.00088,20.8064,0.16,0,0,0,0,0,0,568,0,0,0,0,0,3.7
22,0.00148,0.000986666667,23.0308,0.16,0,0,0,0,0,0,575,0,0,0,0,0,4.0
23,0.00164,0.00109333333,25.2288,0.16,0,0,0,0,0,0,584,0,0,0,0,0,4.2
24,0.0018,0.0012,27.4075,0.32,0,0,0,0,0,0,606,0,0,0,0,0,4.4
25,0.00212,0.00141333333,31.8113,0.32,0,0,0,0,0,0,633,0,0,0,0,0,4.8
26,0.00244,0.00162666667,36.1982,0.32,0,0,0,0,0,0,664,0,0,0,0,0,5.2
27,0.00276,0.00184,40.5283,0.32,0,0,0,0,0,0,703,0,0,0,0,0,5.5
28,0.00308,0.00205333333,44.7569,0.32,0,0,0,0,0,0,735,0,0,0,0,0,5.9
29,0.0034,0.00226666667,48.9223,0.32,0,0,0,0,0,0,767,0,0,0,0,0,6.3
30,0.00372,0.00248,53.0275,0.64,0,0,0,0,0,0,787,0,0,0,0,0,6.6
31,0.00436,0.00290666667,61.3121,0.64,0,0,0,0,0,0,807,0,0,0,0,0,7.3
32,0.005,0.00333333333,69.6623,0.64,0,0,0,0,0,0,827,0,0,0,0,0,7.9
33,0.00564,0.00376,77.8703,0.64,0,0,0,0,0,0,847,0,0,0,0,0,8.5
34,0.00628,0.00418666667,85.857,0.64,0,0,0,0,0,0,879,0,0,0,0,0,9.1
35,0.00692,0.00461333333,93.6923,0.64,0,0,0,0,0,0,917,0,0,0,0,0,9.7
36,0.00756,0.00504,101.45,1,0,0,0,0,0,0,962,0,0,0,0,0,10.3
37,0.00856,0.00570666667,113.619,1,0,0,0,0,0,0,1006,0,0,0,0,0,11.2
38,0.00956,0.00637333333,125.844,1,0,0,0,0,0,0,1054,0,0,0,0,0,12.1
39,0.01056,0.00704,138.039,1,0,0,0,0,0,0,1103,0,0,0,0,0,12.9
40,0.01156,0.00770666667,150.173,1,0,0,0,0,0,0,1151,0,0,0,0,0,13.8
41,0.01256,0.00837333333,161.852,1,0,0,0,0,0,0,1197,0,0,0,0,0,14.6
42,0.01356,0.00904,173.517,1,0,0,0,0,0,0,1240,0,0,0,0,0,15.4
