step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
1,2e-05,1.33333333e-05,2.00413,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,4e-05,2.66666667e-05,1.79038,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.1
3,6e-05,4e-05,2.01368,0.02,0,0,0,0,0,0,152,0,0,0,0,0,1.2
4,8e-05,5.33333333e-05,2.13336,0.02,0,0,0,0,0,0,238,0,0,0,0,0,1.3
5,0.0001,6.66666667e-05,2.28053,0.02,0,0,0,0,0,0,299,0,0,0,0,0,1.4
6,0.00012,8e-05,2.50471,0.02,0,0,0,0,0,0,334,0,0,0,0,0,1.5
7,0.00014,9.33333333e-05,2.8061,0.02,0,0,0,0,0,0,378,0,0,0,0,0,1.6
8,0.00016,0.000106666667,3.15978,0.02,0,0,0,0,0,0,394,0,0,0,0,0,1.7
9,0.00018,0.00012,3.52727,0.02,0,0,0,0,0,0,414,0,0,0,0,0,1.8
10,0.0002,0.000133333333,3.89668,0.02,0,0,0,0,0,0,442,0,0,0,0,0,1.8
11,0.00022,0.000146666667,4.25884,0.02,0,0,0,0,0,0,468,0,0,0,0,0,1.9
12,0.00024,0.00016,4.61743,0.02,0,0,0,0,0,0,492,0,0,0,0,0,2.0
13,0.00026,0.000173333333,4.9495,0.02,0,0,0,0,0,0,520,0,0,0,0,0,2.1
14,0.00028,0.000186666667,5.27886,0.02,0,0,0,0,0,0,544,0,0,0,0,0,2.2
15,0.0003,0.0002,5.59719,0.02,0,0,0,0,0,0,558,0,0,0,0,0,2.3
16,0.00032,0.000213333333,5.91346,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.4
17,0.00034,0.000226666667,6.23212,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.4
18,0.00036,0.00024,6.54755,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.5
19,0.00038,0.000253333333,6.8602,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.6
20,0.0004,0.000266666667,7.17636,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.7
21,0.00042,0.00028,7.49132,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.8
22,0.00044,0.000293333333,7.80384,0.02,0,0,0,0,0,0,559,0,0,0,0,0,2.9
23,0.00046,0.000306666667,8.11767,0.02,0,0,0,0,0,0,560,0,0,0,0,0,2.9
24,0.00048,0.00032,8.4325,0.02,0,0,0,0,0,0,561,0,0,0,0,0,3.0
25,0.0005,0.000333333333,8.74698,0.02,0,0,0,0,0,0,561,0,0,0,0,0,3.1
26,0.00052,0.000346666667,9.0593,0.02,0,0,0,0,0,0,570,0,0,0,0,0,3.2
27,0.00054,0.00036,9.37294,0.02,0,0,0,0,0,0,579,0,0,0,0,0,3.3
28,0.00056,0.000373333333,9.68282,0.02,0,0,0,0,0,0,583,0,0,0,0,0,3.4
29,0.00058,0.000386666667,9.99108,0.02,0,0,0,0,0,0,593,0,0,0,0,0,3.4
30,0.0006,0.0004,10.2988,0.02,0,0,0,0,0,0,609,0,0,0,0,0,3.5
31,0.00062,0.000413333333,10.605,0.02,0,0,0,0,0,0,618,0,0,0,0,0,3.6
32,0.00064,0.000426666667,10.9129,0.02,0,0,0,0,0,0,627,0,0,0,0,0,3.7
33,0.00066,0.00044,11.217,0.02,0,0,0,0,0,0,639,0,0,0,0,0,3.8
34,0.00068,0.000453333333,11.5146,0.02,0,0,0,0,0,0,651,0,0,0,0,0,3.9
35,0.0007,0.000466666667,11.8155,0.02,0,0,0,0,0,0,659,0,0,0,0,0,4.0
36,0.00072,0.00048,12.1133,0.02,0,0,0,0,0,0,667,0,0,0,0,0,4.0
37,0.00074,0.000493333333,12.4125,0.02,0,0,0,0,0,0,675,0,0,0,0,0,4.1
38,0.00076,0.000506666667,12.7108,0.02,0,0,0,0,0,0,683,0,0,0,0,0,4.2
39,0.00078,0.00052,13.0084,0.02,0,0,0,0,0,0,691,0,0,0,0,0,4.3
40,0.0008,0.000533333333,13.3051,0.02,0,0,0,0,0,0,699,0,0,0,0,0,4.4
41,0.00082,0.000546666667,13.6023,0.02,0,0,0,0,0,0,707,0,0,0,0,0,4.5
42,0.00084,0.00056,13.8989,0.02,0,0,0,0,0,0,715,0,0,0,0,0,4.5
