ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
1,1,-9.95139,-16.1423,9.20139,106.538,91.0408,0.854537,-0.10889,1.94833,0.711582,1.2009,0,0,0,1
1,2,-9.95139,-16.1423,9.20139,106.538,90.9738,0.853907,-0.10889,1.94833,0.711582,1.20001,0,0,0,1
1,3,-9.95139,-16.1423,9.20139,106.538,91.0408,0.854537,-0.10889,1.94833,0.711582,1.2009,0,0,0,1
1,4,-9.95139,-16.1423,9.20139,106.538,90.9738,0.853907,-0.10889,1.94833,0.711582,1.20001,0,0,0,1
1,5,-9.95139,-16.1423,9.20139,106.538,91.0751,0.854858,-0.10889,1.94833,0.711582,1.20135,0,0,0,1
1,6,-9.95139,-16.1423,9.20139,106.538,91.008,0.854229,-0.10889,1.94833,0.711582,1.20046,0,0,0,1
1,7,-9.95139,-16.1423,9.20139,106.538,91.0751,0.854858,-0.10889,1.94833,0.711582,1.20135,0,0,0,1
1,8,-9.95139,-16.1423,9.20139,106.538,91.008,0.854229,-0.10889,1.94833,0.711582,1.20046,0,0,0,1
2,1,-9.95139,-12.839,9.20139,85.8641,73.0923,0.851255,-0.111266,1.96459,0.701929,1.21274,0.00017671,0.000175893,1.69735e-05,1
2,2,-9.95139,-12.839,9.20139,85.8609,73.1085,0.851476,-0.111266,1.9646,0.701928,1.21305,0.000554674,0.000552227,5.20371e-05,1
2,3,-9.95139,-12.839,9.20139,85.8641,73.0923,0.851255,-0.111266,1.96459,0.701929,1.21274,0.00017671,0.000175893,1.69735e-05,1
2,4,-9.95139,-12.839,9.20139,85.8609,73.1085,0.851476,-0.111266,1.9646,0.701928,1.21305,0.000554674,0.000552227,5.20371e-05,1
2,5,-9.95139,-12.839,9.20139,85.8655,73.0578,0.85084,-0.111266,1.96459,0.70193,1.21214,1.61337e-05,1.6063e-05,1.50874e-06,1
2,6,-9.95139,-12.839,9.20139,85.8621,73.0775,0.851103,-0.111266,1.9646,0.701928,1.21252,0.000424165,0.000422386,3.88068e-05,1
2,7,-9.95139,-12.839,9.20139,85.8655,73.0578,0.85084,-0.111266,1.96459,0.70193,1.21214,1.61337e-05,1.6063e-05,1.50874e-06,1
2,8,-9.95139,-12.839,9.20139,85.8621,73.0775,0.851103,-0.111266,1.9646,0.701928,1.21252,0.000424165,0.000422386,3.88068e-05,1
3,1,-9.95139,-10.2681,9.20139,69.8849,59.0576,0.845069,-0.113345,1.97894,0.693586,1.21841,2.42359e-05,2.41255e-05,2.31092e-06,1
3,2,-9.95139,-10.2681,9.20139,69.8847,58.9925,0.84414,-0.113345,1.97894,0.693586,1.21707,5.66084e-05,5.63554e-05,5.34536e-06,1
3,3,-9.95139,-10.2681,9.20139,69.8849,59.0576,0.845069,-0.113345,1.97894,0.693586,1.21841,2.42359e-05,2.41255e-05,2.31092e-06,1
3,4,-9.95139,-10.2681,9.20139,69.8847,58.9925,0.84414,-0.113345,1.97894,0.693586,1.21707,5.66084e-05,5.63554e-05,5.34536e-06,1
3,5,-9.95139,-10.2681,9.20139,69.885,59.1366,0.846199,-0.113345,1.97894,0.693586,1.22003,2.02048e-05,2.01242e-05,1.80305e-06,1
3,6,-9.95139,-10.2681,9.20139,69.8848,59.0706,0.845258,-0.113345,1.97894,0.693586,1.21868,5.11311e-05,5.09232e-05,4.60611e-06,1
3,7,-9.95139,-10.2681,9.20139,69.885,59.1366,0.846199,-0.113345,1.97894,0.693586,1.22003,2.02048e-05,2.01242e-05,1.80305e-06,1
3,8,-9.95139,-10.2681,9.20139,69.8848,59.0706,0.845258,-0.113345,1.97894,0.693586,1.21868,5.11311e-05,5.09232e-05,4.60611e-06,1
4,1,-9.95139,-8.26731,9.20139,57.3561,48.0689,0.838078,-0.11518,1.9917,0.686306,1.22114,0.000217648,0.00021671,2.01902e-05,1
4,2,-9.95139,-8.26731,9.20139,57.3555,47.9951,0.836799,-0.11518,1.9917,0.686306,1.21928,0.000284596,0.000283352,2.6587e-05,1
4,3,-9.95139,-8.26731,9.20139,57.3561,48.0689,0.838078,-0.11518,1.9917,0.686306,1.22114,0.000217648,0.00021671,2.01902e-05,1
4,4,-9.95139,-8.26731,9.20139,57.3555,47.9951,0.836799,-0.11518,1.9917,0.686306,1.21928,0.000284596,0.000283352,2.6587e-05,1
4,5,-9.95139,-8.26731,9.20139,57.3558,48.0483,0.837725,-0.11518,1.9917,0.686306,1.22063,0.000216445,0.00021557,1.94337e-05,1
4,6,-9.95139,-8.26731,9.20139,57.3552,47.9755,0.836463,-0.115181,1.9917,0.686305,1.21879,0.000286915,0.000285738,2.59614e-05,1
4,7,-9.95139,-8.26731,9.20139,57.3558,48.0483,0.837725,-0.11518,1.9917,0.686306,1.22063,0.000216445,0.00021557,1.94337e-05,1
4,8,-9.95139,-8.26731,9.20139,57.3552,47.9755,0.836463,-0.115181,1.9917,0.686305,1.21879,0.000286915,0.000285738,2.59614e-05,1
5,1,-9.95139,-6.71019,9.20139,47.6073,39.4299,0.828232,-0.116777,2.00286,0.680033,1.21793,0.000531503,0.000529245,4.89484e-05,1
5,2,-9.95139,-6.71019,9.20139,47.6068,39.3912,0.827429,-0.116778,2.00286,0.680032,1.21675,0.000560189,0.000557801,5.16661e-05,1
5,3,-9.95139,-6.71019,9.20139,47.6073,39.4299,0.828232,-0.116777,2.00286,0.680033,1.21793,0.000531503,0.000529245,4.89484e-05,1
5,4,-9.95139,-6.71019,9.20139,47.6068,39.3912,0.827429,-0.116778,2.00286,0.680032,1.21675,0.000560189,0.000557801,5.16661e-05,1
5,5,-9.95139,-6.71019,9.20139,47.6079,39.529,0.830304,-0.116777,2.00286,0.680033,1.22098,0.000511042,0.000508888,4.68741e-05,1
5,6,-9.95139,-6.71019,9.20139,47.6073,39.4882,0.829456,-0.116777,2.00286,0.680033,1.21973,0.000563228,0.000560909,5.10567e-05,1
5,7,-9.95139,-6.71019,9.20139,47.6079,39.529,0.830304,-0.116777,2.00286,0.680033,1.22098,0.000511042,0.000508888,4.68741e-05,1
5,8,-9.95139,-6.71019,9.20139,47.6073,39.4882,0.829456,-0.116777,2.00286,0.680033,1.21973,0.000563228,0.000560909,5.10567e-05,1
6,1,-9.95139,-5.49834,9.20139,39.9525,32.8219,0.821522,-0.11817,2.01264,0.67461,1.21777,0.000681714,0.000678897,6.19106e-05,1
6,2,-9.95139,-5.49834,9.20139,39.9521,32.8033,0.821066,-0.11817,2.01264,0.67461,1.2171,0.0006715,0.00066999,4.50066e-05,1
6,3,-9.95139,-5.49834,9.20139,39.9525,32.8219,0.821522,-0.11817,2.01264,0.67461,1.21777,0.000681714,0.000678897,6.19106e-05,1
6,4,-9.95139,-5.49834,9.20139,39.9521,32.8033,0.821066,-0.11817,2.01264,0.67461,1.2171,0.0006715,0.00066999,4.50066e-05,1
6,5,-9.95139,-5.49834,9.20139,39.953,32.8863,0.823124,-0.11817,2.01264,0.67461,1.22015,0.000739484,0.000736428,6.71589e-05,1
6,6,-9.95139,-5.49834,9.20139,39.9526,32.8669,0.822646,-0.11817,2.01264,0.67461,1.21944,0.000754994,0.000751912,6.81549e-05,1
6,7,-9.95139,-5.49834,9.20139,39.953,32.8863,0.823124,-0.11817,2.01264,0.67461,1.22015,0.000739484,0.000736428,6.71589e-05,1
6,8,-9.95139,-5.49834,9.20139,39.9526,32.8669,0.822646,-0.11817,2.01264,0.67461,1.21944,0.000754994,0.000751912,6.81549e-05,1
7,1,-9.95139,-4.55522,9.20139,33.9578,27.7736,0.817885,-0.119372,2.02113,0.669964,1.22079,0.000891421,0.000887801,8.0261e-05,1
7,2,-9.95139,-4.55522,9.20139,33.9577,27.7724,0.81785,-0.119372,2.02113,0.669964,1.22074,0.000903199,0.000899529,8.1342e-05,1
7,3,-9.95139,-4.55522,9.20139,33.9578,27.7736,0.817885,-0.119372,2.02113,0.669964,1.22079,0.000891421,0.000887801,8.0261e-05,1
7,4,-9.95139,-4.55522,9.20139,33.9577,27.7724,0.81785,-0.119372,2.02113,0.669964,1.22074,0.000903199,0.000899529,8.1342e-05,1
7,5,-9.95139,-4.55522,9.20139,33.9572,27.7366,0.81681,-0.119372,2.02113,0.669964,1.21919,0.000804462,0.000801243,7.18948e-05,1
7,6,-9.95139,-4.55522,9.20139,33.9572,27.7358,0.816786,-0.119372,2.02113,0.669964,1.21915,0.000811107,0.000807842,7.2714e-05,1
7,7,-9.95139,-4.55522,9.20139,33.9572,27.7366,0.81681,-0.119372,2.02113,0.669964,1.21919,0.000804462,0.000801243,7.18948e-05,1
7,8,-9.95139,-4.55522,9.20139,33.9572,27.7358,0.816786,-0.119372,2.02113,0.669964,1.21915,0.000811107,0.000807842,7.2714e-05,1
8,1,-9.95139,-3.82123,9.20139,29.2822,23.8849,0.815679,-0.120396,2.02839,0.666028,1.22469,0.000961037,0.000957175,8.607e-05,1
8,2,-9.95139,-3.82123,9.20139,29.2824,23.8947,0.81601,-0.120396,2.02839,0.666028,1.22519,0.000976328,0.000972409,8.73926e-05,1
8,3,-9.95139,-3.82123,9.20139,29.2822,23.8849,0.815679,-0.120396,2.02839,0.666028,1.22469,0.000961037,0.000957175,8.607e-05,1
8,4,-9.95139,-3.82123,9.20139,29.2824,23.8947,0.81601,-0.120396,2.02839,0.666028,1.22519,0.000976328,0.000972409,8.73926e-05,1
8,5,-9.95139,-3.82123,9.20139,29.2815,23.8311,0.813863,-0.120397,2.02839,0.666027,1.22197,0.00104642,0.0010422,9.38779e-05,1
8,6,-9.95139,-3.82123,9.20139,29.2817,23.8408,0.814189,-0.120396,2.02839,0.666028,1.22246,0.00106124,0.00105696,9.52762e-05,1
8,7,-9.95139,-3.82123,9.20139,29.2815,23.8311,0.813863,-0.120397,2.02839,0.666027,1.22197,0.00104642,0.0010422,9.38779e-05,1
8,8,-9.95139,-3.82123,9.20139,29.2817,23.8408,0.814189,-0.120396,2.02839,0.666028,1.22246,0.00106124,0.00105696,9.52762e-05,1
9,1,-9.95139,-3.25,9.20139,25.6474,20.8656,0.813555,-0.12126,2.03453,0.66273,1.22758,0.00113702,0.00113253,0.00010094,1
9,2,-9.95139,-3.25,9.20139,25.6477,20.8795,0.814089,-0.12126,2.03453,0.66273,1.22839,0.00078216,0.000744796,0.000238857,1
9,3,-9.95139,-3.25,9.20139,25.6474,20.8656,0.813555,-0.12126,2.03453,0.66273,1.22758,0.00113702,0.00113253,0.00010094,1
9,4,-9.95139,-3.25,9.20139,25.6477,20.8795,0.814089,-0.12126,2.03453,0.66273,1.22839,0.00078216,0.000744796,0.000238857,1
9,5,-9.95139,-3.25,9.20139,25.648,20.8991,0.814844,-0.12126,2.03453,0.66273,1.22953,0.00120743,0.00120255,0.000108394,1
9,6,-9.95139,-3.25,9.20139,25.6483,20.9136,0.8154,-0.12126,2.03453,0.66273,1.23036,0.00121344,0.00120854,0.000108972,1
9,7,-9.95139,-3.25,9.20139,25.648,20.8991,0.814844,-0.12126,2.03453,0.66273,1.22953,0.00120743,0.00120255,0.000108394,1
9,8,-9.95139,-3.25,9.20139,25.6483,20.9136,0.8154,-0.12126,2.03453,0.66273,1.23036,0.00121344,0.00120854,0.000108972,1
10,1,-9.95139,-2.75,9.20139,22.4456,18.2997,0.815289,-0.12208,2.04038,0.659611,1.23601,0.00105161,0.00104693,9.91742e-05,1
10,2,-9.95139,-2.75,9.20139,22.4459,18.318,0.816098,-0.12208,2.04038,0.659611,1.23724,0.00129582,0.00129068,0.000115294,1
10,3,-9.95139,-2.75,9.20139,22.4456,18.2997,0.815289,-0.12208,2.04038,0.659611,1.23601,0.00105161,0.00104693,9.91742e-05,1
10,4,-9.95139,-2.75,9.20139,22.4459,18.318,0.816098,-0.12208,2.04038,0.659611,1.23724,0.00129582,0.00129068,0.000115294,1
10,5,-9.95139,-2.75,9.20139,22.4454,18.2867,0.814717,-0.12208,2.04038,0.659611,1.23515,0.00136052,0.00135505,0.000121964,1
10,6,-9.95139,-2.75,9.20139,22.4457,18.3047,0.815509,-0.12208,2.04038,0.659611,1.23635,0.00136248,0.001357,0.000122095,1
