ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
1,1,-9.95139,-16.1423,9.20139,106.208,90.8365,0.85527,-0.108926,1.94857,0.711436,1.20218,0,0,0,1
1,2,-9.95139,-16.1423,9.20139,106.208,90.8023,0.854949,-0.108926,1.94857,0.711436,1.20172,0,0,0,1
1,3,-9.95139,-16.1423,9.20139,106.208,90.8365,0.85527,-0.108926,1.94857,0.711436,1.20218,0,0,0,1
1,4,-9.95139,-16.1423,9.20139,106.208,90.8023,0.854949,-0.108926,1.94857,0.711436,1.20172,0,0,0,1
1,5,-9.95139,-16.1423,9.20139,106.208,90.8525,0.855421,-0.108926,1.94857,0.711436,1.20239,0,0,0,1
1,6,-9.95139,-16.1423,9.20139,106.208,90.8184,0.8551,-0.108926,1.94857,0.711436,1.20194,0,0,0,1
1,7,-9.95139,-16.1423,9.20139,106.208,90.8525,0.855421,-0.108926,1.94857,0.711436,1.20239,0,0,0,1
1,8,-9.95139,-16.1423,9.20139,106.208,90.8184,0.8551,-0.108926,1.94857,0.711436,1.20194,0,0,0,1
2,1,-9.95139,-12.839,9.20139,85.5741,73.0322,0.853438,-0.111301,1.96484,0.701786,1.21609,0,0,0,1
2,2,-9.95139,-12.839,9.20139,85.5741,73.0123,0.853206,-0.111301,1.96484,0.701786,1.21576,0,0,0,1
2,3,-9.95139,-12.839,9.20139,85.5741,73.0322,0.853438,-0.111301,1.96484,0.701786,1.21609,0,0,0,1
2,4,-9.95139,-12.839,9.20139,85.5741,73.0123,0.853206,-0.111301,1.96484,0.701786,1.21576,0,0,0,1
2,5,-9.95139,-12.839,9.20139,85.5741,73.0476,0.853619,-0.111301,1.96484,0.701786,1.21635,0,0,0,1
2,6,-9.95139,-12.839,9.20139,85.5741,73.0278,0.853387,-0.111301,1.96484,0.701786,1.21602,0,0,0,1
2,7,-9.95139,-12.839,9.20139,85.5741,73.0476,0.853619,-0.111301,1.96484,0.701786,1.21635,0,0,0,1
2,8,-9.95139,-12.839,9.20139,85.5741,73.0278,0.853387,-0.111301,1.96484,0.701786,1.21602,0,0,0,1
3,1,-9.95139,-10.2681,9.20139,69.4979,59.1541,0.851164,-0.113399,1.97931,0.693374,1.22757,0,0,0,1
3,2,-9.95139,-10.2681,9.20139,69.4979,59.1282,0.850792,-0.113399,1.97931,0.693374,1.22703,0,0,0,1
3,3,-9.95139,-10.2681,9.20139,69.4979,59.1541,0.851164,-0.113399,1.97931,0.693374,1.22757,0,0,0,1
3,4,-9.95139,-10.2681,9.20139,69.4979,59.1282,0.850792,-0.113399,1.97931,0.693374,1.22703,0,0,0,1
3,5,-9.95139,-10.2681,9.20139,69.4979,59.1843,0.851599,-0.113399,1.97931,0.693374,1.2282,0,0,0,1
3,6,-9.95139,-10.2681,9.20139,69.4979,59.1584,0.851226,-0.113399,1.97931,0.693374,1.22766,0,0,0,1
3,7,-9.95139,-10.2681,9.20139,69.4979,59.1843,0.851599,-0.113399,1.97931,0.693374,1.2282,0,0,0,1
3,8,-9.95139,-10.2681,9.20139,69.4979,59.1584,0.851226,-0.113399,1.97931,0.693374,1.22766,0,0,0,1
4,1,-9.95139,-8.26731,9.20139,56.9759,48.2894,0.847541,-0.115239,1.9921,0.686075,1.23535,1.65695e-06,1.64948e-06,1.57138e-07,1
4,2,-9.95139,-8.26731,9.20139,56.9759,48.2581,0.846992,-0.115239,1.9921,0.686075,1.23455,6.32531e-06,6.2983e-06,5.83913e-07,1
4,3,-9.95139,-8.26731,9.20139,56.9759,48.2894,0.847541,-0.115239,1.9921,0.686075,1.23535,1.65695e-06,1.64948e-06,1.57138e-07,1
4,4,-9.95139,-8.26731,9.20139,56.9759,48.2581,0.846992,-0.115239,1.9921,0.686075,1.23455,6.32531e-06,6.2983e-06,5.83913e-07,1
4,5,-9.95139,-8.26731,9.20139,56.9759,48.3385,0.848403,-0.115239,1.9921,0.686075,1.2366,1.39829e-06,1.3927e-06,1.24894e-07,1
4,6,-9.95139,-8.26731,9.20139,56.9759,48.3072,0.847853,-0.115239,1.9921,0.686075,1.2358,5.95167e-06,5.92892e-06,5.1995e-07,1
4,7,-9.95139,-8.26731,9.20139,56.9759,48.3385,0.848403,-0.115239,1.9921,0.686075,1.2366,1.39829e-06,1.3927e-06,1.24894e-07,1
4,8,-9.95139,-8.26731,9.20139,56.9759,48.3072,0.847853,-0.115239,1.9921,0.686075,1.2358,5.95167e-06,5.92892e-06,5.1995e-07,1
5,1,-9.95139,-6.71019,9.20139,47.2056,39.8289,0.843733,-0.116846,2.00334,0.679764,1.24121,3.28561e-05,3.27168e-05,3.02232e-06,1
