step,sig0,sig1,sig2,sig3,sig4,sig5,eps0,eps1,eps2,eps3,eps4,eps5,err_total,err_dev,err_vol,clampFired,clampCount,f,ref_total,ref_signChange,ref_control,ref_companion
conf1,-20.000000000000004,-20.000000000000007,-20.000000000000007,6.2197097715650092e-16,1.2439419543130018e-15,1.7276971587680582e-17,-3.4933719437595102e-05,-3.4933719437595116e-05,-3.4933719437595123e-05,7.6232965252887031e-21,1.5246593050577406e-20,2.1175823681357508e-22,0,0,0,0,0,0,0,0,0,0
conf2,-40.000000000000014,-40.000000000000014,-40.000000000000021,9.3295646573475128e-16,2.4878839086260037e-15,2.7643154540288931e-16,-6.9867438875190205e-05,-6.9867438875190232e-05,-6.9867438875190259e-05,1.1434944787933055e-20,3.0493186101154812e-20,3.3881317890172014e-21,0,0,0,0,0,0,0,0,0,0
conf3,-60.000000000000036,-60.000000000000036,-60.000000000000043,-4.8375520445505653e-16,4.422904726446229e-15,7.601867498579457e-16,-0.00010480115831278534,-0.00010480115831278538,-0.0001048011583127854,-5.9292306307801024e-21,5.4210108624275222e-20,9.3173624197973037e-21,0,0,0,0,0,0,0,0,0,0
conf4,-80.000000000000043,-80.000000000000028,-80.000000000000043,-2.0732365905216722e-16,5.2521993626548969e-15,5.5286309080577873e-16,-0.00013973487775038046,-0.00013973487775038049,-0.00013973487775038049,-2.541098841762901e-21,6.4374503991326826e-20,6.7762635780344027e-21,0,0,0,0,0,0,0,0,0,0
conf5,-100.00000000000006,-100.00000000000004,-100.00000000000006,2.7643154540288912e-16,5.5286309080577865e-15,2.2114523632231145e-15,-0.00017466859718797556,-0.00017466859718797567,-0.00017466859718797559,3.3881317890172014e-21,6.7762635780344027e-20,2.7105054312137611e-20,0,0,0,0,0,0,0,0,0,0
dev1,-100.33004492305906,-100.33004492305905,-105.28498609297418,8.4688406272241443e-16,4.616081485574471e-15,1.187695431669912e-15,-0.00016586158596897034,-0.00016586158596897042,-0.00020281500568591497,1.4399560103323106e-20,5.4210108624275222e-20,1.1858461261560205e-20,0.0048319351537150215,0.0048286019999345406,0.00017944374030642946,0,0,1,0,0,0,0
dev2,-100.768165311928,-100.76816531192796,-110.58310109146581,2.1022003223620849e-12,7.5289250644226776e-15,2.931427651547725e-16,-0.00015246643900922386,-0.00015246643900922394,-0.00024079859387425267,6.7762635780344027e-21,1.2197274440461925e-19,-6.7762635780344027e-21,0.0098963465682861875,0.0098889634535653595,0.00038220048885170187,0,0,1,0,0,0,0
dev3,-100.92977787484801,-100.93086856455174,-115.95238465046009,0.00052659231560432131,-9.9627784402582113e-10,8.7601867067882154e-10,-0.00013227298843636684,-0.0001322729884348106,-0.00029176650015277488,4.6756218688437379e-18,2.192460080673031e-16,-1.9319127460976082e-16,0.013232315778796867,0.013219294857865068,0.00058687675931043653,0,0,1,0,0,0,0
dev4,-101.08117726775073,-101.08558446787487,-121.65425808881142,0.0023859141448825706,0.00044453805749199003,0.00033938843892379503,-0.00010489257894317229,-0.00010486623864164904,-0.00035789477321734387,4.6863838803869667e-10,1.398490400594159e-08,1.0649761860355862e-08,0.014981138506241332,0.014970566796176744,0.00056270840085891527,0,0,1,0,0,0,0
dev5,-101.16815786473825,-101.16883443083636,-127.50997818140516,0.0013042520416535325,0.0005467189454444434,0.0003098477663823207,-7.0025966749801504e-05,-6.9942622035052646e-05,-0.00043922408052684951,4.1689631527040135e-09,1.8878441765250199e-08,1.0410658966445379e-08,0.015596871325370474,0.015589817536159309,0.00046902487079416845,0,0,1,0,0,0,0
dev6,-101.20788723504249,-101.2085903242223,-133.46506672063788,0.0017074661307666672,0.00046512833530206816,0.00023554810990398942,-2.7684972730961387e-05,-2.7558967587829212e-05,-0.00053560722459640561,7.8674860394860982e-09,1.5934534013087765e-08,7.3373384335864678e-09,0.015615767292696259,0.015611854513238118,0.00034955228096642812,0,0,1,0,0,0,0
