step,rc,settlement_m,footing_load_kN_per_m,ref_total,ref_companion,commit_latched
1,0,0.002,-24.7428939,32,32,0
2,0,0.004,701.193669,45,45,0
3,0,0.006,328.915783,65,65,0
4,0,0.008,441.017004,82,82,0
5,0,0.01,490.956717,97,97,0
6,0,0.012,530.19871,108,108,0
7,0,0.014,561.047808,115,115,0
8,0,0.016,589.920456,122,122,0
9,0,0.018,621.90877,127,127,0
10,0,0.02,592.567024,131,131,0
11,0,0.022,644.080089,135,135,0
12,0,0.024,682.680279,139,139,0
13,0,0.026,745.903338,145,145,0
14,0,0.028,751.872787,152,152,0
15,0,0.03,783.002114,158,158,0
16,0,0.032,749.9373,163,163,0
17,0,0.034,807.628788,168,168,0
18,0,0.036,827.54942,174,174,0
19,0,0.038,854.461588,187,187,0
20,0,0.04,783.346689,200,200,0
21,0,0.042,835.859525,212,212,0
22,0,0.044,879.058014,229,229,0
23,0,0.046,912.084783,246,246,0
24,0,0.048,934.99684,264,264,0
25,0,0.05,959.529354,282,282,0
26,0,0.052,972.917607,301,301,0
27,0,0.054,986.496926,320,320,0
28,0,0.056,999.422584,339,339,0
29,0,0.058,1009.51447,361,361,0
30,0,0.06,1015.61021,382,382,0
31,0,0.062,1027.43665,403,403,0
32,0,0.064,1038.84557,424,424,0
33,0,0.066,1027.0783,444,444,0
34,0,0.068,1020.88834,464,464,0
35,0,0.07,1005.79956,484,484,0
36,0,0.072,994.785119,504,504,0
37,0,0.074,990.273553,524,524,0
38,0,0.076,1017.12114,540,540,0
39,0,0.078,1052.26769,555,555,0
40,0,0.08,1093.65419,567,567,0
