s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9880179,0.02,0,0.0558073521
4e-05,2e-05,12.3093691,0.02,0,0.121793509
6e-05,3e-05,12.6307203,0.02,0,0.188145638
8e-05,4e-05,12.9520716,0.02,0,0.254948378
0.0001,5e-05,13.2734228,0.02,0,0.320164204
0.00012,6e-05,13.594774,0.04,0,0.384951353
0.00016,8e-05,14.2374764,0.04,0,0.450701237
0.0002,0.0001,14.8801789,0.04,0,0.50856185
0.00024,0.00012,15.5228813,0.04,0,0.560261011
0.00028,0.00014,16.1655838,0.04,0,0.612205267
0.00032,0.00016,16.8082862,0.04,0,0.674143553
0.00036,0.00018,17.4509887,0.08,0,0.72542119
0.00044,0.00022,18.7363935,0.08,0,0.778680086
0.00052,0.00026,20.0217984,0.08,0,0.844168425
0.0006,0.0003,21.3072033,0.08,0,0.910403013
0.00068,0.00034,22.5926082,0.08,0,0.975221395
0.00076,0.00038,23.8780131,0.08,0,1.04719782
0.00084,0.00042,25.163418,0.16,0,1.11908102
0.001,0.0005,27.7342278,0.16,0,1.19361472
0.00116,0.00058,30.3050375,0.16,0,1.26657772
0.00132,0.00066,32.8757384,0.16,0,1.36025357
0.00148,0.00074,35.4466571,0.16,0,1.44190121
0.00164,0.00082,37.9396893,0.16,0,1.51865554
0.0018,0.0009,40.2015282,0.2,0,1.61076808
0.002,0.001,42.4596934,0.2,0,1.70647812
0.0022,0.0011,44.4254672,0.2,0,1.80170178
0.0024,0.0012,46.1739514,0.2,0,1.89679122
0.0026,0.0013,47.7882282,0.2,0,1.97450495
0.0028,0.0014,49.278497,0.2,0,2.05741262
0.003,0.0015,50.6613177,0.2,0,2.14078784
0.0032,0.0016,51.944246,0.2,0,2.2403717
0.0034,0.0017,53.1769522,0.2,0,2.34557652
0.0036,0.0018,54.3534962,0.2,0,2.46592689
0.0038,0.0019,55.4593177,0.2,0,2.58617401
0.004,0.002,56.5118659,0.2,0,2.70978808
0.0042,0.0021,57.539112,0.2,0,2.83747864
0.0044,0.0022,58.5326637,0.2,0,2.94984126
0.0046,0.0023,59.4638946,0.2,0,3.06203699
0.0048,0.0024,60.3611558,0.2,0,3.18715668
0.005,0.0025,61.2349136,0.2,0,3.36850071
0.0052,0.0026,62.0978042,0.2,0,3.54668951
0.0054,0.0027,62.95286,0.2,0,3.72611022
0.0056,0.0028,63.8110483,0.2,0,3.90787983
0.0058,0.0029,64.650074,0.2,0,4.06539297
0.006,0.003,65.4723682,0.2,0,4.2962091
0.0062,0.0031,66.3962926,0.2,0,4.37869191
0.0064,0.0032,67.3760197,0.2,0,4.80274153
0.0066,0.0033,68.3009077,0.2,0,4.94518375
0.0068,0.0034,69.1764847,0.2,0,5.09620142
0.007,0.0035,69.9812708,0.2,0,5.26230049
0.0072,0.0036,70.7519515,0.2,0,5.49075818
0.0074,0.0037,71.4901461,0.2,0,5.66365361
0.0076,0.0038,72.183311,0.2,0,5.8442533
0.0078,0.0039,72.8325781,0.2,0,6.00638294
0.008,0.004,73.4567172,0.2,0,6.15517426
0.0082,0.0041,74.0580738,0.2,0,6.2831974
0.0084,0.0042,74.6369396,0.2,0,6.41002822
0.0086,0.0043,75.1968345,0.2,0,6.53525114
0.0088,0.0044,75.7406663,0.2,0,6.6526835
0.009,0.0045,76.2710192,0.2,0,6.78321457
0.0092,0.0046,76.7905041,0.2,0,6.99149752
0.0094,0.0047,77.3033394,0.2,0,7.18650913
0.0096,0.0048,77.812281,0.2,0,7.34526587
0.0098,0.0049,78.3237858,0.2,0,7.47481465
0.01,0.005,78.8530831,0.2,0,7.5734446
0.0102,0.0051,79.3921958,0.2,0,7.66401649
0.0104,0.0052,79.9267576,0.2,0,7.76440859
0.0106,0.0053,80.4654403,0.2,0,7.89099574
0.0108,0.0054,80.993157,0.2,0,8.01285005
0.011,0.0055,81.5230794,0.2,0,8.16886163
0.0112,0.0056,82.1808421,0.2,0,8.34340072
0.0114,0.0057,82.8235921,0.2,0,8.97882223
0.0116,0.0058,83.4331182,0.2,0,9.39404964
0.0118,0.0059,84.0177342,0.2,0,9.62471533
0.012,0.006,84.5817756,0.2,0,9.77251434
0.0122,0.0061,85.1201991,0.2,0,9.98602486
0.0124,0.0062,85.646414,0.2,0,10.1526029
0.0126,0.0063,86.1692642,0.2,0,10.356735
0.0128,0.0064,86.6817889,0.2,0,10.5564573
0.013,0.0065,87.1883268,0.2,0,10.7743435
0.0132,0.0066,87.6878625,0.2,0,10.9239588
0.0134,0.0067,88.1829404,0.2,0,11.0229409
0.0136,0.0068,88.6716451,0.2,0,11.1418209
0.0138,0.0069,89.1585893,0.2,0,11.2676098
0.014,0.007,89.6423258,0.2,0,11.4418387
0.0142,0.0071,90.1238487,0.2,0,11.6027241
0.0144,0.0072,90.6120597,0.2,0,11.7885551
0.0146,0.0073,91.0982176,0.2,0,11.9526334
0.0148,0.0074,91.5674184,0.2,0,12.1095023
0.015,0.0075,92.0310844,0.2,0,12.2642593
0.0152,0.0076,92.4978248,0.2,0,12.4448054
0.0154,0.0077,92.9560813,0.2,0,12.6350601
0.0156,0.0078,93.4168131,0.2,0,12.7838893
0.0158,0.0079,93.8739827,0.2,0,12.9034545
0.016,0.008,94.3297665,0.2,0,13.0507884
0.0162,0.0081,94.7812083,0.2,0,13.1739051
0.0164,0.0082,95.2233973,0.2,0,13.3365846
0.0166,0.0083,95.6633522,0.2,0,13.5787592
0.0168,0.0084,96.0976648,0.2,0,13.9245505
0.017,0.0085,96.5304247,0.2,0,14.2645633
0.0172,0.0086,96.9575465,0.2,0,14.5739062
0.0174,0.0087,97.3797074,0.2,0,14.891948
0.0176,0.0088,97.7964759,0.2,0,15.1927555
0.0178,0.0089,98.2082008,0.2,0,15.492878
0.018,0.009,98.6134559,0.2,0,15.7730401
0.0182,0.0091,99.0177374,0.2,0,16.0472045
0.0184,0.0092,99.4178551,0.2,0,16.3992379
0.0186,0.0093,99.814432,0.2,0,16.7431295
0.0188,0.0094,100.207513,0.2,0,16.9290359
0.019,0.0095,100.598515,0.2,0,17.1722722
0.0192,0.0096,100.987802,0.2,0,17.3830066
0.0194,0.0097,101.380227,0.2,0,17.5913951
0.0196,0.0098,101.775103,0.2,0,17.8739076
0.0198,0.0099,102.165859,0.2,0,18.1705701
0.02,0.01,102.550837,0.2,0,18.3984754
0.0202,0.0101,102.933593,0.2,0,18.5699193
0.0204,0.0102,103.314204,0.2,0,18.9417591
0.0206,0.0103,103.718312,0.2,0,19.316792
0.0208,0.0104,104.109074,0.2,0,19.7595079
0.021,0.0105,104.493083,0.2,0,20.1434593
0.0212,0.0106,104.872078,0.2,0,20.49143
0.0214,0.0107,105.244718,0.2,0,21.0023086
0.0216,0.0108,105.612434,0.2,0,21.4354215
0.0218,0.0109,105.974397,0.2,0,21.6067579
0.022,0.011,106.33298,0.2,0,21.9924953
0.0222,0.0111,106.687213,0.2,0,22.2141652
0.0224,0.0112,107.037028,0.2,0,22.6941397
0.0226,0.0113,107.381754,0.2,0,23.1930809
0.0228,0.0114,107.719456,0.2,0,23.7375472
0.023,0.0115,108.052188,0.2,0,23.9551959
0.0232,0.0116,108.378994,0.2,0,24.4717927
0.0234,0.0117,108.70517,0.2,0,24.983413
0.0236,0.0118,109.026896,0.2,0,25.4840491
0.0238,0.0119,109.346605,0.2,0,25.6732748
0.024,0.012,109.6641,0.2,0,25.8823681
0.0242,0.0121,109.97826,0.2,0,26.0512657
0.0244,0.0122,110.286462,0.2,0,26.5392466
0.0246,0.0123,110.59101,0.2,0,27.0039492
0.0248,0.0124,110.894247,0.2,0,27.2159545
0.025,0.0125,111.195299,0.2,0,27.433615
0.0252,0.0126,111.494119,0.2,0,27.6243274
0.0254,0.0127,111.78901,0.2,0,27.7733872
0.0256,0.0128,112.080712,0.2,0,28.2823298
0.0258,0.0129,112.368944,0.2,0,28.8514328
0.026,0.013,112.658128,0.2,0,29.0369096
0.0262,0.0131,112.945236,0.2,0,29.5977371
0.0264,0.0132,113.231416,0.2,0,29.8034954
0.0266,0.0133,113.515405,0.2,0,30.3604457
0.0268,0.0134,113.799879,0.2,0,30.8797588
0.027,0.0135,114.081856,0.2,0,31.0849268
0.0272,0.0136,114.363912,0.2,0,31.7026052
0.0274,0.0137,114.644893,0.2,0,31.8809483
0.0276,0.0138,114.925085,0.2,0,32.4065254
0.0278,0.0139,115.203374,0.2,0,32.6378973
0.028,0.014,115.480822,0.2,0,32.8558717
0.0282,0.0141,115.757107,0.2,0,33.1010904
0.0284,0.0142,116.031396,0.2,0,33.3183353
0.0286,0.0143,116.30404,0.2,0,33.5563562
0.0288,0.0144,116.575356,0.2,0,33.7603734
0.029,0.0145,116.844615,0.2,0,34.3504035
0.0292,0.0146,117.111611,0.2,0,34.9658501
0.0294,0.0147,117.380709,0.2,0,35.2230642
0.0296,0.0148,117.64867,0.2,0,35.466928
0.0298,0.0149,117.914738,0.2,0,35.7036803
0.03,0.015,118.17768,0.2,0,35.9252393
0.0302,0.0151,118.436513,0.2,0,36.1555643
0.0304,0.0152,118.694075,0.2,0,36.6686721
0.0306,0.0153,118.949303,0.2,0,37.2356637
0.0308,0.0154,119.213969,0.2,0,37.4691777
0.031,0.0155,119.479482,0.2,0,37.9993918
0.0312,0.0156,119.750389,0.2,0,38.2372422
0.0314,0.0157,120.024686,0.2,1,39.4209533
0.0316,0.0158,120.270516,0.2,1,40.5298274
0.0318,0.0159,120.539024,0.2,1,41.8830163
0.032,0.016,120.777009,0.2,0,42.7029157
0.0322,0.0161,121.024898,0.2,0,43.6687596
0.0324,0.0162,121.27007,0.2,0,44.2686422
0.0326,0.0163,121.510536,0.2,0,44.8705621
