s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,s_min_rel,cond,lam_min_sym_rel
0.00014,16.1656,1600,0,0,,,-36.0273,-26.2425,,,
0.00058,30.305,1600,0,0,,,-66.399,-25.862,,,
0.0015,50.6613,1600,0,0,,,-110,-25.5528,,,
0.0025,61.2349,1600,0,0,,,-127.542,-24.2957,,,
0.0035,69.9813,1600,0,0,,,-141.879,-22.2837,,,
0.0045,76.271,1600,0,0,,,-146.134,-21.2308,,,
0.0055,81.5231,1600,0,0,,,-154.917,-21.6159,,,
0.0065,87.1883,1600,0,0,,,-166.413,-23.429,,,
0.0075,92.0311,1600,0,0,,,-176.371,-26.6826,,,
0.0085,96.5304,1600,0,0,,,-185.278,-18.6528,,,
0.0095,100.599,1600,0,0,,,-193.21,-9.71205,,,
0.0105,104.493,1600,0,0,,,-200.801,-2.87612,,,
0.0115,108.052,1600,4,0,,,-208.097,0.777141,,,
0.0125,111.195,1600,4,0,,,-214.661,0.777141,,,
0.0135,114.082,1600,4,0,,,-220.493,0.777141,,,
0.0145,116.845,1600,4,0,,,-225.872,0.777141,,,
0.0155,119.479,1600,4,0,,,-230.988,0.777141,,,
0.0165,121.986,1600,4,0,,,-235.885,0.777141,,,
0.0175,124.252,1600,4,0,,,-240.343,0.777141,,,
0.0185,126.33,1600,4,0,,,-245.751,0.777141,,,
0.0195,128.267,1600,4,0,,,-250.873,0.777141,,,
0.0205,130.072,1600,4,0,,,-255.63,0.777141,,,
0.0215,131.729,1600,4,0,,,-260.243,0.777141,,,
0.0225,133.025,1600,4,0,,,-264.802,0.777141,,,
0.0235,133.955,1600,4,0,,,-268.539,0.777141,,,
0.0244,134.647,1600,4,0,,,-271,0.777141,,,
0.0252,135.029,1600,4,0,,,-272.208,0.777141,,,
0.0262,135.375,1600,4,0,,,-273.098,0.777141,,,
0.0272,135.536,1600,4,0,,,-273.633,0.777141,,,
0.0282,135.54,1600,4,0,,,-273.707,0.777141,,,
0.0292,135.474,1600,4,0,,,-273.746,0.777141,,,
0.0302,135.396,1600,4,0,,,-274.201,0.777141,,,
0.0312,135.067,1600,4,0,,,-276.702,0.777141,,,
0.03195,134.277,1600,4,0,,,-278.24,0.777141,,,
0.0329,134.057,1600,4,0,,,-276.658,0.777141,,,
0.0339,134.252,1600,4,0,,,-275.859,0.777141,,,
0.0349,134.404,1600,6,0,,,-275.399,0.777141,,,
0.0359,134.809,1600,4,0,,,-271.82,0.777141,,,
0.0369,134.04,1600,4,0,,,-275.886,0.777141,,,
0.0379,133.864,1600,4,0,,,-275.564,0.777141,,,
0.0389,133.846,1600,6,0,,,-275.527,0.777141,,,
0.0399,133.741,1600,6,0,,,-275.86,0.777141,,,
0.0409,133.79,1600,6,0,,,-275.616,0.777141,,,
0.0419,133.838,1600,6,0,,,-275.65,0.777141,,,
0.0429,133.802,1600,6,0,,,-276.005,0.777141,,,
0.0439,134.11,1600,6,0,,,-275.249,0.777141,,,
0.0449,134.604,1600,4,0,,,-273.234,0.777141,,,
0.0459,134.566,1600,4,0,,,-272.741,0.777141,,,
0.0469,134.006,1600,4,0,,,-276.482,0.777141,,,
0.0479,133.86,1600,4,0,,,-276.461,0.777141,,,
0.0489,133.802,1600,6,0,,,-276.68,0.777141,,,
0.0499,133.712,1600,6,0,,,-276.741,0.777141,,,
0.0509,133.766,1600,6,0,,,-276.416,0.777141,,,
0.0519,133.834,1600,6,0,,,-276.329,0.777141,,,
0.0529,134.098,1600,6,0,,,-275.422,0.777141,,,
0.0539,134.472,1600,4,0,,,-273.329,0.777141,,,
0.0549,134.417,1600,4,0,,,-272.711,0.777141,,,
0.0559,133.848,1600,4,0,,,-276.307,0.777141,,,
0.0569,133.744,1600,4,0,,,-276.323,0.777141,,,
0.0579,133.667,1600,6,0,,,-276.586,0.777141,,,
0.0589,133.587,1600,6,0,,,-276.655,0.777141,,,
0.0599,133.661,1600,6,0,,,-276.358,0.777141,,,
0.0609,133.664,1600,6,0,,,-276.319,0.777141,,,
0.0619,133.699,1600,6,0,,,-276.267,0.777141,,,
0.0629,134.023,1600,6,0,,,-275.419,0.777141,,,
0.0639,134.322,1600,6,0,,,-273.929,0.777141,,,
0.0649,134.389,1600,4,0,,,-271.557,0.777141,,,
0.06575,134.058,1600,4,0,,,-275.316,0.777141,,,
0.0666,133.645,1600,4,0,,,-276.374,0.777141,,,
0.0676,133.684,1600,6,0,,,-276.317,0.777141,,,
0.0686,133.618,1600,6,0,,,-276.776,0.777141,,,
0.0696,133.612,1600,6,0,,,-276.639,0.777141,,,
0.0706,133.634,1600,6,0,,,-276.478,0.777141,,,
0.0716,133.677,1600,6,0,,,-276.4,0.777141,,,
0.0726,133.785,1600,6,0,,,-276.172,0.777141,,,
0.0736,134.14,1600,6,0,,,-274.988,0.777141,,,
0.0746,134.441,1600,4,0,,,-272.423,0.777141,,,
0.0756,134.18,1600,4,0,,,-274.999,0.777141,,,
0.0766,133.663,1600,4,0,,,-276.247,0.777141,,,
