s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9880179,0.02,0,0.0693225861
4e-05,2e-05,12.3093691,0.02,0,0.150356531
6e-05,3e-05,12.6307203,0.02,0,0.242855787
8e-05,4e-05,12.9520716,0.02,0,0.319051504
0.0001,5e-05,13.2734228,0.02,0,0.398363113
0.00012,6e-05,13.594774,0.04,0,0.473671436
0.00016,8e-05,14.2374764,0.04,0,0.567583799
0.0002,0.0001,14.8801789,0.04,0,0.639894009
0.00024,0.00012,15.5228813,0.04,0,0.70654273
0.00028,0.00014,16.1655838,0.04,0,0.785795927
0.00032,0.00016,16.8082862,0.04,0,0.904516459
0.00036,0.00018,17.4509887,0.08,0,0.97960186
0.00044,0.00022,18.7363935,0.08,0,1.03972077
0.00052,0.00026,20.0217984,0.08,0,1.11727214
0.0006,0.0003,21.3072033,0.08,0,1.18996334
0.00068,0.00034,22.5926082,0.08,0,1.26165509
0.00076,0.00038,23.8780692,0.08,0,1.36177635
0.00084,0.00042,25.1638638,0.16,0,1.44130683
0.001,0.0005,27.7342278,0.16,0,1.52391744
0.00116,0.00058,30.3051864,0.16,0,1.61227393
0.00132,0.00066,32.8750544,0.16,0,1.71862197
0.00148,0.00074,35.4466571,0.16,0,1.80298948
0.00164,0.00082,37.947065,0.16,0,1.91290331
0.0018,0.0009,40.1988049,0.2,0,2.03799939
0.002,0.001,42.408087,0.2,0,2.1680727
0.0022,0.0011,44.2976528,0.2,0,2.32123518
0.0024,0.0012,45.9149382,0.2,0,2.50623035
0.0026,0.0013,47.3485266,0.2,0,2.68794441
0.0028,0.0014,48.6253172,0.2,0,2.90376115
0.003,0.0015,49.812538,0.2,0,3.14536762
0.0032,0.0016,50.9183943,0.2,0,3.38413191
0.0034,0.0017,52.0515246,0.2,0,3.60617495
0.0036,0.0018,53.1944834,0.2,0,3.89015913
0.0038,0.0019,54.2559334,0.2,0,4.14703894
0.004,0.002,55.2518194,0.2,0,4.4639523
0.0042,0.0021,56.2295105,0.2,0,4.85301805
0.0044,0.0022,57.1433247,0.2,0,5.31343579
0.0046,0.0023,58.0656534,0.2,0,5.70543075
0.0048,0.0024,58.9528285,0.2,0,6.05113721
0.005,0.0025,59.8337906,0.2,0,6.38311076
