s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9880179,0.02,0,0.0493593216
4e-05,2e-05,12.3093691,0.02,0,0.0990581512
6e-05,3e-05,12.6307203,0.02,0,0.148050785
8e-05,4e-05,12.9520716,0.02,0,0.195149183
0.0001,5e-05,13.2734228,0.02,0,0.2435534
0.00012,6e-05,13.594774,0.04,0,0.292252302
0.00016,8e-05,14.2374764,0.04,0,0.342322826
0.0002,0.0001,14.8801789,0.04,0,0.393740654
0.00024,0.00012,15.5228813,0.04,0,0.440463543
0.00028,0.00014,16.1655838,0.04,0,0.488198757
0.00032,0.00016,16.8082862,0.04,0,0.544811964
0.00036,0.00018,17.4509887,0.08,0,0.592235088
0.00044,0.00022,18.7363935,0.08,0,0.639647961
0.00052,0.00026,20.0217984,0.08,0,0.686465979
0.0006,0.0003,21.3072033,0.08,0,0.734368801
0.00068,0.00034,22.5926082,0.08,0,0.781705618
0.00076,0.00038,23.8780131,0.08,0,0.834519863
0.00084,0.00042,25.163418,0.16,0,0.887081385
0.001,0.0005,27.7342278,0.16,0,0.940118074
0.00116,0.00058,30.3050375,0.16,0,0.997744799
0.00132,0.00066,32.8757384,0.16,0,1.06582355
0.00148,0.00074,35.4466571,0.16,0,1.13355947
0.00164,0.00082,37.9396893,0.16,0,1.20243979
0.0018,0.0009,40.2018559,0.2,0,1.27152896
0.002,0.001,42.4596634,0.2,0,1.34403014
0.0022,0.0011,44.4254986,0.2,0,1.41407323
0.0024,0.0012,46.1739519,0.2,0,1.48661566
0.0026,0.0013,47.7882277,0.2,0,1.55930996
0.0028,0.0014,49.2785049,0.2,0,1.63179159
0.003,0.0015,50.6613358,0.2,0,1.70344186
0.0032,0.0016,51.944256,0.2,0,1.78736734
0.0034,0.0017,53.1769599,0.2,0,1.87688255
0.0036,0.0018,54.3535088,0.2,0,1.96397376
0.0038,0.0019,55.4591163,0.2,0,2.05231047
0.004,0.002,56.5118045,0.2,0,2.16783285
0.0042,0.0021,57.5390918,0.2,0,2.28384256
0.0044,0.0022,58.5326206,0.2,0,2.39884734
0.0046,0.0023,59.4636733,0.2,0,2.52180099
0.0048,0.0024,60.3606441,0.2,0,2.63546252
0.005,0.0025,61.2348723,0.2,0,2.80712056
0.0052,0.0026,62.09809,0.2,0,3.00198483
0.0054,0.0027,62.9527022,0.2,0,3.17500567
0.0056,0.0028,63.8114803,0.2,0,3.29323435
0.0058,0.0029,64.6506985,0.2,0,3.60854363
0.006,0.003,65.4730133,0.2,0,3.80638433
0.0062,0.0031,66.3963008,0.2,0,3.8910737
0.0064,0.0032,67.3757312,0.2,0,4.06593752
0.0066,0.0033,68.3009547,0.2,0,4.22724199
0.0068,0.0034,69.1764962,0.2,0,4.56684017
0.007,0.0035,69.9812628,0.2,0,4.77822995
0.0072,0.0036,70.7520865,0.2,0,4.95891237
0.0074,0.0037,71.490144,0.2,0,5.12489963
0.0076,0.0038,72.1831757,0.2,0,5.29543471
0.0078,0.0039,72.832567,0.2,0,5.44133043
0.008,0.004,73.4565811,0.2,0,5.58419394
0.0082,0.0041,74.058001,0.2,0,5.70310307
0.0084,0.0042,74.6369482,0.2,0,5.81435919
0.0086,0.0043,75.1967708,0.2,0,5.92184806
0.0088,0.0044,75.7404244,0.2,0,6.03527236
0.009,0.0045,76.2709824,0.2,0,6.19261622
0.0092,0.0046,76.7904913,0.2,0,6.38085675
0.0094,0.0047,77.3029208,0.2,0,6.57887721
0.0096,0.0048,77.8122499,0.2,0,6.76026988
