s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,s_min_rel,cond,lam_min_sym_rel
0.00014,16.1656,1600,0,0,,,-36.0273,-26.2425,,,
0.00058,30.305,1600,0,0,,,-66.399,-25.862,,,
0.0015,50.6613,1600,0,0,,,-110,-25.5528,,,
0.0025,61.2349,1600,0,0,,,-127.542,-24.2957,,,
0.0035,69.9813,1600,0,0,,,-141.879,-22.2836,,,
0.0045,76.271,1600,0,0,,,-146.134,-21.2307,,,
0.0055,81.5247,1600,0,0,,,-154.92,-21.6161,,,
0.0065,87.1784,1600,0,0,,,-166.396,-23.4148,,,
0.0075,92.0247,1600,0,0,,,-176.365,-26.6658,,,
0.0085,96.5256,1600,0,0,,,-185.275,-18.7137,,,
0.0095,100.597,1600,0,0,,,-193.213,-9.76303,,,
0.01025,103.502,1600,0,0,,,-198.805,-4.64073,,,
0.01075,105.415,1600,0,0,,,-202.614,-1.21558,,,
0.01118125,107.006,1600,4,0,,,-205.952,0.750111,,,
