s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,s_min_rel,cond,lam_min_sym_rel
0.00014,16.1656,1600,0,0,,,-36.0273,-26.2425,,,
0.00058,30.3052,1600,0,0,,,-66.3996,-25.8619,,,
0.0015,49.8125,1600,0,0,,,-106.731,-24.9243,,,
0.0025,59.8338,1600,0,0,,,-122.613,-23.9807,,,
0.0035,68.8191,1600,0,0,,,-136.77,-21.6645,,,
0.0045,74.8573,1600,0,0,,,-142.836,-21.462,,,
0.0055,81.4852,1600,0,0,,,-154.92,-22.3723,,,
0.0065,86.7523,1600,0,0,,,-164.964,-24.7921,,,
0.0075,91.5465,1600,0,0,,,-174.347,-25.7848,,,
0.0085,95.3099,1600,0,0,,,-183.957,-25.2061,,,
0.0095,99.2808,1600,0,0,,,-193.476,-23.0686,,,
0.0102,102.246,1600,0,0,,,-199.959,-19.1696,,,
0.0112,105.773,1600,0,0,,,-205.403,-17.6343,,,
0.0122,108.801,1600,0,0,,,-208.102,-16.4859,,,
0.0132,111.586,1600,0,0,,,-213.038,-14.8459,,,
0.0142,114.377,1600,0,0,,,-220.13,-12.062,,,
0.0152,117.043,1600,0,0,,,-229.718,-8.25604,,,
0.0162,119.184,1600,0,0,,,-237.874,-4.70249,,,
0.0172,120.955,1600,0,0,,,-244.938,-1.68128,,,
0.017975,122.28,1600,4,0,,,-249.154,0.538849,,,
0.0180375,122.441,1600,4,0,,,-249.532,0.770411,2.383e-04,8.529e+04,2.383e-04
