s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,s_min_rel,cond,lam_min_sym_rel
0.0014,56.0438,1600,0,0,,,-90.9932,-25.3001,,,
0.0052,93.8428,1600,0,0,,,-155.537,-27.5775,,,
0.0102,119.343,1600,0,0,,,-201.589,-29.2314,,,
0.0152,133.762,1600,0,0,,,-230.045,-32.5319,,,
0.0202,143.135,1600,0,0,,,-248.898,-33.494,,,
0.0252,147.786,1600,0,0,,,-257.99,-33.9944,,,
0.0302,149.291,1600,0,0,,,-260.821,-34.1728,,,
0.0352,149.967,1600,0,0,,,-262.083,-34.2601,,,
0.0402,150.273,1600,0,0,,,-262.643,-34.3042,,,
0.0452,150.434,1600,0,0,,,-262.94,-34.3306,,,
0.0502,150.521,1600,0,0,,,-263.096,-34.347,,,
0.0552,150.575,1600,0,0,,,-263.193,-34.3586,,,
0.0602,150.61,1600,0,0,,,-263.256,-34.3671,,,
0.0652,150.635,1600,0,0,,,-263.3,-34.3738,,,
0.0702,150.647,1600,0,0,,,-263.323,-34.3785,,,
0.0752,150.657,1600,0,0,,,-263.339,-34.3823,,,
0.0802,150.665,1600,0,0,,,-263.354,-34.3856,,,
0.0852,150.669,1600,0,0,,,-263.361,-34.3882,,,
0.0902,150.674,1600,0,0,,,-263.369,-34.3906,,,
0.0952,150.679,1600,0,0,,,-263.38,-34.3929,,,
0.1002,150.685,1600,0,0,,,-263.387,-34.395,,,
0.1052,150.689,1600,0,0,,,-263.395,-34.3969,,,
0.1102,150.692,1600,0,0,,,-263.401,-34.3987,,,
0.1152,150.696,1600,0,0,,,-263.405,-34.4003,,,
0.1202,150.696,1600,0,0,,,-263.41,-34.4016,,,
0.1252,150.699,1600,0,0,,,-263.412,-34.4029,,,
0.1302,150.701,1600,0,0,,,-263.416,-34.4042,,,
0.1352,150.704,1600,0,0,,,-263.42,-34.4055,,,
0.1402,150.706,1600,0,0,,,-263.423,-34.4067,,,
0.1452,150.708,1600,0,0,,,-263.427,-34.4078,,,
0.15,150.71,1600,0,0,,,-263.429,-34.409,,,
