s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,18.3063204,0.2,0,0.0194981098
0.0004,0.0002,21.6126407,0.2,0,0.0407857895
0.0006,0.0003,24.9189611,0.2,0,0.0616269112
0.0008,0.0004,28.2252815,0.2,0,0.0821833611
0.001,0.0005,31.5316019,0.2,0,0.102593422
0.0012,0.0006,34.8379222,0.4,0,0.121843338
0.0016,0.0008,41.2929458,0.4,0,0.20268321
0.002,0.001,47.075683,0.4,0,0.402477026
0.0024,0.0012,51.8485638,0.4,0,0.67835331
0.0028,0.0014,56.0474244,0.4,0,0.93910718
0.0032,0.0016,59.4531019,0.4,0,1.68960023
0.0036,0.0018,62.2579096,0.8,0,2.39807105
0.0044,0.0022,66.9291808,0.8,0,3.1745832
0.0052,0.0026,70.7688828,0.8,0,3.94668174
0.006,0.003,74.4079519,0.8,0,4.73411751
0.0068,0.0034,77.9915947,0.8,0,5.55932379
0.0076,0.0038,81.4545853,0.8,0,6.75553584
0.0084,0.0042,85.8343938,1,1,8.06565428
0.0094,0.0047,90.1426052,1,1,9.41445327
0.0104,0.0052,93.7682002,1,0,10.2626917
0.0114,0.0057,96.9189107,1,0,11.1993186
0.0124,0.0062,99.8364441,1,0,12.1714132
0.0134,0.0067,102.583963,1,0,13.3149116
0.0144,0.0072,105.247479,1,0,14.3851159
0.0154,0.0077,107.911909,1,0,15.3680887
0.0164,0.0082,110.427457,1,0,16.3111069
0.0174,0.0087,112.742129,1,0,17.2502961
0.0184,0.0092,114.828351,1,0,18.166208
0.0194,0.0097,116.749716,1,0,19.1690004
0.0204,0.0102,118.556734,1,0,20.2770245
0.0214,0.0107,120.24573,1,0,21.6227283
0.0224,0.0112,121.804649,1,0,22.8246236
0.0234,0.0117,123.290808,1,0,23.852973
0.0244,0.0122,124.690143,1,0,24.8364801
0.0254,0.0127,126.028574,1,0,25.81847
0.0264,0.0132,127.302723,1,0,27.0101371
0.0274,0.0137,128.526691,1,0,28.0440218
0.0284,0.0142,129.703669,1,0,29.0028615
0.0294,0.0147,130.821795,1,0,30.4368505
0.0304,0.0152,131.904442,1,0,31.657938
0.0314,0.0157,132.950642,1,0,32.7655442
0.0324,0.0162,133.941221,1,0,33.8119955
0.0334,0.0167,134.889694,1,0,34.9680057
0.0344,0.0172,135.808688,1,0,36.4748039
0.0354,0.0177,136.68196,1,0,37.7573199
0.0364,0.0182,137.523485,1,0,38.955404
0.0374,0.0187,138.369323,1,1,40.4678659
0.0384,0.0192,139.146458,1,1,42.2001147
0.0394,0.0197,139.873936,1,1,43.5366967
0.0404,0.0202,140.565579,1,1,44.8686671
0.0414,0.0207,141.199419,1,1,46.4025059
0.0424,0.0212,141.778653,1,1,47.6781783
0.0434,0.0217,142.32689,1,1,48.8665326
0.0444,0.0222,142.80918,1,1,50.4645109
0.0454,0.0227,143.228898,1,1,51.8250754
