s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,s_min_rel,cond,lam_min_sym_rel
0.0014,56.0474,1600,0,0,,,-92.3737,-25.8955,,,
0.0052,93.7682,1600,0,0,,,-157.034,-28.7516,,,
0.0102,118.557,1600,0,0,,,-203.214,-31.2499,,,
0.0152,131.904,1600,0,0,,,-229.722,-32.4734,,,
0.0202,140.566,1600,0,0,,,-247.404,-33.3267,,,
0.0252,145.005,1600,0,0,,,-256.562,-33.8087,,,
0.0302,146.402,1600,0,0,,,-259.608,-33.9987,,,
0.0352,146.907,1600,0,0,,,-260.764,-34.085,,,
0.0402,147.16,1600,0,0,,,-261.297,-34.1341,,,
0.0452,147.244,1600,0,0,,,-261.473,-34.1588,,,
0.0502,147.232,1600,0,0,,,-261.471,-34.1696,,,
0.0552,147.27,1600,0,0,,,-261.528,-34.1848,,,
0.0602,147.259,1600,0,0,,,-261.512,-34.1921,,,
0.0652,147.182,1600,0,0,,,-261.423,-34.1934,,,
0.0702,147.152,1600,0,0,,,-261.378,-34.196,,,
0.0752,147.16,1600,0,0,,,-261.377,-34.2006,,,
0.0802,147.153,1600,0,0,,,-261.366,-34.2039,,,
0.0852,147.135,1600,0,0,,,-261.341,-34.2064,,,
0.0902,147.109,1600,0,0,,,-261.302,-34.2079,,,
0.0952,147.082,1600,0,0,,,-261.261,-34.209,,,
0.1002,147.081,1600,0,0,,,-261.247,-34.2118,,,
0.1052,147.065,1600,0,0,,,-261.218,-34.2136,,,
0.1102,147.049,1600,0,0,,,-261.184,-34.2145,,,
0.1152,147.055,1600,0,0,,,-261.189,-34.2169,,,
0.1202,147.059,1600,0,0,,,-261.217,-34.218,,,
0.1252,147.052,1600,0,0,,,-261.217,-34.2187,,,
0.1302,147.05,1600,0,0,,,-261.215,-34.2203,,,
0.1352,147.04,1600,0,0,,,-261.202,-34.2205,,,
0.1402,147.04,1600,0,0,,,-261.199,-34.222,,,
0.1452,147.035,1600,0,0,,,-261.192,-34.2229,,,
0.15,147.4,1600,0,0,,,-261.466,-34.2382,,,
