s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
5e-05,5e-05,71.7174691,17.9293673,0.0281254968,0.05,3.2930975
0.0001,0.0001,80.9626541,20.2406635,0.0317511884,0.05,5.31643271
0.00015,0.00015,90.1314171,22.5328543,0.0353469095,0.05,7.48815107
0.0002,0.0002,99.2390798,24.8097699,0.0389186688,0.05,9.80199385
0.00025,0.00025,108.307871,27.0769678,0.0424751839,0.1,12.532048
0.00035,0.00035,126.131923,31.5329807,0.0494652564,0.1,15.5283058
0.0004,0.0004,135.097707,33.7744268,0.0529813752,0.05,36.4802797
0.00045,0.00045,144.022169,36.0055422,0.0564812884,0.05,39.198034
0.0005,0.0005,152.891681,38.2229204,0.0599596523,0.05,41.8867047
0.00055,0.00055,161.713603,40.4284007,0.0634193521,0.05,44.5152934
0.0006,0.0006,170.478612,42.619653,0.0668567329,0.1,47.2592766
0.0007,0.0007,187.747391,46.9368478,0.0736290436,0.1,49.9174881
0.0008,0.0008,204.887805,51.2219512,0.0803510133,0.1,52.5589042
0.0009,0.0009,221.947283,55.4868206,0.0870412422,0.1,55.2035296
0.001,0.001,238.883876,59.720969,0.0936832796,0.1,57.8587446
0.0011,0.0011,255.660708,63.9151769,0.100262663,0.2,60.6765621
0.0013,0.0013,288.47055,72.1176376,0.113129725,0.2,63.502687
0.0015,0.0015,320.935506,80.2338764,0.125861532,0.2,66.5789468
0.0017,0.0017,353.044195,88.2610487,0.138453622,0.2,69.98544
0.0019,0.0019,384.728301,96.1820753,0.150879204,0.2,73.4904981
0.0021,0.0021,416.169944,104.042486,0.163209698,0.4,77.060147
0.0025,0.0025,477.37646,119.344115,0.187213106,0.4,80.9052417
0.0029,0.0029,537.441991,134.360498,0.210769053,0.4,84.795325
0.0033,0.0033,596.66047,149.165118,0.233992811,0.4,89.460398
0.0037,0.0037,654.670019,163.667505,0.256742462,0.4,94.1519763
0.0041,0.0041,711.950241,177.98756,0.279206092,0.4,99.0095887
0.0045,0.0045,768.242831,192.060708,0.301282402,0.4,103.351534
0.0049,0.0049,823.872656,205.968164,0.323098794,0.4,107.945544
0.0053,0.0053,878.541108,219.635277,0.344538165,0.4,112.531546
0.0057,0.0057,932.311818,233.077955,0.365625467,0.4,117.776486
0.0061,0.0061,985.353108,246.338277,0.386426712,0.4,123.099979
0.0065,0.0065,1037.74347,259.435867,0.40697268,0.4,128.906733
0.0069,0.0069,1089.56762,272.391906,0.427296601,0.4,134.54382
0.0073,0.0073,1140.75525,285.188813,0.447370894,0.4,140.359564
0.0077,0.0077,1191.41421,297.853552,0.467237857,0.4,146.256279
0.0081,0.0081,1241.40283,310.350707,0.486841933,0.4,152.17744
0.0085,0.0085,1290.66121,322.665303,0.506159634,0.4,157.956178
0.0089,0.0089,1339.10546,334.776364,0.525158051,0.4,164.06182
0.0093,0.0093,1386.84867,346.712167,0.543881545,0.4,169.409321
0.0097,0.0097,1434.0668,358.5167,0.562399117,0.4,175.20785
0.0101,0.0101,1480.76381,370.190952,0.580712319,0.4,180.612635
0.0105,0.0105,1527.05985,381.764964,0.598868277,0.4,186.665312
0.0109,0.0109,1572.726,393.181499,0.616777204,0.4,192.156953
0.0113,0.0113,1617.88585,404.471463,0.63448758,0.4,198.355889
0.0117,0.0117,1662.54504,415.636261,0.652001612,0.4,204.473389
0.0121,0.0121,1706.69085,426.672712,0.669314306,0.4,210.514531
0.0125,0.0125,1750.41467,437.603668,0.686461513,0.4,216.618918
0.0129,0.0129,1793.69728,448.42432,0.703435689,0.4,222.783388
0.0133,0.0133,1836.47712,459.11928,0.720212692,0.4,229.037236
0.0137,0.0137,1878.85182,469.712954,0.73683081,0.4,235.468995
0.0141,0.0141,1920.84369,480.210924,0.753298799,0.4,241.074203
0.0145,0.0145,1962.45965,490.614913,0.769619362,0.4,247.303842
0.0149,0.0149,2003.53261,500.883152,0.785726976,0.4,253.733429
0.0153,0.0153,2044.16196,511.040489,0.801660619,0.4,259.71041
0.0157,0.0157,2084.35655,521.089137,0.817423764,0.4,266.530769
0.0161,0.0161,2124.17232,531.043081,0.833038349,0.4,272.738156
