s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
2.5e-05,2.5e-05,66.8277954,16.7069489,0.0262079096,0.025,36.1913407,0.0019810502
5e-05,5e-05,71.1618572,17.7904643,0.0279076021,0.025,40.2251067,0.00205531436
7.5e-05,7.5e-05,75.4789521,18.869738,0.0296006407,0.025,44.0464339,0.00208941668
0.0001,0.0001,79.762618,19.9406545,0.0312805693,0.025,48.5049989,0.0021197054
0.000125,0.000125,84.0142384,21.0035596,0.0329479307,0.05,52.5821891,0.00215084665
0.000175,0.000175,92.3787475,23.0946869,0.0362282468,0.05,56.36184,0.0022191129
0.000225,0.000225,100.679561,25.1698902,0.0394835834,0.05,59.8667235,0.00228772677
0.000275,0.000275,108.926295,27.2315738,0.0427177117,0.05,64.3077335,0.00235855073
0.000325,0.000325,117.127217,29.2818042,0.0459338737,0.05,70.0163193,0.00243111363
0.000375,0.000375,125.271353,31.3178384,0.0491277662,0.1,76.1119626,0.00250325023
0.000475,0.000475,141.198363,35.2995908,0.0553738744,0.1,82.1540673,0.00265281136
0.000575,0.000575,156.941226,39.2353066,0.0615477655,0.1,87.6094861,0.0028023843
0.000675,0.000675,172.541295,43.1353238,0.0676656569,0.1,93.2542846,0.00295529846
0.000775,0.000775,188.004594,47.0011485,0.073729911,0.1,98.609854,0.00311095718
0.000875,0.000875,203.305596,50.8263991,0.0797305174,0.2,104.531181,0.0032674634
0.001075,0.001075,233.047178,58.2617945,0.091394297,0.2,110.877311,0.00359454301
0.001275,0.001275,262.403881,65.6009702,0.102907138,0.2,117.012464,0.00392391913
0.001475,0.001475,291.270416,72.817604,0.114227751,0.2,123.037033,0.0042551044
0.001575,0.001575,305.700724,76.425181,0.119886896,0.1,169.728302,0.0044179388
0.001675,0.001675,320.048892,80.012223,0.125513828,0.1,173.377039,0.00458928523
0.001775,0.001775,334.313873,83.5784682,0.131108137,0.1,177.247897,0.0047614386
0.001875,0.001875,348.461458,87.1153646,0.136656407,0.1,181.739592,0.00493318354
0.001975,0.001975,362.498901,90.6247252,0.142161482,0.2,186.166978,0.00510474467
