s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
1.25e-05,1.25e-05,65.0061176,16.2515294,0.0254935008,0.0125,61.8468924,0.26803249
2.5e-05,2.5e-05,67.2123615,16.8030904,0.0263587252,0.0125,65.8653338,0.510970916
3.125e-05,3.125e-05,68.681211,17.1703027,0.0269347651,0.00625,95.991904,0.665228405
3.75e-05,3.75e-05,69.6179589,17.4044897,0.0273021303,0.00625,99.7930164,0.772169574
4.375e-05,4.375e-05,70.9924874,17.7481219,0.0278411802,0.00625,103.781729,0.919273063
5e-05,5e-05,72.0338481,18.008462,0.0282495715,0.00625,108.463681,1.03581162
5.625e-05,5.625e-05,73.3403191,18.3350798,0.0287619312,0.0125,112.472785,1.17928096
6.875e-05,6.875e-05,75.5432635,18.8858159,0.0296258617,0.0125,116.849675,1.42789709
8.125e-05,8.125e-05,77.9159148,19.4789787,0.0305563462,0.0125,120.970151,1.69643376
9.375e-05,9.375e-05,80.1265416,20.0316354,0.0314232895,0.0125,124.833633,1.94900263
0.00010625,0.00010625,82.3973273,20.5993318,0.0323138253,0.0125,129.002452,2.21027459
0.00011875,0.00011875,84.6005515,21.1501379,0.0331778655,0.025,133.194554,2.46395309
0.00014375,0.00014375,88.9747317,22.2436829,0.0348932913,0.025,138.132592,2.97201466
0.00016875,0.00016875,93.2568283,23.3142071,0.0365726045,0.025,142.327493,3.47228358
0.00019375,0.00019375,97.4677176,24.3669294,0.0382239923,0.025,146.894383,3.97024433
0.00021875,0.00021875,101.58387,25.3959675,0.039838227,0.025,151.908243,4.4642839
0.00024375,0.00024375,105.619889,26.4049723,0.0414210359,0.05,156.867435,4.95623888
0.00029375,0.00029375,113.407424,28.3518561,0.0444750798,0.05,162.088314,5.91306111
0.00034375,0.00034375,120.93321,30.2333025,0.0474264731,0.05,166.817954,6.84350206
0.00039375,0.00039375,128.18171,32.0454274,0.0502691229,0.05,171.888459,7.75352793
0.00044375,0.00044375,135.174125,33.7935312,0.0530113439,0.05,177.054574,8.64618287
0.00049375,0.00049375,141.9408,35.4852,0.0556650363,0.1,181.968915,9.51719095
0.00059375,0.00059375,154.657007,38.6642517,0.0606519613,0.1,186.898427,11.1664156
0.00069375,0.00069375,166.630184,41.6575459,0.0653474915,0.1,192.377171,12.7346179
0.00079375,0.00079375,177.899156,44.4747889,0.0697668532,0.1,197.623108,14.2309815
0.00089375,0.00089375,188.561044,47.140261,0.0739481345,0.1,203.356725,15.6508062
0.00099375,0.00099375,198.634704,49.658676,0.0778987298,0.2,209.133467,17.0001469
0.00119375,0.00119375,216.994099,54.2485247,0.0850987482,0.2,215.591086,19.4734838
0.00139375,0.00139375,233.660323,58.4150809,0.0916347548,0.2,222.976398,21.7411021
0.00159375,0.00159375,248.803525,62.2008814,0.0975734763,0.2,230.479797,23.814224
0.00179375,0.00179375,262.619898,65.6549745,0.102991854,0.2,238.085481,25.730036
0.00199375,0.00199375,275.276665,68.8191663,0.107955469,0.4,245.616968,27.5112726
0.00239375,0.00239375,297.206522,74.3016304,0.116555718,0.4,254.278248,30.6381468
0.00279375,0.00279375,315.826903,78.9567258,0.123858088,0.4,263.084459,33.3981586
0.00319375,0.00319375,331.792523,82.9481308,0.130119338,0.4,272.511071,35.8468465
0.00359375,0.00359375,345.671276,86.417819,0.135562179,0.4,282.986126,38.0238098
0.00399375,0.00399375,357.872855,89.4682137,0.140347282,0.4,293.164799,39.9742152
0.00439375,0.00439375,368.514807,92.1287016,0.144520745,0.4,303.488394,41.739042
0.00479375,0.00479375,377.77867,94.4446675,0.148153761,0.4,315.592168,43.3411979
0.00519375,0.00519375,385.952085,96.4880212,0.151359136,0.4,326.72898,44.7996604
0.00559375,0.00559375,393.175902,98.2939755,0.154192106,0.4,337.703688,46.139796
0.00599375,0.00599375,399.641831,99.9104578,0.156727855,0.4,349.026893,47.3678282
0.00639375,0.00639375,405.465731,101.366433,0.159011818,0.4,360.461964,48.4952758
0.00679375,0.00679375,410.67445,102.668612,0.161054525,0.4,374.242854,49.5236595
0.00719375,0.00719375,415.357011,103.839253,0.162890889,0.4,388.849504,50.4733122
0.00759375,0.00759375,419.568391,104.892098,0.164542469,0.4,403.228431,51.3501731
0.00799375,0.00799375,423.41371,105.853427,0.166050491,0.4,417.094537,52.1698731
0.00839375,0.00839375,426.957297,106.739324,0.167440183,0.4,432.067316,52.9344512
0.00879375,0.00879375,430.202134,107.550533,0.168712713,0.4,445.994432,53.6522179
0.00919375,0.00919375,433.16391,108.290978,0.169874235,0.4,459.821259,54.3326803
0.00959375,0.00959375,435.892452,108.973113,0.17094429,0.4,473.894251,54.9717881
0.00999375,0.00999375,438.419596,109.604899,0.171935362,0.4,486.788288,55.5748805
0.01039375,0.01039375,440.767191,110.191798,0.17285602,0.4,501.790871,56.1356893
0.01079375,0.01079375,442.966865,110.741716,0.173718668,0.4,516.04764,56.6605648
0.01119375,0.01119375,445.021768,111.255442,0.174524541,0.4,531.305605,57.1556582
0.01159375,0.01159375,446.919058,111.729764,0.175268602,0.4,546.028791,57.6189974
0.01199375,0.01199375,448.708501,112.177125,0.17597037,0.4,560.514847,58.0508124
0.01239375,0.01239375,450.416006,112.604002,0.176640003,0.4,574.837586,58.4580463
0.01279375,0.01279375,452.03865,113.009662,0.177276357,0.4,590.578364,58.8430679
0.01319375,0.01319375,453.556128,113.389032,0.177871467,0.4,605.36195,59.2070703
0.01359375,0.01359375,455.001717,113.750429,0.178438385,0.4,622.486554,59.5518787
0.01399375,0.01399375,456.395449,114.098862,0.178984966,0.4,637.60483,59.8778574
0.01439375,0.01439375,457.73216,114.43304,0.179509185,0.4,655.62648,60.1868142
0.01479375,0.01479375,459.018968,114.754742,0.180013834,0.4,670.808619,60.4790847
0.01519375,0.01519375,460.258438,115.064609,0.180499917,0.4,686.39076,60.7563171
0.01559375,0.01559375,461.466004,115.366501,0.18097349,0.4,702.447576,61.0213477
0.01599375,0.01599375,462.637896,115.659474,0.181433071,0.4,719.674093,61.275278
0.01639375,0.01639375,463.780213,115.945053,0.181881055,0.4,735.215748,61.5186231
0.01679375,0.01679375,464.893401,116.22335,0.182317615,0.4,753.029976,61.7519325
0.01699375,0.01699375,465.438261,116.359565,0.182531293,0.2,796.858462,61.8655073
0.01719375,0.01719375,465.973026,116.493256,0.182741012,0.2,813.757742,61.9765096
0.01739375,0.01739375,466.496051,116.624013,0.182946127,0.2,831.069047,62.0853412
0.01759375,0.01759375,467.009471,116.752368,0.183147475,0.2,847.160912,62.1921637
0.01779375,0.01779375,467.509818,116.877455,0.183343697,0.4,864.185185,62.2970915
0.01819375,0.01819375,468.483051,117.120763,0.18372537,0.4,882.395404,62.5000606
0.01859375,0.01859375,469.430675,117.357669,0.184097001,0.4,901.954169,62.6950805
0.01899375,0.01899375,470.352111,117.588028,0.184458361,0.4,920.217337,62.8826324
0.01939375,0.01939375,471.243614,117.810903,0.184807983,0.4,934.991229,63.063433
0.01979375,0.01979375,472.094714,118.023679,0.185141759,0.4,950.804189,63.2385949
0.02019375,0.02019375,472.913085,118.228271,0.1854627,0.4,967.275024,63.4075113
0.02059375,0.02059375,473.713095,118.428274,0.185776441,0.4,984.88971,63.5700089
0.02099375,0.02099375,474.498621,118.624655,0.186084501,0.4,1000.4844,63.7268141
0.02139375,0.02139375,475.269951,118.817488,0.186386994,0.4,1016.82825,63.8781125
0.02179375,0.02179375,476.028249,119.007062,0.186684377,0.4,1032.10658,64.023956
0.02219375,0.02219375,476.770003,119.192501,0.186975271,0.4,1048.1242,64.1655738
0.02259375,0.02259375,477.49869,119.374672,0.187261041,0.4,1063.64029,64.3026428
0.02299375,0.02299375,478.211717,119.552929,0.187540669,0.4,1079.23852,64.4353769
0.02339375,0.02339375,478.913908,119.728477,0.187816048,0.4,1095.31024,64.563683
