s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
5e-05,5e-05,71.7174691,17.9293673,0.0281254968,0.05,7.22797084
0.0001,0.0001,80.9626541,20.2406635,0.0317511884,0.05,11.9721336
0.00015,0.00015,90.1314168,22.5328542,0.0353469094,0.05,17.1392717
0.0002,0.0002,99.2390792,24.8097698,0.0389186686,0.05,21.9211271
0.00025,0.00025,108.307871,27.0769678,0.0424751839,0.1,27.8626382
0.00035,0.00035,126.131922,31.5329806,0.0494652562,0.1,34.0564396
0.0004,0.0004,135.097707,33.7744268,0.0529813753,0.05,78.2793877
0.00045,0.00045,144.022169,36.0055422,0.0564812884,0.05,84.3975732
0.0005,0.0005,152.891682,38.2229204,0.0599596523,0.05,90.1231873
0.00055,0.00055,161.713603,40.4284007,0.0634193522,0.05,96.5179513
0.0006,0.0006,170.478612,42.6196531,0.0668567329,0.1,102.501083
0.0007,0.0007,187.747391,46.9368478,0.0736290437,0.1,108.473174
0.0008,0.0008,204.887805,51.2219512,0.0803510133,0.1,114.076374
0.0009,0.0009,221.947283,55.4868206,0.0870412422,0.1,120.277139
0.001,0.001,238.883876,59.720969,0.0936832796,0.1,126.471221
0.0011,0.0011,255.660707,63.9151768,0.100262663,0.2,132.39119
0.0013,0.0013,288.470551,72.1176377,0.113129725,0.2,139.527006
0.0015,0.0015,320.935506,80.2338765,0.125861532,0.2,146.258543
0.0017,0.0017,353.044195,88.2610487,0.138453623,0.2,153.445507
0.0019,0.0019,384.728303,96.1820756,0.150879204,0.2,160.582957
0.0021,0.0021,416.169942,104.042486,0.163209697,0.4,167.839614
0.0025,0.0025,477.37646,119.344115,0.187213106,0.4,176.397519
0.0029,0.0029,537.442004,134.360501,0.210769058,0.4,184.714249
0.0033,0.0033,596.660458,149.165115,0.233992806,0.4,193.892032
0.0037,0.0037,654.670006,163.667501,0.256742457,0.4,204.197241
0.0041,0.0041,711.930508,177.982627,0.279198353,0.4,214.076667
0.0045,0.0045,768.240806,192.060202,0.301281608,0.4,224.106685
0.0049,0.0049,823.870526,205.967631,0.323097959,0.4,234.300406
