s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
5e-05,5e-05,72.7496909,18.1874227,0.0285303041,0.05,3.36201596,0.860470407
0.0001,0.0001,82.529518,20.6323795,0.0323656667,0.05,6.65723538,1.70396749
0.00015,0.00015,92.1064667,23.0266167,0.0361214663,0.05,9.17760277,2.54200924
0.0002,0.0002,101.227484,25.3068711,0.039698463,0.05,11.8567967,3.34755752
0.00025,0.00025,110.242535,27.5606336,0.0432339024,0.1,14.4682989,4.15454534
0.00035,0.00035,126.910118,31.7275294,0.0497704417,0.1,18.903856,5.67160919
0.00045,0.00045,142.731773,35.6829432,0.0559752328,0.1,21.6977727,7.13509874
0.0005,0.0005,150.28147,37.5703676,0.0589360036,0.05,40.7558599,7.84253723
0.00055,0.00055,157.72592,39.43148,0.0618554995,0.05,43.4187021,8.53772918
0.0006,0.0006,164.857493,41.2143732,0.0646522941,0.05,46.1322284,9.20509568
0.00065,0.00065,171.864302,42.9660754,0.0674001598,0.05,50.4661963,9.86337029
0.0007,0.0007,178.612343,44.6530857,0.0700465445,0.1,53.2375007,10.5034847
0.00075,0.00075,185.242074,46.3105185,0.0726465315,0.05,72.2124219,11.1334133
0.0008,0.0008,191.653622,47.9134055,0.0751609532,0.05,74.9092498,11.7405912
0.00085,0.00085,197.951786,49.4879464,0.0776309091,0.05,77.8768873,12.3342151
0.0009,0.0009,204.051784,51.0129459,0.0800231502,0.05,80.57024,12.9066595
0.00095,0.00095,210.040181,52.5100452,0.0823716246,0.1,85.0068512,13.4681539
0.00105,0.00105,221.477073,55.3692683,0.0868568398,0.1,88.2101259,14.54281
0.00115,0.00115,232.490727,58.1226818,0.0911760734,0.1,92.1909394,15.5710654
0.00125,0.00125,243.067878,60.7669695,0.0953241229,0.1,95.9322569,16.5419072
0.00135,0.00135,253.251101,63.3127752,0.0993176856,0.1,99.1910214,17.4596073
0.00145,0.00145,263.089646,65.7724115,0.103176076,0.2,102.579273,18.3338616
0.00165,0.00165,281.746962,70.4367406,0.11049293,0.2,107.82866,19.9654166
0.00185,0.00185,299.448672,74.862168,0.117435024,0.2,111.559058,21.4499403
0.00205,0.00205,316.270034,79.0675085,0.124031871,0.2,116.782519,22.7912593
0.00225,0.00225,332.47112,83.11778,0.130385463,0.2,120.631834,24.0361862
0.00245,0.00245,348.225489,87.0563722,0.136563867,0.4,124.524298,25.2041421
0.00285,0.00285,378.155111,94.5387778,0.148301391,0.4,130.281625,27.2219726
0.00325,0.00325,406.945258,101.736315,0.159592045,0.4,135.517207,28.9307593
0.00365,0.00365,434.932424,108.733106,0.170567794,0.4,140.912288,30.4443403
0.00405,0.00405,462.353031,115.588258,0.181321356,0.4,145.653714,31.7804651
0.00445,0.00445,488.938076,122.234519,0.191747234,0.4,151.734241,32.9318675
0.00485,0.00485,514.863045,128.715761,0.20191425,0.4,157.451423,33.9349125
0.00525,0.00525,540.503791,135.125948,0.211969801,0.4,163.28745,34.8300622
0.00565,0.00565,565.89072,141.47268,0.221925813,0.4,168.263225,35.6273809
0.00605,0.00605,590.874686,147.718672,0.231723795,0.4,174.534055,36.330814
0.00625,0.00625,603.318205,150.829551,0.23660378,0.2,196.9657,36.6516906
0.00645,0.00645,615.701432,153.925358,0.24146012,0.2,202.484117,36.9473924
0.00665,0.00665,628.013768,157.003442,0.246288659,0.2,207.380991,37.2193531
0.00685,0.00685,640.294095,160.073524,0.251104644,0.2,211.941928,37.4687943
0.00705,0.00705,652.564845,163.141211,0.255916874,0.4,217.909341,37.6902356
0.00745,0.00745,676.952595,169.238149,0.265481037,0.4,223.988579,38.0345008
0.00785,0.00785,701.181216,175.295304,0.274982795,0.4,229.989986,38.323731
0.00825,0.00825,725.286575,181.321644,0.284436213,0.4,235.665387,38.5672652
0.00865,0.00865,749.367703,187.341926,0.293880128,0.4,241.833343,38.7708323
0.00905,0.00905,773.35129,193.337823,0.30328579,0.4,248.388743,38.9325773
0.00945,0.00945,797.297687,199.324422,0.312676867,0.4,254.152997,39.0452549
0.00985,0.00985,821.187184,205.296796,0.322045631,0.4,260.660585,39.1037214
0.01025,0.01025,845.000051,211.250013,0.331384342,0.4,266.309207,39.1098985
0.01065,0.01065,868.718185,217.179546,0.340685901,0.4,272.588304,39.0723239
0.01105,0.01105,892.35887,223.089718,0.349957088,0.4,277.962936,38.9652329
0.01145,0.01145,915.973519,228.99338,0.359218063,0.4,284.816417,38.7857244
0.01185,0.01185,939.567058,234.891764,0.36847076,0.4,291.258602,38.5725661
0.01225,0.01225,963.141701,240.785425,0.377716046,0.4,297.620095,38.3300234
0.01265,0.01265,986.690534,246.672633,0.386951211,0.4,304.228431,38.0525385
0.01305,0.01305,1010.28368,252.57092,0.396203753,0.4,311.68385,37.7438833
0.01345,0.01345,1033.8913,258.472824,0.405461971,0.4,319.587089,37.4113953
0.01385,0.01385,1057.53266,264.383164,0.414733422,0.4,325.348384,37.0614158
0.01425,0.01425,1081.1563,270.289076,0.423997927,0.4,332.163978,36.6959603
0.01465,0.01465,1104.79706,276.199265,0.433269141,0.4,338.172377,36.3067592
0.01505,0.01505,1128.44423,282.111058,0.442542871,0.4,344.982967,35.8950692
0.01545,0.01545,1152.1261,288.031526,0.45183021,0.4,351.389878,35.4625932
0.01585,0.01585,1175.80998,293.952496,0.461118336,0.4,359.08838,35.0114103
0.01625,0.01625,1199.49776,299.87444,0.47040799,0.4,368.979595,34.5421067
0.01665,0.01665,1223.23026,305.807566,0.479715185,0.4,375.089998,34.0567441
0.01705,0.01705,1246.99103,311.747757,0.489033462,0.4,382.227803,33.5536453
0.01745,0.01745,1270.78507,317.696268,0.498364792,0.4,390.983566,33.0232021
0.01785,0.01785,1294.60584,323.65146,0.507706601,0.4,396.762038,32.4788785
0.01825,0.01825,1318.4328,329.6082,0.517050839,0.4,403.873165,31.9213836
0.01835,0.01835,1324.41607,331.104019,0.519397305,0.1,444.659769,31.7793761
0.01845,0.01845,1330.40186,332.600465,0.521744756,0.1,452.993067,31.6362662
0.01855,0.01855,1336.38782,334.096954,0.524092272,0.1,459.880763,31.4918009
0.01865,0.01865,1342.37504,335.59376,0.526440286,0.1,466.873932,31.3465807
0.01875,0.01875,1348.36453,337.091132,0.528789189,0.2,471.810633,31.20053
0.01895,0.01895,1360.33333,340.083331,0.533483002,0.2,479.580251,30.9073509
0.01905,0.01905,1366.33145,341.582862,0.535835289,0.1,502.628309,30.7591054
0.01915,0.01915,1372.33145,343.082864,0.538188317,0.1,507.56571,30.6101517
0.01925,0.01925,1378.33422,344.583554,0.540542426,0.1,513.871951,30.460562
0.01935,0.01935,1384.33953,346.084884,0.542897536,0.1,518.936393,30.3104403
0.01945,0.01945,1390.34762,347.586904,0.54525373,0.2,528.217238,30.1600273
0.01955,0.01955,1396.35257,349.088142,0.547608697,0.1,550.571959,30.0094396
0.01965,0.01965,1402.35449,350.588621,0.549962473,0.1,555.566582,29.8579295
0.01975,0.01975,1408.35904,352.089761,0.552317285,0.1,562.187023,29.7061199
0.01985,0.01985,1414.36443,353.591109,0.554672424,0.1,567.219777,29.5536624
0.01995,0.01995,1420.37288,355.09322,0.557028761,0.2,573.4526,29.4008135
0.02015,0.02015,1432.36063,358.090158,0.561730008,0.2,581.141754,29.0953368
0.02025,0.02025,1438.36005,359.590012,0.564082803,0.1,603.064346,28.9417585
0.02035,0.02035,1444.35692,361.08923,0.566434601,0.1,609.66854,28.7876267
0.02045,0.02045,1450.35558,362.588895,0.568787101,0.1,614.912073,28.6328127
0.02055,0.02055,1456.3562,364.08905,0.571140369,0.1,621.319759,28.4775221
0.02065,0.02065,1462.36006,365.590015,0.573494907,0.2,626.281788,28.3218136
0.02075,0.02075,1468.36263,367.090659,0.575848941,0.1,649.17453,28.1657856
0.02085,0.02085,1474.36085,368.590212,0.578201265,0.1,655.29424,28.0091645
0.02095,0.02095,1480.36134,370.090336,0.580554485,0.1,660.723158,27.8519831
0.02105,0.02105,1486.36214,371.590535,0.582907823,0.1,667.907615,27.6940828
0.02115,0.02115,1492.36195,373.090488,0.585260772,0.2,675.51921,27.5351146
0.02125,0.02125,1498.36523,374.591307,0.587615082,0.1,701.308202,27.3754502
0.02135,0.02135,1504.37133,376.092832,0.589970499,0.1,707.811458,27.2152858
0.02145,0.02145,1510.38002,377.595006,0.592326934,0.1,713.105283,27.0547034
0.02155,0.02155,1516.38945,379.097363,0.594683657,0.1,719.067802,26.8935551
0.02165,0.02165,1522.39972,380.59993,0.597040708,0.2,724.544093,26.7317737
0.02175,0.02175,1528.4121,382.103025,0.599398589,0.1,746.650573,26.5695073
0.02185,0.02185,1534.42484,383.606209,0.601756608,0.1,751.691102,26.4062221
0.02195,0.02195,1540.43872,385.10968,0.604115078,0.1,757.883163,26.2424292
0.02205,0.02205,1546.4568,386.6142,0.606475192,0.1,764.191222,26.0784873
0.02215,0.02215,1552.47605,388.119012,0.608835766,0.2,772.698979,25.9140122
0.02225,0.02225,1558.49531,389.623827,0.611196343,0.1,798.169132,25.7493905
0.02235,0.02235,1564.51412,391.12853,0.613556745,0.1,804.808218,25.5840332
0.02245,0.02245,1570.53438,392.633595,0.615917716,0.1,810.100969,25.4181501
0.02255,0.02255,1576.55525,394.138812,0.618278925,0.1,815.672514,25.2515272
0.02265,0.02265,1582.57779,395.644447,0.62064079,0.2,821.715993,25.0842832
0.02275,0.02275,1588.60073,397.150182,0.62300281,0.1,844.166601,24.9164092
0.02285,0.02285,1594.62475,398.656189,0.625365258,0.1,849.256685,24.7480172
0.02295,0.02295,1600.65238,400.163094,0.627729114,0.1,855.973384,24.5792626
0.02305,0.02305,1606.68299,401.670746,0.630094144,0.1,861.707424,24.4101023
0.02315,0.02315,1612.71449,403.178623,0.632459524,0.2,868.662242,24.2405514
0.02325,0.02325,1618.74803,404.687009,0.634825703,0.1,891.200611,24.0705429
0.02335,0.02335,1624.78288,406.195719,0.637192392,0.1,896.5296,23.8997646
0.02345,0.02345,1630.81899,407.704748,0.639559581,0.1,902.84568,23.7283487
0.02355,0.02355,1636.85755,409.214387,0.641927726,0.1,908.055189,23.5565362
0.02365,0.02365,1642.8988,410.7247,0.644296929,0.2,914.021506,23.3843503
0.02375,0.02375,1648.94293,412.235732,0.646667259,0.1,935.229683,23.2116963
0.02385,0.02385,1654.98963,413.747407,0.649038598,0.1,941.68568,23.0386502
0.02395,0.02395,1661.03767,415.259419,0.651410465,0.1,946.833868,22.8649939
0.02405,0.02405,1667.08698,416.771745,0.653782827,0.1,953.09714,22.690779
0.02415,0.02415,1673.13775,418.284436,0.65615576,0.2,958.237213,22.5158395
0.02435,0.02435,1685.22466,421.306165,0.660895895,0.2,967.78555,22.1653835
0.02445,0.02445,1691.27737,422.819343,0.663269592,0.1,990.46733,21.9890355
0.02455,0.02455,1697.33323,424.333309,0.665644524,0.1,996.08729,21.8121922
0.02465,0.02465,1703.39166,425.847916,0.668020463,0.1,1002.97808,21.634869
0.02475,0.02475,1709.45192,427.362981,0.670397119,0.1,1008.65052,21.4570249
0.02485,0.02485,1715.51374,428.878436,0.672774389,0.2,1014.98859,21.278653
0.02495,0.02495,1721.57829,430.394573,0.675152727,0.1,1037.82029,21.0998679
0.02505,0.02505,1727.64472,431.911179,0.677531801,0.1,1043.20816,20.9206009
0.02515,0.02515,1733.71124,433.42781,0.679910914,0.1,1049.83354,20.7409083
0.02525,0.02525,1739.77891,434.944727,0.682290477,0.1,1055.43233,20.560705
0.02535,0.02535,1745.8492,436.4623,0.684671068,0.2,1062.5042,20.3801964
0.02545,0.02545,1751.92119,437.980298,0.687052326,0.1,1085.0741,20.1990728
0.02555,0.02555,1757.99535,439.498837,0.689434433,0.1,1090.47529,20.0174964
0.02565,0.02565,1764.07173,441.017931,0.691817411,0.1,1096.88989,19.8354563
0.02575,0.02575,1770.14965,442.537413,0.694200996,0.1,1102.33991,19.6528729
0.02585,0.02585,1776.22801,444.057003,0.696584752,0.2,1108.65298,19.4695935
0.02595,0.02595,1782.30752,445.576879,0.698968955,0.1,1130.36309,19.2857599
0.02605,0.02605,1788.38932,447.09733,0.701354061,0.1,1136.72344,19.1014226
0.02615,0.02615,1794.47291,448.618226,0.703739866,0.1,1142.7151,18.9166393
0.02625,0.02625,1800.55865,450.139662,0.706126517,0.1,1148.83603,18.7315456
0.02635,0.02635,1806.64741,451.661853,0.708514352,0.2,1154.70246,18.5461575
0.02645,0.02645,1812.73535,453.183836,0.710901861,0.1,1179.81894,18.3599749
0.02655,0.02655,1818.82505,454.706262,0.713290065,0.1,1186.37089,18.173458
0.0266,0.0266,1821.87332,455.468331,0.714485509,0.05,1208.76795,18.0799784
0.02665,0.02665,1824.92187,456.230467,0.71568106,0.05,1213.71811,17.9864033
0.0267,0.0267,1827.9703,456.992575,0.716876565,0.05,1219.93499,17.8927014
0.02675,0.02675,1831.01911,457.754777,0.718072218,0.05,1225.22764,17.7989046
0.0268,0.0268,1834.06805,458.517013,0.719267926,0.1,1230.23437,17.7050131
0.02685,0.02685,1837.11756,459.279389,0.720463852,0.05,1252.52553,17.611058
0.0269,0.0269,1840.16781,460.041952,0.721660073,0.05,1258.78754,17.5170237
0.02695,0.02695,1843.2194,460.804851,0.722856819,0.05,1263.78363,17.4229625
0.027,0.027,1846.27208,461.568019,0.724053988,0.05,1269.96233,17.3288716
0.02705,0.02705,1849.32573,462.331432,0.725251541,0.1,1275.17672,17.2346996
0.02715,0.02715,1855.43104,463.857761,0.727645867,0.1,1281.69286,17.044369
0.02725,0.02725,1861.53685,465.384212,0.730040385,0.1,1286.9683,16.8525659
0.02735,0.02735,1867.64647,466.911618,0.732436402,0.1,1293.42126,16.6605789
0.02745,0.02745,1873.757,468.439249,0.73483277,0.1,1298.78034,16.4683561
0.02755,0.02755,1879.86994,469.967484,0.737230087,0.2,1305.63207,16.2759277
0.02765,0.02765,1885.98512,471.49628,0.739628284,0.1,1329.12486,16.0832459
0.02775,0.02775,1892.10259,473.025648,0.742027378,0.1,1335.3135,15.8904166
0.02785,0.02785,1898.22241,474.555603,0.744427392,0.1,1341.99498,15.6974042
0.02795,0.02795,1904.33936,476.08484,0.746826281,0.1,1347.82199,15.5046205
0.02805,0.02805,1910.45668,477.614169,0.749225314,0.2,1353.99521,15.31144
0.02815,0.02815,1916.57376,479.143441,0.751624257,0.1,1376.56835,15.1176995
0.02825,0.02825,1922.69192,480.672979,0.754023618,0.1,1383.02,14.9234819
0.02835,0.02835,1928.81147,482.202868,0.756423528,0.1,1388.62867,14.728903
0.02845,0.02845,1934.93074,483.732684,0.758823325,0.1,1394.83027,14.5337742
0.02855,0.02855,1941.05206,485.263016,0.761223931,0.2,1400.363,14.3383924
0.02865,0.02865,1947.17308,486.793271,0.763624416,0.1,1423.61779,14.1426108
0.02875,0.02875,1953.29559,488.323897,0.766025483,0.1,1430.16448,13.9464933
0.02885,0.02885,1959.42016,489.85504,0.768427362,0.1,1435.35392,13.7500818
0.02895,0.02895,1965.54593,491.386482,0.770829709,0.1,1441.87965,13.5534014
0.02905,0.02905,1971.67267,492.918167,0.773232437,0.2,1447.14138,13.3562448
0.02915,0.02915,1977.79815,494.449538,0.775634673,0.1,1469.66532,13.158165
0.02925,0.02925,1983.92555,495.981387,0.778037659,0.1,1475.95624,12.9598386
0.02935,0.02935,1990.05392,497.513481,0.78044103,0.1,1481.23667,12.761219
0.02945,0.02945,1996.18285,499.045712,0.782844614,0.1,1487.69153,12.5623668
0.02955,0.02955,2002.31119,500.577796,0.785247969,0.2,1493.27031,12.3631141
0.02965,0.02965,2008.43861,502.109651,0.787650964,0.1,1519.21919,12.1634518
0.02975,0.02975,2014.56683,503.641707,0.790054274,0.1,1527.77153,11.9635646
0.02985,0.02985,2020.6969,505.174226,0.792458311,0.1,1533.22853,11.7635263
0.02995,0.02995,2026.82649,506.706623,0.794862156,0.1,1540.82873,11.5632245
0.03005,0.03005,2032.95775,508.239437,0.797266656,0.2,1546.68801,11.3625948
0.03015,0.03015,2039.0904,509.772601,0.799671705,0.1,1571.96712,11.1615805
0.03025,0.03025,2045.22436,511.306091,0.802077264,0.1,1578.2643,10.9603423
0.03035,0.03035,2051.35884,512.839709,0.804483025,0.1,1583.6819,10.7587295
0.03045,0.03045,2057.49449,514.373622,0.806889248,0.1,1591.04689,10.5568419
0.03055,0.03055,2063.63124,515.907811,0.809295905,0.2,1597.53735,10.354793
0.03065,0.03065,2069.76849,517.442123,0.811702755,0.1,1633.87571,10.1525262
0.03075,0.03075,2075.90632,518.976581,0.814109833,0.1,1644.41657,9.95006959
0.03085,0.03085,2082.04164,520.510409,0.816515924,0.1,1652.87171,9.74721547
0.03095,0.03095,2088.17893,522.044732,0.81892279,0.1,1664.02638,9.54423122
0.03105,0.03105,2094.31808,523.579519,0.821330385,0.2,1672.84273,9.34111465
0.03115,0.03115,2100.45857,525.114644,0.823738509,0.1,1726.54242,9.13770249
0.03125,0.03125,2106.60095,526.650238,0.82614737,0.1,1740.39104,8.93422354
0.03135,0.03135,2112.7442,528.18605,0.828556573,0.1,1751.80655,8.73084953
0.03145,0.03145,2118.88878,529.722196,0.830966299,0.1,1766.53541,8.52732536
0.03155,0.03155,2125.03544,531.258859,0.833376836,0.2,1789.66976,8.32364994
0.03165,0.03165,2131.18358,532.795896,0.83578796,0.1,1882.40722,8.1197657
0.03175,0.03175,2137.33356,534.333391,0.838199803,0.1,1891.83415,7.9157095
0.03185,0.03185,2143.48549,535.871373,0.840612409,0.1,1903.36077,7.71152263
0.03195,0.03195,2149.63869,537.409672,0.843025513,0.1,1914.30733,7.50703322
