s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
2.5e-05,2.5e-05,67.1358188,16.7839547,0.0263287074,0.025,21.2203898
5e-05,5e-05,71.7970267,17.9492567,0.028156697,0.025,23.0928142
7.5e-05,7.5e-05,76.4598466,19.1149616,0.0299853188,0.025,24.9641948
0.0001,0.0001,81.1102649,20.2775662,0.0318090771,0.025,26.831461
0.000125,0.000125,85.7397503,21.4349376,0.033624626,0.05,28.7408359
0.000175,0.000175,94.8849922,23.7212481,0.0372111228,0.05,30.6870806
0.000225,0.000225,103.979829,25.9949573,0.0407778523,0.05,32.9439592
0.000275,0.000275,113.037247,28.2593117,0.0443299069,0.05,35.205548
0.000325,0.000325,122.057015,30.5142539,0.0478671968,0.05,37.4138343
0.000375,0.000375,131.046683,32.7616707,0.0513926818,0.1,39.5030217
0.000475,0.000475,148.715709,37.1789273,0.058321958,0.1,41.6254599
0.000575,0.000575,166.202068,41.550517,0.0651795971,0.1,43.7515657
0.000675,0.000675,183.525222,45.8813054,0.0719732321,0.1,45.9154401
0.000775,0.000775,200.72611,50.1815276,0.0787189182,0.1,48.0665574
0.000875,0.000875,217.842611,54.4606527,0.0854315099,0.2,50.2602942
0.001075,0.001075,251.201556,62.8003889,0.0985139137,0.2,52.6605771
0.001275,0.001275,284.148087,71.0370218,0.111434581,0.2,55.3602335
0.001475,0.001475,316.745303,79.1863258,0.124218257,0.2,58.0582006
0.001675,0.001675,349.021178,87.2552946,0.136875913,0.2,60.8485293
0.001875,0.001875,380.859298,95.2148246,0.149361894,0.4,63.5201955
0.002075,0.002075,412.469463,103.117366,0.161758477,0.2,81.0619659
0.002275,0.002275,443.803122,110.950781,0.174046623,0.2,83.50267
0.002475,0.002475,474.836885,118.709221,0.186217159,0.2,86.2047288
0.002675,0.002675,505.602411,126.400603,0.1982825,0.2,89.0301497
0.002875,0.002875,536.026495,134.006624,0.210213936,0.4,91.8795664
0.003275,0.003275,595.608027,148.902007,0.233580074,0.4,95.1747687
0.003675,0.003675,654.075112,163.518778,0.256509157,0.4,98.1385474
0.004075,0.004075,711.810957,177.952739,0.279151469,0.4,101.443687
0.004475,0.004475,768.629938,192.157485,0.301434214,0.4,104.939955
0.004875,0.004875,824.800172,206.200043,0.323462539,0.4,108.556323
0.005275,0.005275,880.112631,220.028158,0.34515447,0.4,112.098312
0.005675,0.005675,934.524965,233.631241,0.366493399,0.4,115.734355
0.006075,0.006075,988.230843,247.057711,0.387555275,0.4,119.705531
0.006475,0.006475,1041.31592,260.32898,0.408373691,0.4,123.671575
0.006875,0.006875,1093.88293,273.470732,0.428988938,0.4,127.630987
0.007275,0.007275,1145.86191,286.465477,0.449373576,0.4,131.294291
0.007675,0.007675,1197.32366,299.330916,0.469555373,0.4,135.333881
0.008075,0.008075,1248.16936,312.04234,0.48949557,0.4,139.372115
0.008475,0.008475,1298.32121,324.580302,0.509163661,0.4,143.376935
0.008875,0.008875,1347.79986,336.949964,0.528567741,0.4,148.101918
0.009275,0.009275,1396.55209,349.138022,0.547686942,0.4,152.852783
0.009675,0.009675,1444.75092,361.187729,0.566589115,0.4,157.842079
0.010075,0.010075,1492.4942,373.12355,0.585312637,0.4,163.233793
0.010475,0.010475,1539.8491,384.962275,0.603883846,0.4,168.777303
0.010875,0.010875,1586.66334,396.665836,0.622243025,0.4,174.08309
