s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
2.5e-05,2.5e-05,67.1358262,16.7839566,0.0263287103,0.025,21.2550037
5e-05,5e-05,71.7970354,17.9492588,0.0281567004,0.025,23.0985169
7.5e-05,7.5e-05,76.4598556,19.1149639,0.0299853223,0.025,24.9660244
0.0001,0.0001,81.1102738,20.2775684,0.0318090805,0.025,26.8117263
0.000125,0.000125,85.739759,21.4349397,0.0336246294,0.05,28.699178
0.000175,0.000175,94.8850007,23.7212502,0.0372111262,0.05,30.6133285
0.000225,0.000225,103.979838,25.9949594,0.0407778556,0.05,32.8952138
0.000275,0.000275,113.037255,28.2593137,0.0443299101,0.05,35.1299622
0.000325,0.000325,122.057024,30.5142559,0.0478672,0.05,37.2662299
0.000375,0.000375,131.046691,32.7616728,0.051392685,0.1,39.2661092
0.000475,0.000475,148.715717,37.1789292,0.0583219609,0.1,41.3855836
0.000575,0.000575,166.202075,41.5505187,0.0651795998,0.1,43.5300038
0.000675,0.000675,183.525228,45.881307,0.0719732346,0.1,45.6425207
0.000775,0.000775,200.726116,50.1815289,0.0787189204,0.1,47.7730072
0.000875,0.000875,217.842615,54.4606538,0.0854315116,0.2,49.9459903
0.001075,0.001075,251.201557,62.8003893,0.0985139144,0.2,52.3110647
0.001275,0.001275,284.148086,71.0370215,0.111434581,0.2,54.9965715
0.001475,0.001475,316.745298,79.1863246,0.124218255,0.2,57.6881957
0.001675,0.001675,349.021167,87.2552918,0.136875909,0.2,60.4236805
0.001875,0.001875,380.859282,95.2148204,0.149361887,0.4,63.0649879
0.002075,0.002075,412.469439,103.11736,0.161758468,0.2,80.5265212
0.002275,0.002275,443.803091,110.950773,0.174046611,0.2,82.9087999
0.002475,0.002475,474.836779,118.709195,0.186217117,0.2,85.3537247
0.002675,0.002675,505.602357,126.400589,0.198282478,0.2,88.1311343
0.002875,0.002875,536.026434,134.006609,0.210213913,0.4,91.0616438
0.003275,0.003275,595.607934,148.901984,0.233580037,0.4,94.3140755
0.003675,0.003675,654.075006,163.518751,0.256509115,0.4,97.193989
0.004075,0.004075,711.810795,177.952699,0.279151405,0.4,100.490537
0.004475,0.004475,768.629764,192.157441,0.301434145,0.4,103.928565
0.004875,0.004875,824.799947,206.199987,0.323462451,0.4,107.512258
0.005275,0.005275,880.112368,220.028092,0.345154367,0.4,111.098619
0.005675,0.005675,934.524617,233.631154,0.366493262,0.4,114.955476
0.006075,0.006075,988.230451,247.057613,0.387555122,0.4,118.853073
0.006475,0.006475,1041.31551,260.328878,0.408373533,0.4,122.813946
0.006875,0.006875,1093.88247,273.470617,0.428988757,0.4,126.8471
0.007275,0.007275,1145.86135,286.465338,0.449373357,0.4,130.495392
0.007675,0.007675,1197.32313,299.330781,0.469555162,0.4,134.437529
